trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,price,time_in_force,expire_time_ns,filled_qty,liquidity_side,avg_px,slippage,commissions,status,is_post_only,is_reduce_only,is_quote_quantity,display_qty,emulation_trigger,trigger_instrument_id,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-d11ca42dd7683914-1957,LIMIT,SELL,31.698,51063.0,GTD,1.7089416e+18,31.698,MAKER,51062.899999999994,0.10000000000582077,['1133.01426294 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240226-093900-001-000-1,"['O-20240226-093900-001-000-2', 'O-20240226-093900-001-000-3']",,,,,"['scenario=SLT-1708940040000000000-000013', 'family=SAC']",27ff6d3e-f048-4797-875f-accff288ac77,2024-02-26 09:39:00+00:00,2024-02-26 09:43:00+00:00,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-a9e1f9903ba781cd-2067,STOP_MARKET,BUY,31.698,,GTC,,31.698,TAKER,51086.0,0.09999999999854481,['1133.52681960 USDT'],FILLED,,True,False,,NO_TRIGGER,,OUO,OL-20240226-093900-001-000-1,['O-20240226-093900-001-000-3'],O-20240226-093900-001-000-1,,,,"['scenario=SLT-1708940040000000000-000013', 'family=SAC']",87466bb3-6771-469d-bf88-8685a96fc3a2,2024-02-26 09:39:00+00:00,2024-02-26 10:12:00+00:00,51085.9,DEFAULT
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-0fd2bc964eb5fc90-6665,LIMIT,BUY,29.977,56378.9,GTD,1.7090172e+18,29.977,MAKER,56379.0,0.10000000000582077,['1183.05129810 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240227-064000-001-000-3,"['O-20240227-064000-001-000-8', 'O-20240227-064000-001-000-9']",,,,,"['scenario=SLT-1709015820000000000-000044', 'family=SAC']",679c1202-fc72-456b-b364-2597c1993423,2024-02-27 06:40:00+00:00,2024-02-27 06:49:00+00:00,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-008,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-0fd2bc964eb5fc90-6667,MARKET,SELL,29.977,,GTC,,29.977,TAKER,56353.6,0.0,['1182.51830704 USDT'],FILLED,,True,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,2874f893-ae39-47c8-926e-7554a65daffe,2024-02-27 06:49:00+00:00,2024-02-27 06:49:00+00:00,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-c079a70b1f7aaa72-11089,LIMIT,BUY,27.111,56985.9,GTD,1.7090892e+18,27.111,MAKER,56985.95139242375,0.0513924237457104,['1081.46228974 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240228-023800-001-000-4,"['O-20240228-023800-001-000-12', 'O-20240228-023800-001-000-13']",,,,,"['scenario=SLT-1709087460000000000-000080', 'family=SAC']",2f3e52ae-48e4-4b15-93a7-58ab40679594,2024-02-28 02:38:00+00:00,2024-02-28 02:41:00+00:00,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-c079a70b1f7aaa72-11092,MARKET,SELL,13.933,,GTC,,13.933,TAKER,56981.7,0.0,['555.74821827 USDT'],FILLED,,True,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,3259c9ca-c73a-4947-9760-fb3ead068a51,2024-02-28 02:41:00+00:00,2024-02-28 02:41:00+00:00,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-c079a70b1f7aaa72-11093,MARKET,SELL,13.178,,GTC,,13.178,TAKER,56981.7,0.0,['525.63338982 USDT'],FILLED,,True,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,129bc8cd-4ad6-41a2-9f28-1318cfc63a3f,2024-02-28 02:41:00+00:00,2024-02-28 02:41:00+00:00,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-3284ed9a42eaad11-12277,LIMIT,BUY,17.634,58481.1,GTD,1.709109e+18,17.634,MAKER,58481.2,0.09999999999126885,['721.88023656 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240228-080900-001-000-5,"['O-20240228-080900-001-000-18', 'O-20240228-080900-001-000-19']",,,,,"['scenario=SLT-1709107380000000000-000089', 'family=SAC']",939221b9-62b2-46af-b265-d3dd0a8ab03b,2024-02-28 08:09:00+00:00,2024-02-28 08:10:00+00:00,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-015,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-2d3b27bc99af7a95-12287,STOP_MARKET,SELL,17.634,,GTC,,17.634,TAKER,58407.2,0.09999999999854481,['720.96679536 USDT'],FILLED,,True,False,,NO_TRIGGER,,OUO,OL-20240228-080900-001-000-5,['O-20240228-080900-001-000-19'],O-20240228-080900-001-000-17,,,,"['scenario=SLT-1709107380000000000-000089', 'family=SAC']",98eca82d-960b-410f-87b6-07fcb54702b1,2024-02-28 08:09:00+00:00,2024-02-28 08:12:00+00:00,58407.3,DEFAULT
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-017,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-df3a8de130bb87d3-12422,LIMIT,BUY,18.083,58884.8,GTD,1.7091108e+18,18.083,MAKER,58884.899999999994,0.09999999999126885,['745.37095269 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240228-084600-001-000-6,"['O-20240228-084600-001-000-21', 'O-20240228-084600-001-000-22']",,,,,"['scenario=SLT-1709109720000000000-000090', 'family=SAC']",6969ca1d-368f-4cb5-bea7-79f6cf282a6d,2024-02-28 08:46:00+00:00,2024-02-28 08:47:00+00:00,,
