trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,price,expire_time_ns,is_post_only,display_qty,trigger_instrument_id,trigger_price,trigger_type
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-c42037aaf0c5530a-3353,MARKET,BUY,20.220,GTC,False,False,20.220,TAKER,52939.6,0.0,['749.30709840 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240226-160600-001-000-1,"['O-20240226-160600-001-000-2', 'O-20240226-160600-001-000-3']",,,,,"['scenario=SLT-1708963320000000000-000024', 'family=SAC']",f203e3b2-8c54-465a-96a7-b2dc2e1a3ae0,2024-02-26 16:06:00+00:00,2024-02-26 16:06:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-003,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-341eec81ea085bc7-3365,LIMIT,SELL,20.220,GTC,True,False,20.220,MAKER,53363.0,0.10000000000582077,['755.29990200 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240226-160600-001-000-1,['O-20240226-160600-001-000-2'],O-20240226-160600-001-000-1,,,,"['scenario=SLT-1708963320000000000-000024', 'family=SAC']",6f14bb97-4cec-4598-a682-939d21dde831,2024-02-26 16:06:00+00:00,2024-02-26 16:09:00+00:00,53363.1,,True,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-e7c8fbff4f774960-12269,MARKET,BUY,19.932,GTC,False,False,19.932,TAKER,58486.5,0.0,['816.02704260 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-080900-001-000-2,"['O-20240228-080900-001-000-5', 'O-20240228-080900-001-000-6']",,,,,"['scenario=SLT-1709107380000000000-000089', 'family=SAC']",232491c9-bb83-4bd7-9a1b-9821116db7f7,2024-02-28 08:09:00+00:00,2024-02-28 08:09:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-2d3b27bc99af7a95-12281,STOP_MARKET,SELL,19.932,GTC,True,False,19.932,TAKER,58407.2,0.09999999999854481,['814.92061728 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-080900-001-000-2,['O-20240228-080900-001-000-6'],O-20240228-080900-001-000-4,,,,"['scenario=SLT-1709107380000000000-000089', 'family=SAC']",0ef85e0b-21d3-4139-ac6e-5e738ceab989,2024-02-28 08:09:00+00:00,2024-02-28 08:12:00+00:00,,,,,,58407.3,DEFAULT
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-2245ba3b54371b00-12414,MARKET,BUY,19.642,GTC,False,False,19.642,TAKER,58896.1,0.0,['809.78603734 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-084600-001-000-3,"['O-20240228-084600-001-000-8', 'O-20240228-084600-001-000-9']",,,,,"['scenario=SLT-1709109720000000000-000090', 'family=SAC']",52b3302a-83b6-4b59-9795-827026556513,2024-02-28 08:46:00+00:00,2024-02-28 08:46:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-4f990c9c0a166292-12457,LIMIT,SELL,19.642,GTC,True,False,19.642,MAKER,59469.6,0.09999999999854481,['817.67131824 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-084600-001-000-3,['O-20240228-084600-001-000-8'],O-20240228-084600-001-000-7,,,,"['scenario=SLT-1709109720000000000-000090', 'family=SAC']",16d4bf0f-9b98-4952-847f-d582f54432f0,2024-02-28 08:46:00+00:00,2024-02-28 08:57:00+00:00,59469.7,,True,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-e6cc13e696ce7d67-14479,MARKET,SELL,6.135,GTC,False,False,6.135,TAKER,61019.5,0.0,['262.04824275 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-173600-001-000-4,"['O-20240228-173600-001-000-11', 'O-20240228-173600-001-000-12']",,,,,"['scenario=SLT-1709141460000000000-000102', 'family=SAC']",9915c4b3-2ee9-4487-8aa9-81f6f45bbc24,2024-02-28 17:36:00+00:00,2024-02-28 17:36:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-011,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-7f66e8d048f16033-14514,STOP_MARKET,BUY,6.135,GTC,True,False,6.135,TAKER,61488.600000000006,0.10000000000582077,['264.06279270 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-173600-001-000-4,['O-20240228-173600-001-000-12'],O-20240228-173600-001-000-10,,,,"['scenario=SLT-1709141460000000000-000102', 'family=SAC']",7d336453-a148-4c38-9665-2d81a126a854,2024-02-28 17:36:00+00:00,2024-02-28 17:45:00+00:00,,,,,,61488.5,DEFAULT
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-dfa93be90484cc03-35359,MARKET,BUY,26.232,GTC,False,False,26.232,TAKER,62958.899999999994,0.0,['1156.07650536 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240303-170500-001-000-5,"['O-20240303-170500-001-000-14', 'O-20240303-170500-001-000-15']",,,,,"['scenario=SLT-1709485260000000000-000261', 'family=SAC']",f64344ab-7dad-4cdf-9d5c-eaef7f4ce88e,2024-03-03 17:05:00+00:00,2024-03-03 17:05:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-c2a1a77f1d0cb891-35375,STOP_MARKET,SELL,26.232,GTC,True,False,26.232,TAKER,62921.100000000006,0.09999999999126885,['1155.38240664 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240303-170500-001-000-5,['O-20240303-170500-001-000-15'],O-20240303-170500-001-000-13,,,,"['scenario=SLT-1709485260000000000-000261', 'family=SAC']",7b71f8b1-e1be-494b-9bc3-3746bf3dfeb8,2024-03-03 17:05:00+00:00,2024-03-03 17:09:00+00:00,,,,,,62921.2,DEFAULT
