trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-6beb74eda812091f-9927,MARKET,BUY,23.352,GTC,False,False,23.352,TAKER,64079.97784772182,0.0,['1047.47694989 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240924-212900-001-000-1,"['O-20240924-212900-001-000-2', 'O-20240924-212900-001-000-3']",,,,,"['scenario=HSP-1727213220000000000-000003', 'family=AFHR']",6cfe8d4e-c33a-4d2d-90c7-22e1e401a874,2024-09-24 21:29:00+00:00,2024-09-24 21:29:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-1f0329225d167df8-9949,STOP_MARKET,SELL,23.352,GTC,True,False,23.352,TAKER,64041.100000000006,0.09999999999126885,['1046.84143704 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240924-212900-001-000-1,['O-20240924-212900-001-000-3'],O-20240924-212900-001-000-1,,,,"['scenario=HSP-1727213220000000000-000003', 'family=AFHR']",3779b741-ac40-480d-b619-9ba90e15b29f,2024-09-24 21:29:00+00:00,2024-09-24 21:35:00+00:00,64041.2,DEFAULT,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-3360166e0c0f00bc-18512,MARKET,BUY,14.239,GTC,False,False,14.239,TAKER,64340.0,0.0,['641.29608200 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240926-134700-001-000-2,"['O-20240926-134700-001-000-5', 'O-20240926-134700-001-000-6']",,,,,"['scenario=HSP-1727358300000000000-000009', 'family=AFHR']",bd73baa1-cda6-4dc3-ae52-55d4d8e20b3c,2024-09-26 13:47:00+00:00,2024-09-26 13:47:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-bcb46205184f98cb-18518,STOP_MARKET,SELL,14.239,GTC,True,False,14.239,TAKER,64225.6,0.09999999999854481,['640.15582288 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240926-134700-001-000-2,['O-20240926-134700-001-000-6'],O-20240926-134700-001-000-4,,,,"['scenario=HSP-1727358300000000000-000009', 'family=AFHR']",b4d04cd4-d436-416c-9d8a-c42355a250b4,2024-09-26 13:47:00+00:00,2024-09-26 13:49:00+00:00,64225.7,DEFAULT,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-8bb45ee47d15d5db-18574,MARKET,BUY,21.199,GTC,False,False,21.199,TAKER,64365.100000000006,0.0,['955.13302843 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240926-140300-001-000-3,"['O-20240926-140300-001-000-8', 'O-20240926-140300-001-000-9']",,,,,"['scenario=HSP-1727359200000000000-000010', 'family=AFHR']",d4766dc6-d3a4-4bf8-9220-6938d0abb0cc,2024-09-26 14:03:00+00:00,2024-09-26 14:03:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-921507eb3fc296cb-18600,LIMIT,SELL,21.199,GTC,True,False,21.199,MAKER,64699.9,0.09999999999854481,['960.10122607 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240926-140300-001-000-3,['O-20240926-140300-001-000-8'],O-20240926-140300-001-000-7,,,,"['scenario=HSP-1727359200000000000-000010', 'family=AFHR']",4e1feb3d-921e-4d00-a396-a86331f203d0,2024-09-26 14:03:00+00:00,2024-09-26 14:10:00+00:00,,,,,64700.0,True,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-39b750f3bedcfe93-18829,MARKET,BUY,11.336,GTC,False,False,11.336,TAKER,64609.100000000006,0.0,['512.68613032 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240926-150900-001-000-4,"['O-20240926-150900-001-000-11', 'O-20240926-150900-001-000-12']",,,,,"['scenario=HSP-1727363100000000000-000012', 'family=AFHR']",868a08ce-ba3c-4e1e-8cfc-1db7ae4c7eab,2024-09-26 15:09:00+00:00,2024-09-26 15:09:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-aa869f3f6e9436c3-18909,LIMIT,SELL,11.336,GTC,True,False,11.336,MAKER,64932.600000000006,0.09999999999854481,['515.25316752 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240926-150900-001-000-4,['O-20240926-150900-001-000-11'],O-20240926-150900-001-000-10,,,,"['scenario=HSP-1727363100000000000-000012', 'family=AFHR']",a1c5a5c1-d45a-42e2-80a6-68655cfd681f,2024-09-26 15:09:00+00:00,2024-09-26 15:30:00+00:00,,,,,64932.7,True,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-4979c7e6e8fb2e7c-19805,MARKET,BUY,23.604,GTC,False,False,23.604,TAKER,65127.6,0.0,['1076.09030928 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240926-192700-001-000-5,"['O-20240926-192700-001-000-14', 'O-20240926-192700-001-000-15']",,,,,"['scenario=HSP-1727378700000000000-000020', 'family=AFHR']",f881a8e7-a789-4b8e-96b7-52ec4acf2214,2024-09-26 19:27:00+00:00,2024-09-26 19:27:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-994984a853869271-19814,STOP_MARKET,SELL,23.604,GTC,True,False,23.604,TAKER,65089.16778512117,0.1322148788240156,['1075.45530148 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240926-192700-001-000-5,['O-20240926-192700-001-000-15'],O-20240926-192700-001-000-13,,,,"['scenario=HSP-1727378700000000000-000020', 'family=AFHR']",3c64d3bf-cf9c-4faa-a856-2d58469e24da,2024-09-26 19:27:00+00:00,2024-09-26 19:29:00+00:00,65089.3,DEFAULT,,,,,
