total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
99530.64225982,838.13882175,98692.50343807,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '838.13882175', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99530.64225982,838.13882175,98692.50343807,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '838.13882175', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99530.64225982,838.13882175,98692.50343807,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '838.13882175', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
97000.47796414,0.00000000,97000.47796414,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
97000.47796414,0.00000000,97000.47796414,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
96484.42692962,921.51970450,95562.90722512,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '921.51970450', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96484.42692962,921.51970450,95562.90722512,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '921.51970450', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96484.42692962,921.51970450,95562.90722512,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '921.51970450', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
94090.90784334,0.00000000,94090.90784334,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
94090.90784334,0.00000000,94090.90784334,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
