trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-28ccf750bf57f77c-1944,MARKET,SELL,24.565,GTC,False,False,24.565,TAKER,51035.4,0.0,['877.57922070 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240226-093900-001-000-1,"['O-20240226-093900-001-000-2', 'O-20240226-093900-001-000-3']",,,,,"['scenario=SLT-1708940040000000000-000013', 'family=SAC']",afedebaf-8cb4-41be-be8f-5508a5cffd23,2024-02-26 09:39:00+00:00,2024-02-26 09:39:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-a9e1f9903ba781cd-2067,STOP_MARKET,BUY,24.565,GTC,True,False,24.565,TAKER,51086.0,0.09999999999854481,['878.44931300 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240226-093900-001-000-1,['O-20240226-093900-001-000-3'],O-20240226-093900-001-000-1,,,,"['scenario=SLT-1708940040000000000-000013', 'family=SAC']",76cf34d6-b681-45b8-aae0-ffacd2dd9319,2024-02-26 09:39:00+00:00,2024-02-26 10:12:00+00:00,51085.9,DEFAULT,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-c42037aaf0c5530a-3355,MARKET,BUY,19.614,GTC,False,False,19.614,TAKER,52939.6,0.0,['726.85012008 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240226-160600-001-000-2,"['O-20240226-160600-001-000-5', 'O-20240226-160600-001-000-6']",,,,,"['scenario=SLT-1708963320000000000-000024', 'family=SAC']",fb3fba60-ce39-441a-9370-2e6fcf1efe2f,2024-02-26 16:06:00+00:00,2024-02-26 16:06:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-341eec81ea085bc7-3367,LIMIT,SELL,19.614,GTC,True,False,19.614,MAKER,53363.0,0.10000000000582077,['732.66331740 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240226-160600-001-000-2,['O-20240226-160600-001-000-5'],O-20240226-160600-001-000-4,,,,"['scenario=SLT-1708963320000000000-000024', 'family=SAC']",0d847f9c-55f1-4a5e-84e3-c78ecc8be63e,2024-02-26 16:06:00+00:00,2024-02-26 16:09:00+00:00,,,,,53363.1,True,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-6965d0dc5372c589-6633,MARKET,BUY,21.163,GTC,False,False,21.163,TAKER,56429.100000000006,0.0,['835.94633031 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240227-064000-001-000-3,"['O-20240227-064000-001-000-8', 'O-20240227-064000-001-000-9']",,,,,"['scenario=SLT-1709015820000000000-000044', 'family=SAC']",e3b1cfa6-bfc2-49f4-8d13-c8ee5bdb0334,2024-02-27 06:40:00+00:00,2024-02-27 06:40:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-008,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-0fd2bc964eb5fc90-6668,STOP_MARKET,SELL,21.163,GTC,True,False,21.163,TAKER,56360.8,0.09999999999126885,['834.93452728 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240227-064000-001-000-3,['O-20240227-064000-001-000-9'],O-20240227-064000-001-000-7,,,,"['scenario=SLT-1709015820000000000-000044', 'family=SAC']",6b0b098d-b20d-4725-ba64-186df18887c6,2024-02-27 06:40:00+00:00,2024-02-27 06:49:00+00:00,56360.9,DEFAULT,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-ed24eada88027edb-11081,MARKET,BUY,21.280,GTC,False,False,21.280,TAKER,57024.1,0.0,['849.43099360 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-023800-001-000-4,"['O-20240228-023800-001-000-11', 'O-20240228-023800-001-000-12']",,,,,"['scenario=SLT-1709087460000000000-000080', 'family=SAC']",84f7f210-46e8-495b-92d8-5fdb84520312,2024-02-28 02:38:00+00:00,2024-02-28 02:38:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-011,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-4b33a59c3d299d04-11122,STOP_MARKET,SELL,21.280,GTC,True,False,21.280,TAKER,56961.842218045116,0.15778195488383062,['848.50360168 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-023800-001-000-4,['O-20240228-023800-001-000-12'],O-20240228-023800-001-000-10,,,,"['scenario=SLT-1709087460000000000-000080', 'family=SAC']",b7fa7b97-32df-43f4-8830-164093e04c2a,2024-02-28 02:38:00+00:00,2024-02-28 02:49:00+00:00,56962.0,DEFAULT,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-e7c8fbff4f774960-12276,MARKET,BUY,18.192,GTC,False,False,18.192,TAKER,58486.5,0.0,['744.79048560 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-080900-001-000-5,"['O-20240228-080900-001-000-14', 'O-20240228-080900-001-000-15']",,,,,"['scenario=SLT-1709107380000000000-000089', 'family=SAC']",6f8b6f1f-d893-4287-a2d4-f48ae1b80ff0,2024-02-28 08:09:00+00:00,2024-02-28 08:09:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-2d3b27bc99af7a95-12288,STOP_MARKET,SELL,18.192,GTC,True,False,18.192,TAKER,58407.2,0.09999999999854481,['743.78064768 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-080900-001-000-5,['O-20240228-080900-001-000-15'],O-20240228-080900-001-000-13,,,,"['scenario=SLT-1709107380000000000-000089', 'family=SAC']",b2859636-ff2f-4687-b32a-8f372e9c789c,2024-02-28 08:09:00+00:00,2024-02-28 08:12:00+00:00,58407.3,DEFAULT,,,,,
