trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-c42037aaf0c5530a-3353,MARKET,BUY,20.220,GTC,False,False,20.220,TAKER,52939.6,0.0,['749.30709840 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240226-160600-001-000-1,"['O-20240226-160600-001-000-2', 'O-20240226-160600-001-000-3']",,,,,"['scenario=SLT-1708963320000000000-000013', 'family=SAC']",eb8170a2-a5ad-45e1-a99c-618cb5e461f9,2024-02-26 16:06:00+00:00,2024-02-26 16:06:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-e72460f200d86cda-3696,MARKET,SELL,20.220,GTC,True,False,20.220,TAKER,53404.5,0.0,['755.88729300 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c2ef1e3b-30e4-49f9-bd69-9010ca0dcee6,2024-02-26 17:36:00+00:00,2024-02-26 17:36:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-c1db1c6d7b10f394-6450,MARKET,BUY,21.889,GTC,False,False,21.889,TAKER,56238.899999999994,0.0,['861.70929747 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240227-055100-001-000-2,"['O-20240227-055100-001-000-6', 'O-20240227-055100-001-000-7']",,,,,"['scenario=SLT-1709012820000000000-000021', 'family=SAC']",a8ae9452-1c8d-408d-8d43-e8efdc3515ba,2024-02-27 05:51:00+00:00,2024-02-27 05:51:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-67a08683e5440685-6461,STOP_MARKET,SELL,21.889,GTC,True,False,21.889,TAKER,56169.7,0.10000000000582077,['860.64899431 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240227-055100-001-000-2,['O-20240227-055100-001-000-7'],O-20240227-055100-001-000-5,,,,"['scenario=SLT-1709012820000000000-000021', 'family=SAC']",eb8ccd46-9914-4483-8f3b-5f1ebb6d77fa,2024-02-27 05:51:00+00:00,2024-02-27 05:54:00+00:00,56169.8,DEFAULT,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-008,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-e7c8fbff4f774960-12271,MARKET,BUY,19.486,GTC,False,False,19.486,TAKER,58486.5,0.0,['797.76755730 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-080900-001-000-3,"['O-20240228-080900-001-000-9', 'O-20240228-080900-001-000-10']",,,,,"['scenario=SLT-1709107380000000000-000042', 'family=SAC']",b2ad3b95-38a3-450e-9b50-3769db1cd1d7,2024-02-28 08:09:00+00:00,2024-02-28 08:09:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-2d3b27bc99af7a95-12283,STOP_MARKET,SELL,19.486,GTC,True,False,19.486,TAKER,58407.2,0.09999999999854481,['796.68588944 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-080900-001-000-3,['O-20240228-080900-001-000-10'],O-20240228-080900-001-000-8,,,,"['scenario=SLT-1709107380000000000-000042', 'family=SAC']",95284f85-2a5a-4572-baf2-3b291d35aa05,2024-02-28 08:09:00+00:00,2024-02-28 08:12:00+00:00,58407.3,DEFAULT,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-011,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-54feee46a9808345-25922,MARKET,BUY,28.157,GTC,False,False,28.157,TAKER,62450.0,0.0,['1230.88325500 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240301-202600-001-000-4,"['O-20240301-202600-001-000-12', 'O-20240301-202600-001-000-13']",,,,,"['scenario=SLT-1709324520000000000-000091', 'family=SAC']",5e31ddfa-8fd5-4d60-b8a2-2d802f7326f1,2024-03-01 20:26:00+00:00,2024-03-01 20:26:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-f0cc6d653d5d86ab-26034,LIMIT,SELL,28.157,GTC,True,False,28.157,MAKER,62838.3,0.09999999999854481,['1238.53660917 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240301-202600-001-000-4,['O-20240301-202600-001-000-12'],O-20240301-202600-001-000-11,,,,"['scenario=SLT-1709324520000000000-000091', 'family=SAC']",7a450942-e6e4-4a57-8ee9-1d5c3a0e18a8,2024-03-01 20:26:00+00:00,2024-03-01 20:55:00+00:00,,,,,62838.4,True,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-dfa93be90484cc03-35359,MARKET,BUY,26.209,GTC,False,False,26.209,TAKER,62958.899999999994,0.0,['1155.06286707 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240303-170500-001-000-5,"['O-20240303-170500-001-000-15', 'O-20240303-170500-001-000-16']",,,,,"['scenario=SLT-1709485260000000000-000128', 'family=SAC']",eec20be2-0b21-4cf3-a64e-7d1acfded838,2024-03-03 17:05:00+00:00,2024-03-03 17:05:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-015,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-c2a1a77f1d0cb891-35375,STOP_MARKET,SELL,26.209,GTC,True,False,26.209,TAKER,62921.100000000006,0.09999999999126885,['1154.36937693 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240303-170500-001-000-5,['O-20240303-170500-001-000-16'],O-20240303-170500-001-000-14,,,,"['scenario=SLT-1709485260000000000-000128', 'family=SAC']",1df2b41f-61f6-4af2-8503-a0b6dbd089c3,2024-03-03 17:05:00+00:00,2024-03-03 17:09:00+00:00,62921.2,DEFAULT,,,,,
