trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-c42037aaf0c5530a-3353,MARKET,BUY,20.220,GTC,False,False,20.220,TAKER,52939.6,0.0,['749.30709840 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240226-160600-001-000-1,"['O-20240226-160600-001-000-2', 'O-20240226-160600-001-000-3']",,,,,"['scenario=SLT-1708963320000000000-000013', 'family=SAC']",06bcbd64-fa59-4744-8596-949b75e21292,2024-02-26 16:06:00+00:00,2024-02-26 16:06:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-e72460f200d86cda-3696,MARKET,SELL,20.220,GTC,True,False,20.220,TAKER,53404.5,0.0,['755.88729300 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a4add872-6570-4503-9301-5ed2d22fa7e7,2024-02-26 17:36:00+00:00,2024-02-26 17:36:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-c1db1c6d7b10f394-6450,MARKET,BUY,21.889,GTC,False,False,21.889,TAKER,56238.899999999994,0.0,['861.70929747 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240227-055100-001-000-2,"['O-20240227-055100-001-000-6', 'O-20240227-055100-001-000-7']",,,,,"['scenario=SLT-1709012820000000000-000021', 'family=SAC']",29e72aee-c72e-4336-9d19-42fe75249a59,2024-02-27 05:51:00+00:00,2024-02-27 05:51:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-67a08683e5440685-6461,STOP_MARKET,SELL,21.889,GTC,True,False,21.889,TAKER,56169.7,0.10000000000582077,['860.64899431 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240227-055100-001-000-2,['O-20240227-055100-001-000-7'],O-20240227-055100-001-000-5,,,,"['scenario=SLT-1709012820000000000-000021', 'family=SAC']",43d8e5f8-b98e-4452-aae1-415514e56f82,2024-02-27 05:51:00+00:00,2024-02-27 05:54:00+00:00,56169.8,DEFAULT,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-008,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-e7c8fbff4f774960-12271,MARKET,BUY,19.486,GTC,False,False,19.486,TAKER,58486.5,0.0,['797.76755730 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-080900-001-000-3,"['O-20240228-080900-001-000-9', 'O-20240228-080900-001-000-10']",,,,,"['scenario=SLT-1709107380000000000-000042', 'family=SAC']",7ef68a51-afc7-47dc-aa75-35b78e7bd005,2024-02-28 08:09:00+00:00,2024-02-28 08:09:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-2d3b27bc99af7a95-12283,STOP_MARKET,SELL,19.486,GTC,True,False,19.486,TAKER,58407.2,0.09999999999854481,['796.68588944 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-080900-001-000-3,['O-20240228-080900-001-000-10'],O-20240228-080900-001-000-8,,,,"['scenario=SLT-1709107380000000000-000042', 'family=SAC']",8c544bce-d5cd-47ea-9da3-a0982d5326ee,2024-02-28 08:09:00+00:00,2024-02-28 08:12:00+00:00,58407.3,DEFAULT,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-011,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-54feee46a9808345-25922,MARKET,BUY,28.157,GTC,False,False,28.157,TAKER,62450.0,0.0,['1230.88325500 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240301-202600-001-000-4,"['O-20240301-202600-001-000-12', 'O-20240301-202600-001-000-13']",,,,,"['scenario=SLT-1709324520000000000-000091', 'family=SAC']",5e1011a7-ae34-4016-acb6-712c960b20fc,2024-03-01 20:26:00+00:00,2024-03-01 20:26:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-f0cc6d653d5d86ab-26034,LIMIT,SELL,28.157,GTC,True,False,28.157,MAKER,62838.3,0.09999999999854481,['1238.53660917 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240301-202600-001-000-4,['O-20240301-202600-001-000-12'],O-20240301-202600-001-000-11,,,,"['scenario=SLT-1709324520000000000-000091', 'family=SAC']",ba0c7568-6181-486c-8d42-d95c79f0f6bb,2024-03-01 20:26:00+00:00,2024-03-01 20:55:00+00:00,,,,,62838.4,True,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-dfa93be90484cc03-35359,MARKET,BUY,26.209,GTC,False,False,26.209,TAKER,62958.899999999994,0.0,['1155.06286707 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240303-170500-001-000-5,"['O-20240303-170500-001-000-15', 'O-20240303-170500-001-000-16']",,,,,"['scenario=SLT-1709485260000000000-000128', 'family=SAC']",dc1f7253-b485-4159-ad7f-19b1e19b8e74,2024-03-03 17:05:00+00:00,2024-03-03 17:05:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-015,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-c2a1a77f1d0cb891-35375,STOP_MARKET,SELL,26.209,GTC,True,False,26.209,TAKER,62921.100000000006,0.09999999999126885,['1154.36937693 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240303-170500-001-000-5,['O-20240303-170500-001-000-16'],O-20240303-170500-001-000-14,,,,"['scenario=SLT-1709485260000000000-000128', 'family=SAC']",0f703a37-4955-45f0-b689-fc46185b18ec,2024-03-03 17:05:00+00:00,2024-03-03 17:09:00+00:00,62921.2,DEFAULT,,,,,
