scenario_id,family,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,actual_entry_price,opened_ts_ns,opened_bar_index,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,forced_exit_reason
SLT-1708957920000000000-000011,SAC,LONG,1708958040000000000,2024-02-26,14,1708958100000000000,51495.2,51506.0,51468.0,51718.899999999994,ACCEPTED_SESSION_RANGE_PROJECTION,51478.1,28.899999999998908,27.203,100000.0,3000.0,110.28180000000002,1.273488191161136,0.0007,51506.1,1708958100000000000,874,51467.9,1708958460000000000,2024-02-26,14,6.0,-2999.9958054,-0.0007416597257411664,-0.9999986018,STOP,
SLT-1708963320000000000-000013,SAC,LONG,1708963500000000000,2024-02-26,16,1708963560000000000,52914.7,52939.5,52865.4,54106.6,ACCEPTED_SESSION_RANGE_PROJECTION,52885.5,92.09499999999971,19.613,97000.0041946,2910.000125838,148.36342999999852,7.360086848895374,0.0007,52939.6,1708963560000000000,965,53404.5,1708968960000000000,2024-02-26,17,90.0,7658.07491669,0.008781705944132587,2.631640751041097,TIMEOUT,TIMEOUT
SLT-1708970460000000000-000014,SAC,LONG,1708970700000000000,2024-02-26,18,1708970760000000000,53627.8,53569.5,53562.6,53881.2,ACCEPTED_SESSION_RANGE_PROJECTION,53567.7,51.21000000000058,38.236,104658.07911129,3139.7423733387,82.11345530000209,2.8775370508612745,0.0007,53569.6,1708970760000000000,1085,53562.5,1708970820000000000,2024-02-26,18,1.0,-3138.88768292,-0.00013253785729216842,-0.9997277832646533,STOP,
SLT-1709012820000000000-000021,SAC,LONG,1709013000000000000,2024-02-27,5,1709013060000000000,56238.0,56238.8,56169.8,56695.2,ACCEPTED_SESSION_RANGE_PROJECTION,56175.1,52.850000000000364,20.596,101519.19142837,3045.5757428511,147.87103050000783,2.5505076871698287,0.0007,56238.899999999994,1709013060000000000,1790,56169.7,1709013240000000000,2024-02-27,5,3.0,-3045.86046792,-0.0012304650339888777,-1.0000934880932015,STOP,
SLT-1709053740000000000-000031,SRR,SHORT,1709054040000000000,2024-02-27,17,1709054100000000000,57196.9,57186.1,57255.8,57001.2,PRIOR_INTERNAL_SELLSIDE_LIQUIDITY,57224.9,61.09499999999971,19.692,98473.33096045,2954.1999288135,150.01883664999718,0.6983715667948651,0.0007,57186.0,1709054100000000000,2474,57255.9,1709054460000000000,2024-02-27,17,6.0,-2953.98372636,-0.001222327143007055,-0.9999268152262172,STOP,
SLT-1709107380000000000-000042,SAC,LONG,1709107680000000000,2024-02-28,8,1709107740000000000,58481.0,58486.4,58407.299999999996,59763.100000000006,ACCEPTED_SESSION_RANGE_PROJECTION,58472.8,131.2850000000013,17.784,95519.34723409,2865.5804170227,161.12558999999854,7.408663949655763,0.0007,58486.5,1709107740000000000,3368,58407.2,1709107920000000000,2024-02-28,8,3.0,-2865.45749256,-0.0013558684482744378,-0.9999571031188063,STOP,
SLT-1709281200000000000-000083,SAC,LONG,1709281440000000000,2024-03-01,8,1709281500000000000,61872.1,61858.6,61820.0,62254.4,ACCEPTED_SESSION_RANGE_PROJECTION,61844.8,58.884999999999124,22.17,92653.88974153,2779.6166922459,125.37501999999854,2.462379667018309,0.0007,61858.700000000004,1709281500000000000,6264,61819.9,1709281560000000000,2024-03-01,8,1.0,-2779.5641934,-0.0006272359425594607,-0.9999811129188976,STOP,
SLT-1709324520000000000-000091,SAC,LONG,1709324700000000000,2024-03-01,20,1709324760000000000,62439.2,62449.9,62429.40000000001,62838.4,ACCEPTED_SESSION_RANGE_PROJECTION,62434.3,49.43999999999905,24.928,89874.32554813,2696.2297664438997,108.1594792000017,2.7792126240193897,0.0007,62450.0,1709324760000000000,6985,62838.3,1709326500000000000,2024-03-01,20,29.0,7493.31168032,0.006217774219375547,2.779181423474546,TARGET,
SLT-1709334960000000000-000092,SRR,SHORT,1709335380000000000,2024-03-01,23,1709335440000000000,62691.8,62744.0,62801.100000000006,62545.2,SESSION_DEALING_RANGE_EQUILIBRIUM,62730.5,51.225000000000364,20.116,97367.63722845,2921.0291168534995,145.20408574999766,0.7637358096860901,0.0007,62743.9,1709335440000000000,7163,62545.299999999996,1709335920000000000,2024-03-01,23,8.0,2230.81531696,0.003165247936452879,0.7637086888620301,TARGET,
SLT-1709362920000000000-000098,SAC,SHORT,1709363340000000000,2024-03-02,7,1709363400000000000,61988.1,61984.0,62029.100000000006,61662.899999999994,ACCEPTED_SESSION_RANGE_PROJECTION,62000.0,39.8299999999992,22.617,99598.45254541,2987.9535763623,132.10916999999853,1.773890260607959,0.0007,61983.86705133308,1709363400000000000,7629,62029.2,1709364240000000000,2024-03-02,7,14.0,-2988.65777625,-0.0007313668995413581,-1.0002356796615821,STOP,
