total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
99348.19176292,1163.94328050,98184.24848242,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1163.94328050', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99348.19176292,1163.94328050,98184.24848242,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1163.94328050', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99348.19176292,1163.94328050,98184.24848242,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1163.94328050', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99348.19176292,1163.94328050,98184.24848242,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1163.94328050', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99348.19176292,1163.94328050,98184.24848242,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1163.94328050', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
106867.78563757,0.00000000,106867.78563757,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
106069.30011148,1425.86701088,104643.43310060,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1425.86701088', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
106069.30011148,1425.86701088,104643.43310060,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1425.86701088', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
106069.30011148,1425.86701088,104643.43310060,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1425.86701088', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
103661.47171453,0.00000000,103661.47171453,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
103661.47171453,0.00000000,103661.47171453,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
102930.80571868,1304.76070688,101626.04501180,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1304.76070688', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
102930.80571868,1304.76070688,101626.04501180,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1304.76070688', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
102930.80571868,1304.76070688,101626.04501180,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1304.76070688', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
100552.23126679,0.00000000,100552.23126679,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
100552.23126679,0.00000000,100552.23126679,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99753.64564679,1426.04575000,98327.59989679,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1426.04575000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99753.64564679,1426.04575000,98327.59989679,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1426.04575000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99753.64564679,1426.04575000,98327.59989679,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1426.04575000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
106043.55900171,0.00000000,106043.55900171,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
106043.55900171,0.00000000,106043.55900171,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
105381.69726957,1181.89595025,104199.80131932,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1181.89595025', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
105381.69726957,1181.89595025,104199.80131932,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1181.89595025', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
105381.69726957,1181.89595025,104199.80131932,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1181.89595025', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
102861.90859731,0.00000000,102861.90859731,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
102861.90859731,0.00000000,102861.90859731,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
