trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
BACKTESTER-001,CrowdingInventoryResponseStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-CrowdingInventoryResponseStrategy-000,BINANCE-001,T-385d8078c68c4f73-8599,MARKET,BUY,9.815,GTC,False,False,9.815,TAKER,66735.8,0.0,['458.50831390 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240423-145100-001-000-1,"['O-20240423-145100-001-000-2', 'O-20240423-145100-001-000-3']",,,,,"['scenario=CIRB-1713883500000000000-000020:ENTRY', 'family=CIRB_D_R']",fc07a331-3e7f-4773-bb3a-d78babd5f18f,2024-04-23 14:51:00+00:00,2024-04-23 14:51:00+00:00,,,,,,,
BACKTESTER-001,CrowdingInventoryResponseStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BTCUSDT-PERP.BINANCE-CrowdingInventoryResponseStrategy-000,BINANCE-001,T-e3cc44aadc5aeb39-8700,STOP_MARKET,SELL,9.815,GTC,True,False,9.815,TAKER,66523.4,0.10000000000582077,['457.04901970 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240423-145100-001-000-1,['O-20240423-145100-001-000-3'],O-20240423-145100-001-000-1,,,,"['scenario=CIRB-1713883500000000000-000020:ENTRY', 'family=CIRB_D_R']",4acf87a6-8a3b-4d56-a975-a9ff55430524,2024-04-23 14:51:00+00:00,2024-04-23 15:17:00+00:00,66523.5,DEFAULT,,,,,
BACKTESTER-001,CrowdingInventoryResponseStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-CrowdingInventoryResponseStrategy-000,BINANCE-001,T-92f9c115bdd90957-13837,MARKET,SELL,14.297,GTC,False,False,14.297,TAKER,65135.9,0.0,['651.87357361 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240424-150100-001-000-2,"['O-20240424-150100-001-000-5', 'O-20240424-150100-001-000-6']",,,,,"['scenario=CIRB-1713970800000000000-000028:ENTRY', 'family=CIRB_D_R']",475a1d7c-b61d-43f2-b4fa-6b73f81b3989,2024-04-24 15:01:00+00:00,2024-04-24 15:01:00+00:00,,,,,,,
BACKTESTER-001,CrowdingInventoryResponseStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BTCUSDT-PERP.BINANCE-CrowdingInventoryResponseStrategy-000,BINANCE-001,T-0b598baa624a05fb-13917,LIMIT,BUY,14.297,GTC,True,False,14.297,MAKER,64706.1,0.09999999999854481,['647.57217819 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240424-150100-001-000-2,['O-20240424-150100-001-000-5'],O-20240424-150100-001-000-4,,,,"['scenario=CIRB-1713970800000000000-000028:ENTRY', 'family=CIRB_D_R']",41709606-700c-43ae-b40f-d102a87a0eba,2024-04-24 15:01:00+00:00,2024-04-24 15:22:00+00:00,,,,,64706.0,True,
BACKTESTER-001,CrowdingInventoryResponseStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-CrowdingInventoryResponseStrategy-000,BINANCE-001,T-0d1ae386c0af26be-14201,MARKET,BUY,9.924,GTC,False,False,9.924,TAKER,64524.19999999999,0.0,['448.23671256 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240424-163400-001-000-3,"['O-20240424-163400-001-000-8', 'O-20240424-163400-001-000-9']",,,,,"['scenario=CIRB-1713976200000000000-000030:ENTRY', 'family=CIRB_D_R']",52c49411-dfdc-4b28-a77e-21d47ed5275c,2024-04-24 16:34:00+00:00,2024-04-24 16:34:00+00:00,,,,,,,
BACKTESTER-001,CrowdingInventoryResponseStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-CrowdingInventoryResponseStrategy-000,BINANCE-001,T-69682c26f391bc90-14355,LIMIT,SELL,9.924,GTC,True,False,9.924,MAKER,64882.8,0.09999999999126885,['450.72783504 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240424-163400-001-000-3,['O-20240424-163400-001-000-8'],O-20240424-163400-001-000-7,,,,"['scenario=CIRB-1713976200000000000-000030:ENTRY', 'family=CIRB_D_R']",66b87765-2219-4f03-9657-1ac8b3b2579d,2024-04-24 16:34:00+00:00,2024-04-24 17:14:00+00:00,,,,,64882.9,True,
BACKTESTER-001,CrowdingInventoryResponseStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-CrowdingInventoryResponseStrategy-000,BINANCE-001,T-7a2128eeb775ed44-14784,MARKET,BUY,6.148,GTC,False,False,6.148,TAKER,64104.700000000004,0.0,['275.88098692 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240424-190600-001-000-4,"['O-20240424-190600-001-000-11', 'O-20240424-190600-001-000-12']",,,,,"['scenario=CIRB-1713985500000000000-000032:ENTRY', 'family=CIRB_D_R']",9ce6415a-3102-4c78-8a93-ae8fb3d4f22d,2024-04-24 19:06:00+00:00,2024-04-24 19:06:00+00:00,,,,,,,
BACKTESTER-001,CrowdingInventoryResponseStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-CrowdingInventoryResponseStrategy-000,BINANCE-001,T-69b7b77b78cbacbf-14959,MARKET,SELL,6.148,GTC,True,False,6.148,TAKER,64320.600000000006,0.0,['276.81013416 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b065e578-f3db-493c-8068-f08138668d26,2024-04-24 19:51:00+00:00,2024-04-24 19:51:00+00:00,,,,,,,
BACKTESTER-001,CrowdingInventoryResponseStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-CrowdingInventoryResponseStrategy-000,BINANCE-001,T-5d5e575b8c363b78-17886,MARKET,SELL,12.662,GTC,False,False,12.662,TAKER,64025.100000000006,0.0,['567.48007134 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240425-091100-001-000-5,"['O-20240425-091100-001-000-15', 'O-20240425-091100-001-000-16']",,,,,"['scenario=CIRB-1714036200000000000-000038:ENTRY', 'family=CIRB_D_R']",d6821ed4-26eb-4d4d-8f67-263a06535e1b,2024-04-25 09:11:00+00:00,2024-04-25 09:11:00+00:00,,,,,,,
BACKTESTER-001,CrowdingInventoryResponseStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-017,BTCUSDT-PERP.BINANCE-CrowdingInventoryResponseStrategy-000,BINANCE-001,T-4014115c735391cc-18044,MARKET,BUY,12.662,GTC,True,False,12.662,TAKER,63912.1,0.0,['566.47850714 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2ca464fb-a601-46e5-a2c0-8f867ad00de8,2024-04-25 09:56:00+00:00,2024-04-25 09:56:00+00:00,,,,,,,
BACKTESTER-001,CrowdingInventoryResponseStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-018,BTCUSDT-PERP.BINANCE-CrowdingInventoryResponseStrategy-000,BINANCE-001,T-da12eca97b961480-18922,MARKET,SELL,9.655,GTC,False,False,9.655,TAKER,63295.00000000001,0.0,['427.77925750 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240425-134900-001-000-6,"['O-20240425-134900-001-000-19', 'O-20240425-134900-001-000-20']",,,,,"['scenario=CIRB-1714052700000000000-000041:ENTRY', 'family=CIRB_D_R']",d39e0af9-0b0c-442e-bedf-f3db233a0ad9,2024-04-25 13:49:00+00:00,2024-04-25 13:49:00+00:00,,,,,,,
BACKTESTER-001,CrowdingInventoryResponseStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-019,BTCUSDT-PERP.BINANCE-CrowdingInventoryResponseStrategy-000,BINANCE-001,T-b64230327747489e-18994,STOP_MARKET,BUY,9.655,GTC,True,False,9.655,TAKER,63534.200000000004,0.10000000000582077,['429.39589070 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240425-134900-001-000-6,['O-20240425-134900-001-000-20'],O-20240425-134900-001-000-18,,,,"['scenario=CIRB-1714052700000000000-000041:ENTRY', 'family=CIRB_D_R']",912ca713-9591-4d36-92b5-ca24bb2d2be0,2024-04-25 13:49:00+00:00,2024-04-25 14:07:00+00:00,63534.1,DEFAULT,,,,,
