trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-8eec91de5c1b035a-3675,MARKET,SELL,16.918,GTC,False,False,16.918,TAKER,53272.2,0.0,['630.88135572 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240226-173100-001-000-1,"['O-20240226-173100-001-000-2', 'O-20240226-173100-001-000-3']",,,,,"['scenario=DLVR-1708968420000000000-000053', 'family=DLVC']",085be0d6-4b70-499d-a227-67511345c96d,2024-02-26 17:31:00+00:00,2024-02-26 17:31:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-3b11b463f8b7451e-3687,STOP_MARKET,BUY,16.918,GTC,True,False,16.918,TAKER,53374.899999999994,0.09999999999126885,['632.09759074 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240226-173100-001-000-1,['O-20240226-173100-001-000-3'],O-20240226-173100-001-000-1,,,,"['scenario=DLVR-1708968420000000000-000053', 'family=DLVC']",97f4fa16-67db-4da0-b276-a40c014f4550,2024-02-26 17:31:00+00:00,2024-02-26 17:34:00+00:00,53374.8,DEFAULT,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-20e8c1a77ca4f145-8093,MARKET,SELL,14.857,GTC,False,False,14.857,TAKER,57009.0,0.0,['592.88789910 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240227-131100-001-000-2,"['O-20240227-131100-001-000-5', 'O-20240227-131100-001-000-6']",,,,,"['scenario=DLVR-1709038680000000000-000115', 'family=DLVC']",b66b7fff-421c-4cd6-a569-fba859362525,2024-02-27 13:11:00+00:00,2024-02-27 13:11:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-83601d22431d847f-8117,STOP_MARKET,BUY,14.857,GTC,True,False,14.857,TAKER,57125.0,0.10000000000582077,['594.09428750 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240227-131100-001-000-2,['O-20240227-131100-001-000-6'],O-20240227-131100-001-000-4,,,,"['scenario=DLVR-1709038680000000000-000115', 'family=DLVC']",b666a52d-01a1-4a86-96c7-0f7eade0fd72,2024-02-27 13:11:00+00:00,2024-02-27 13:17:00+00:00,57124.9,DEFAULT,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-066c174ccc5b985e-8328,MARKET,SELL,14.210,GTC,False,False,14.210,TAKER,56821.4,0.0,['565.20246580 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240227-141000-001-000-3,"['O-20240227-141000-001-000-8', 'O-20240227-141000-001-000-9']",,,,,"['scenario=DLVR-1709042700000000000-000119', 'family=DLVC']",7a3397b6-4274-41c0-a9e2-ef51ae93f321,2024-02-27 14:10:00+00:00,2024-02-27 14:10:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-008,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-1acdda68f3569a72-8406,STOP_MARKET,BUY,14.210,GTC,True,False,14.210,TAKER,56940.4,0.09999999999854481,['566.38615880 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240227-141000-001-000-3,['O-20240227-141000-001-000-9'],O-20240227-141000-001-000-7,,,,"['scenario=DLVR-1709042700000000000-000119', 'family=DLVC']",2ff1b0f4-00b7-48b5-a757-189dc8f78fd1,2024-02-27 14:10:00+00:00,2024-02-27 14:30:00+00:00,56940.3,DEFAULT,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-0840ff8b15cc0aa1-14226,MARKET,BUY,20.097,GTC,False,False,20.097,TAKER,61403.9,0.0,['863.82392481 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-163200-001-000-4,"['O-20240228-163200-001-000-11', 'O-20240228-163200-001-000-12']",,,,,"['scenario=DLVR-1709137680000000000-000204', 'family=DLVC']",3b51417b-c35a-47ec-83b2-182dd93d4122,2024-02-28 16:32:00+00:00,2024-02-28 16:32:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-011,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-4c6211a0161c9dd2-14230,STOP_MARKET,SELL,20.097,GTC,True,False,20.097,TAKER,61353.6,0.09999999999854481,['863.11630944 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-163200-001-000-4,['O-20240228-163200-001-000-12'],O-20240228-163200-001-000-10,,,,"['scenario=DLVR-1709137680000000000-000204', 'family=DLVC']",b1929644-734e-491c-a7a0-7f3522675d34,2024-02-28 16:32:00+00:00,2024-02-28 16:33:00+00:00,61353.7,DEFAULT,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-25b2c4beee3e3868-14489,MARKET,SELL,1.853,GTC,False,False,1.853,TAKER,60121.2,0.0,['77.98320852 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-173800-001-000-5,"['O-20240228-173800-001-000-14', 'O-20240228-173800-001-000-15']",,,,,"['scenario=DLVR-1709141520000000000-000208', 'family=DLVC']",4b8030b8-afa3-43dd-a0f3-f99974f3114b,2024-02-28 17:38:00+00:00,2024-02-28 17:38:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-7f66e8d048f16033-14516,STOP_MARKET,BUY,1.853,GTC,True,False,1.853,TAKER,61468.8,0.09999999999854481,['79.73118048 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-173800-001-000-5,['O-20240228-173800-001-000-15'],O-20240228-173800-001-000-13,,,,"['scenario=DLVR-1709141520000000000-000208', 'family=DLVC']",c3ec1d8d-e7a6-440c-a1ca-40e0ac7edf64,2024-02-28 17:38:00+00:00,2024-02-28 17:45:00+00:00,61468.7,DEFAULT,,,,,
