total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
99140.72568004,1534.41842850,97606.30725154,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1534.41842850', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99140.72568004,1534.41842850,97606.30725154,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1534.41842850', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99140.72568004,1534.41842850,97606.30725154,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1534.41842850', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
97000.87958824,0.00000000,97000.87958824,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
97000.87958824,0.00000000,97000.87958824,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
96375.20412664,1117.27761000,95257.92651664,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1117.27761000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96375.20412664,1117.27761000,95257.92651664,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1117.27761000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96375.20412664,1117.27761000,95257.92651664,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1117.27761000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
94090.75521982,0.00000000,94090.75521982,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
94090.75521982,0.00000000,94090.75521982,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
93067.56120574,1827.13216800,91240.42903774,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1827.13216800', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
93067.56120574,1827.13216800,91240.42903774,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1827.13216800', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
93067.56120574,1827.13216800,91240.42903774,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1936.98491300', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
93006.04354814,1936.98491300,91069.05863514,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1936.98491300', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
91266.53375622,0.00000000,91266.53375622,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
91266.53375622,0.00000000,91266.53375622,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
90502.12764298,1365.01091650,89137.11672648,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1365.01091650', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
90502.12764298,1365.01091650,89137.11672648,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1365.01091650', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
90502.12764298,1365.01091650,89137.11672648,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1365.01091650', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
88529.63728109,0.00000000,88529.63728109,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
88529.63728109,0.00000000,88529.63728109,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
87829.82226568,1249.66967037,86580.15259531,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1249.66967037', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
87829.82226568,1249.66967037,86580.15259531,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1249.66967037', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
87829.82226568,1249.66967037,86580.15259531,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1249.66967037', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
85873.79962004,0.00000000,85873.79962004,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
85873.79962004,0.00000000,85873.79962004,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
84994.01159729,1571.05004063,83422.96155666,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1571.05004063', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
84994.01159729,1571.05004063,83422.96155666,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1571.05004063', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
84994.01159729,1571.05004063,83422.96155666,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1571.05004063', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
83296.96939679,0.00000000,83296.96939679,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
83296.96939679,0.00000000,83296.96939679,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
82331.09620123,1724.77356350,80606.32263773,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1724.77356350', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
82331.09620123,1724.77356350,80606.32263773,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1724.77356350', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
82331.09620123,1724.77356350,80606.32263773,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1724.77356350', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
80799.40200803,0.00000000,80799.40200803,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
80799.40200803,0.00000000,80799.40200803,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
79973.91819167,1474.07824350,78499.83994817,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1474.07824350', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
79973.91819167,1474.07824350,78499.83994817,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1474.07824350', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
79973.91819167,1474.07824350,78499.83994817,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1474.07824350', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
78374.63829695,0.00000000,78374.63829695,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
78374.63829695,0.00000000,78374.63829695,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
77767.20359187,1084.70483050,76682.49876137,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1084.70483050', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
77767.20359187,1084.70483050,76682.49876137,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1084.70483050', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
77767.20359187,1084.70483050,76682.49876137,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1084.70483050', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
76023.63454907,0.00000000,76023.63454907,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
76023.63454907,0.00000000,76023.63454907,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
75448.81059027,1026.47135500,74422.33923527,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1026.47135500', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
75448.81059027,1026.47135500,74422.33923527,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1026.47135500', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
75448.81059027,1026.47135500,74422.33923527,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1026.47135500', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
79075.66199845,0.00000000,79075.66199845,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
79075.66199845,0.00000000,79075.66199845,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
78507.86580088,1013.92178138,77493.94401950,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1013.92178138', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
78507.86580088,1013.92178138,77493.94401950,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1013.92178138', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
78507.86580088,1013.92178138,77493.94401950,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1013.92178138', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
76703.91199828,0.00000000,76703.91199828,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
76703.91199828,0.00000000,76703.91199828,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
76306.00164397,710.55420413,75595.44743984,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '710.55420413', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
76306.00164397,710.55420413,75595.44743984,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '710.55420413', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
76306.00164397,710.55420413,75595.44743984,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '710.55420413', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
74403.42766189,0.00000000,74403.42766189,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
74403.42766189,0.00000000,74403.42766189,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
73905.06638848,889.93084538,73015.13554310,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '889.93084538', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
73905.06638848,889.93084538,73015.13554310,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '889.93084538', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
73905.06638848,889.93084538,73015.13554310,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '889.93084538', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
72171.95489452,0.00000000,72171.95489452,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
72171.95489452,0.00000000,72171.95489452,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
71534.04545256,1139.12400350,70394.92144906,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1139.12400350', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
71534.04545256,1139.12400350,70394.92144906,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1139.12400350', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
71534.04545256,1139.12400350,70394.92144906,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1139.12400350', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
74545.20897488,0.00000000,74545.20897488,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
74545.20897488,0.00000000,74545.20897488,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
74102.94049823,789.76513688,73313.17536135,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '789.76513688', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
74102.94049823,789.76513688,73313.17536135,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '789.76513688', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
74102.94049823,789.76513688,73313.17536135,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1586.96514375', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
73656.50930519,1586.96514375,72069.54416144,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1586.96514375', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
72308.44471619,0.00000000,72308.44471619,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
72308.44471619,0.00000000,72308.44471619,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
71717.51587769,1055.23006875,70662.28580894,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1055.23006875', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
71717.51587769,1055.23006875,70662.28580894,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1055.23006875', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
71717.51587769,1055.23006875,70662.28580894,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1299.42738750', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
71580.76512880,1299.42738750,70281.33774130,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '167.05363125', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
70324.74701975,167.05363125,70157.69338850,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '167.05363125', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
70324.74701975,167.05363125,70157.69338850,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '167.05363125', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
70139.20820559,0.00000000,70139.20820559,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
70139.20820559,0.00000000,70139.20820559,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
69152.79313455,1761.45548400,67391.33765055,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1761.45548400', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
69152.79313455,1761.45548400,67391.33765055,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1761.45548400', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
69152.79313455,1761.45548400,67391.33765055,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1808.93388000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
69126.20518526,1808.93388000,67317.27130526,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1808.93388000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
68035.57863946,0.00000000,68035.57863946,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
68035.57863946,0.00000000,68035.57863946,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
