trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-082000-001-000-1,O-20240226-082000-001-000-2,BUY,FLAT,0.000,23.908,1708935600000000000,2024-02-26 08:20:00+00:00,1708937580000000000,2024-02-26 08:53:00+00:00,1980000000000,51344.1,51290.5,['1717.65161176 USDT'],-0.00104,-2999.12041176 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-091600-001-000-4,O-20240226-091600-001-000-5,BUY,FLAT,0.000,17.418,1708938960000000000,2024-02-26 09:16:00+00:00,1708939140000000000,2024-02-26 09:19:00+00:00,180000000000,51316.0,51220.700000000004,['1250.18896842 USDT'],-0.00186,-2910.12436842 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-093300-001-000-7,O-20240226-093300-001-000-8,BUY,FLAT,0.000,30.328,1708939980000000000,2024-02-26 09:33:00+00:00,1708940040000000000,2024-02-26 09:34:00+00:00,60000000000,51094.30567132684,51072.700000000004,['2168.96466360 USDT'],-0.00042,-2824.22146360 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-093900-001-000-10,O-20240226-093900-001-000-11,BUY,FLAT,0.000,21.397,1708940340000000000,2024-02-26 09:39:00+00:00,1708940460000000000,2024-02-26 09:41:00+00:00,120000000000,51035.6,50979.100000000006,['1527.96597513 USDT'],-0.00111,-2736.89647513 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-095700-001-000-13,O-20240226-095700-001-000-14,BUY,FLAT,0.000,27.558,1708941420000000000,2024-02-26 09:57:00+00:00,1708941480000000000,2024-02-26 09:58:00+00:00,60000000000,50971.100000000006,50946.1,['1966.04393832 USDT'],-0.00049,-2654.99393832 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-102800-001-000-16,O-20240226-102800-001-000-17,SELL,FLAT,0.000,18.937,1708943280000000000,2024-02-26 10:28:00+00:00,1708944000000000000,2024-02-26 10:40:00+00:00,720000000000,51208.1,51272.4,['1358.47125995 USDT'],-0.00126,-2576.12035995 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-104200-001-000-19,O-20240226-104200-001-000-20,SELL,FLAT,0.000,23.789,1708944120000000000,2024-02-26 10:42:00+00:00,1708944960000000000,2024-02-26 10:56:00+00:00,840000000000,51247.299999999996,51280.6,['1707.32534917 USDT'],-0.00065,-2499.49904917 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-123300-001-000-22,O-20240226-123300-001-000-23,SELL,FLAT,0.000,33.535,1708950780000000000,2024-02-26 12:33:00+00:00,1708950840000000000,2024-02-26 12:34:00+00:00,60000000000,51178.876245713436,51179.5,['2402.81170318 USDT'],-1e-05,-2423.72930318 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-150100-001-000-25,O-20240226-150100-001-000-26,SELL,FLAT,0.000,25.095,1708959660000000000,2024-02-26 15:01:00+00:00,1708959720000000000,2024-02-26 15:02:00+00:00,60000000000,51734.8,51756.0,['1817.97113820 USDT'],-0.00041,-2349.98513820 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-155600-001-000-28,O-20240226-155600-001-000-29,SELL,FLAT,0.000,19.268,1708962960000000000,2024-02-26 15:56:00+00:00,1708963020000000000,2024-02-26 15:57:00+00:00,60000000000,52799.9,52844.3,['1424.88671192 USDT'],-0.00084,-2280.38591192 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-180700-001-000-31,O-20240226-180700-001-000-32,SELL,FLAT,0.000,15.239,1708970820000000000,2024-02-26 18:07:00+00:00,1708972200000000000,2024-02-26 18:30:00+00:00,1380000000000,53578.899999999994,53649.0,['1143.83217767 USDT'],-0.00131,-2212.08607767 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-192500-001-000-34,O-20240226-192500-001-000-35,SELL,FLAT,0.000,13.480,1708975500000000000,2024-02-26 19:25:00+00:00,1708976280000000000,2024-02-26 19:38:00+00:00,780000000000,54435.100000000006,54518.0,['1028.08145160 USDT'],-0.00152,-2145.57345160 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-194000-001-000-37,O-20240226-194000-001-000-38,SELL,FLAT,0.000,9.452,1708976400000000000,2024-02-26 19:40:00+00:00,1708976700000000000,2024-02-26 19:45:00+00:00,300000000000,54401.7,54545.6,['720.83891572 USDT'],-0.00265,-2080.98171572 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-213200-001-000-40,O-20240226-213200-001-000-41,BUY,FLAT,0.000,23.147,1708983120000000000,2024-02-26 21:32:00+00:00,1708983180000000000,2024-02-26 21:33:00+00:00,60000000000,54635.4,54624.6,['1770.32885400 USDT'],-0.0002,-2020.31645400 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-221800-001-000-43,O-20240226-221800-001-000-45,SELL,FLAT,0.000,15.042,1708985880000000000,2024-02-26 22:18:00+00:00,1708986420000000000,2024-02-26 22:27:00+00:00,540000000000,54805.100000000006,54567.6,['1151.62890738 USDT'],0.00433,2420.84609262 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-223000-001-000-46,O-20240226-223000-001-000-47,BUY,FLAT,0.000,17.793,1708986600000000000,2024-02-26 22:30:00+00:00,1708986780000000000,2024-02-26 22:33:00+00:00,180000000000,54587.7,54549.9,['1359.31972176 USDT'],-0.00069,-2031.89512176 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-224000-001-000-49,O-20240226-224000-001-000-50,BUY,FLAT,0.000,20.505,1708987200000000000,2024-02-26 22:40:00+00:00,1708987320000000000,2024-02-26 22:42:00+00:00,120000000000,54546.54351133869,54526.8,['1565.58423609 USDT'],-0.00036,-1970.42493609 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-225500-001-000-52,O-20240226-225500-001-000-54,SELL,FLAT,0.000,13.251,1708988100000000000,2024-02-26 22:55:00+00:00,1708990680000000000,2024-02-26 23:38:00+00:00,2580000000000,54701.7,54490.5,['1012.83408954 USDT'],0.00386,1785.77711046 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-001500-001-000-55,O-20240227-001500-001-000-56,SELL,FLAT,0.000,18.670,1708992900000000000,2024-02-27 00:15:00+00:00,1708992960000000000,2024-02-27 00:16:00+00:00,60000000000,54650.0543277986,54678.8,['1428.81879721 USDT'],-0.00053,-1965.50049721 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-004500-001-000-58,O-20240227-004500-001-000-60,BUY,FLAT,0.000,20.691,1708994700000000000,2024-02-27 00:45:00+00:00,1708996140000000000,2024-02-27 01:09:00+00:00,1440000000000,54510.11038615823,54692.3,['1581.65495131 USDT'],0.00334,2188.03034869 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-012900-001-000-61,O-20240227-012900-001-000-62,SELL,FLAT,0.000,18.775,1708997340000000000,2024-02-27 01:29:00+00:00,1708998000000000000,2024-02-27 01:40:00+00:00,660000000000,54774.998695073235,54803.299999999996,['1440.13279060 USDT'],-0.00052,-1971.48979060 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-055500-001-000-64,O-20240227-055500-001-000-65,SELL,FLAT,0.000,10.793,1709013300000000000,2024-02-27 05:55:00+00:00,1709014020000000000,2024-02-27 06:07:00+00:00,720000000000,56183.7,56282.1,['849.69036558 USDT'],-0.00175,-1911.72156558 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-061100-001-000-67,O-20240227-061100-001-000-68,SELL,FLAT,0.000,17.797,1709014260000000000,2024-02-27 06:11:00+00:00,1709015100000000000,2024-02-27 06:25:00+00:00,840000000000,56299.8,56325.2,['1403.07098750 USDT'],-0.00045,-1855.11478750 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-062700-001-000-70,O-20240227-062700-001-000-71,SELL,FLAT,0.000,11.423,1709015220000000000,2024-02-27 06:27:00+00:00,1709015580000000000,2024-02-27 06:33:00+00:00,360000000000,56281.0,56359.7,['900.68630127 USDT'],-0.0014,-1799.67640127 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-064700-001-000-73,O-20240227-064700-001-000-75,SELL,FLAT,0.000,14.308,1709016420000000000,2024-02-27 06:47:00+00:00,1709017560000000000,2024-02-27 07:06:00+00:00,1140000000000,56455.2,56183.8,['1128.14716840 USDT'],0.00481,2755.04403160 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-071300-001-000-76,O-20240227-071300-001-000-77,SELL,FLAT,0.000,21.364,1709017980000000000,2024-02-27 07:13:00+00:00,1709018040000000000,2024-02-27 07:14:00+00:00,60000000000,56252.8,56259.6,['1682.60043952 USDT'],-0.00012,-1827.87563952 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-081700-001-000-79,O-20240227-081700-001-000-80,SELL,FLAT,0.000,11.845,1709021820000000000,2024-02-27 08:17:00+00:00,1709022000000000000,2024-02-27 08:20:00+00:00,180000000000,56319.8,56390.6,['934.53828160 USDT'],-0.00126,-1773.16428160 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-082800-001-000-82,O-20240227-082800-001-000-83,SELL,FLAT,0.000,20.504,1709022480000000000,2024-02-27 08:28:00+00:00,1709022540000000000,2024-02-27 08:29:00+00:00,60000000000,56435.299999999996,56440.2,['1620.07947640 USDT'],-9e-05,-1720.54907640 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-102400-001-000-85,O-20240227-102400-001-000-86,SELL,FLAT,0.000,16.288,1709029440000000000,2024-02-27 10:24:00+00:00,1709029500000000000,2024-02-27 10:25:00+00:00,60000000000,56768.2,56791.100000000006,['1294.75771488 USDT'],-0.0004,-1667.75291488 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-122900-001-000-88,O-20240227-122900-001-000-89,SELL,FLAT,0.000,4.913,1709036940000000000,2024-02-27 12:29:00+00:00,1709037180000000000,2024-02-27 12:33:00+00:00,240000000000,56920.1,57169.6,['392.36588727 USDT'],-0.00438,-1618.15938727 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-140800-001-000-91,O-20240227-140800-001-000-92,BUY,FLAT,0.000,11.265,1709042880000000000,2024-02-27 14:08:00+00:00,1709042940000000000,2024-02-27 14:09:00+00:00,60000000000,56883.100000000006,56823.4,['896.63260575 USDT'],-0.00105,-1569.15310575 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-141700-001-000-94,O-20240227-141700-001-000-95,BUY,FLAT,0.000,12.099,1709043420000000000,2024-02-27 14:17:00+00:00,1709043840000000000,2024-02-27 14:24:00+00:00,420000000000,56822.1,56775.8,['962.09469447 USDT'],-0.00081,-1522.27839447 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-162900-001-000-97,O-20240227-162900-001-000-98,SELL,FLAT,0.000,5.808,1709051340000000000,2024-02-27 16:29:00+00:00,1709051640000000000,2024-02-27 16:34:00+00:00,300000000000,56912.6,57087.100000000006,['463.47718032 USDT'],-0.00307,-1476.97318032 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-163600-001-000-100,O-20240227-163600-001-000-101,SELL,FLAT,0.000,6.647,1709051760000000000,2024-02-27 16:36:00+00:00,1709052360000000000,2024-02-27 16:46:00+00:00,600000000000,56986.1,57121.7,['530.93218262 USDT'],-0.00238,-1432.26538262 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-172300-001-000-103,O-20240227-172300-001-000-105,SELL,FLAT,0.000,9.721,1709054580000000000,2024-02-27 17:23:00+00:00,1709055300000000000,2024-02-27 17:35:00+00:00,720000000000,57197.7,57001.299999999996,['777.08993530 USDT'],0.00343,1132.11446470 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-174300-001-000-106,O-20240227-191300-001-000-109,BUY,FLAT,0.000,4.732,1709055780000000000,2024-02-27 17:43:00+00:00,1709061180000000000,2024-02-27 19:13:00+00:00,5400000000000,56905.100000000006,57057.100000000006,['377.48839128 USDT'],0.00267,341.77560872 USDT,True
