trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-e9d13e5aa6166e5a-4360,MARKET,BUY,20.350,GTC,False,False,20.350,TAKER,54383.100000000006,0.0,['774.68725950 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240226-203100-001-000-1,"['O-20240226-203100-001-000-2', 'O-20240226-203100-001-000-3']",,,,,"['scenario=HSP-1708979280000000000-000003', 'family=HFF']",b012b20e-f5d0-401f-bdb2-66f774999791,2024-02-26 20:31:00+00:00,2024-02-26 20:31:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-9113642f18c48571-4589,MARKET,SELL,20.350,GTC,True,False,20.350,TAKER,54673.8,0.0,['778.82828100 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b94c8815-9494-420b-8838-653246558abd,2024-02-26 21:31:00+00:00,2024-02-26 21:31:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-f54030504391be7e-4815,MARKET,BUY,17.814,GTC,False,False,17.814,TAKER,54631.4,0.0,['681.24263172 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240226-223200-001-000-2,"['O-20240226-223200-001-000-6', 'O-20240226-223200-001-000-7']",,,,,"['scenario=HSP-1708986540000000000-000004', 'family=HFF']",4fcd5a30-1ff6-46b7-b43d-e3f73a218e45,2024-02-26 22:32:00+00:00,2024-02-26 22:32:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-5c23365097682a56-4829,STOP_MARKET,SELL,17.814,GTC,True,False,17.814,TAKER,54532.1,0.09999999999854481,['680.00438058 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240226-223200-001-000-2,['O-20240226-223200-001-000-7'],O-20240226-223200-001-000-5,,,,"['scenario=HSP-1708986540000000000-000004', 'family=HFF']",adecaf53-f2e1-48da-8dd0-7fc646d38995,2024-02-26 22:32:00+00:00,2024-02-26 22:36:00+00:00,54532.2,DEFAULT,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-01845610c0ca4b68-5382,LIMIT,SELL,17.856,GTC,True,False,17.856,MAKER,54766.700000000004,0.09999999999854481,['684.53993664 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240227-004700-001-000-3,['O-20240227-004700-001-000-9'],O-20240227-004700-001-000-8,,,,"['scenario=HSP-1708994640000000000-000009', 'family=HFF']",d753a3b8-a0e7-4c21-a13f-7b009983da00,2024-02-27 00:47:00+00:00,2024-02-27 01:11:00+00:00,,,,,54766.8,True,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-008,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-5c502c4fb49ee538-5296,MARKET,BUY,17.856,GTC,False,False,17.856,TAKER,54577.9,0.0,['682.18008768 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240227-004700-001-000-3,"['O-20240227-004700-001-000-9', 'O-20240227-004700-001-000-10']",,,,,"['scenario=HSP-1708994640000000000-000009', 'family=HFF']",9121cc6b-460c-4e81-8a39-79f26c41c9bb,2024-02-27 00:47:00+00:00,2024-02-27 00:47:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-011,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-a803f2ca161f57f8-6265,MARKET,BUY,17.104,GTC,False,False,17.104,TAKER,55798.2,0.0,['668.06068896 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240227-050100-001-000-4,"['O-20240227-050100-001-000-12', 'O-20240227-050100-001-000-13']",,,,,"['scenario=HSP-1709009940000000000-000012', 'family=HFF']",7a62291c-780e-428e-b0b5-7f47bbcba00d,2024-02-27 05:01:00+00:00,2024-02-27 05:01:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-e1c85d4fb4738662-6414,LIMIT,SELL,17.104,GTC,True,False,17.104,MAKER,56029.9,0.09999999999854481,['670.83478672 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240227-050100-001-000-4,['O-20240227-050100-001-000-12'],O-20240227-050100-001-000-11,,,,"['scenario=HSP-1709009940000000000-000012', 'family=HFF']",4cb59a95-1ace-4011-8ff0-1cf284545196,2024-02-27 05:01:00+00:00,2024-02-27 05:40:00+00:00,,,,,56030.0,True,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-2b46ef71a2f9d6a0-6497,MARKET,BUY,15.924,GTC,False,False,15.924,TAKER,56210.5,0.0,['626.56720140 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240227-060300-001-000-5,"['O-20240227-060300-001-000-15', 'O-20240227-060300-001-000-16']",,,,,"['scenario=HSP-1709013660000000000-000015', 'family=HFF']",cf297d04-6e6e-4d81-b050-58c549c2351b,2024-02-27 06:03:00+00:00,2024-02-27 06:03:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-017,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-bb03f78f64ca4ff9-6723,MARKET,SELL,15.924,GTC,True,False,15.924,TAKER,56355.9,0.0,['628.18794612 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1adbcc1d-4341-43ff-a20e-208530a3d34e,2024-02-27 07:03:00+00:00,2024-02-27 07:03:00+00:00,,,,,,,
