trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-203100-001-000-1,O-20240226-213100-001-000-4,BUY,FLAT,0.000,20.350,1708979460000000000,2024-02-26 20:31:00+00:00,1708983060000000000,2024-02-26 21:31:00+00:00,3600000000000,54383.100000000006,54673.8,['1553.51554050 USDT'],0.00535,4362.22945950 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-223200-001-000-5,O-20240226-223200-001-000-6,BUY,FLAT,0.000,17.814,1708986720000000000,2024-02-26 22:32:00+00:00,1708986960000000000,2024-02-26 22:36:00+00:00,240000000000,54631.4,54532.1,['1361.24701230 USDT'],-0.00182,-3130.17721230 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-004700-001-000-8,O-20240227-004700-001-000-10,BUY,FLAT,0.000,17.856,1708994820000000000,2024-02-27 00:47:00+00:00,1708996260000000000,2024-02-27 01:11:00+00:00,1440000000000,54577.9,54766.700000000004,['1366.72002432 USDT'],0.00346,2004.49277568 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-050100-001-000-11,O-20240227-050100-001-000-13,BUY,FLAT,0.000,17.104,1709010060000000000,2024-02-27 05:01:00+00:00,1709012400000000000,2024-02-27 05:40:00+00:00,2340000000000,55798.2,56029.9,['1338.89547568 USDT'],0.00415,2624.10132432 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-060300-001-000-14,O-20240227-070300-001-000-17,BUY,FLAT,0.000,15.924,1709013780000000000,2024-02-27 06:03:00+00:00,1709017380000000000,2024-02-27 07:03:00+00:00,3600000000000,56210.5,56355.9,['1254.75514752 USDT'],0.00259,1060.59445248 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-071100-001-000-18,O-20240227-071100-001-000-19,BUY,FLAT,0.000,15.596,1709017860000000000,2024-02-27 07:11:00+00:00,1709018760000000000,2024-02-27 07:26:00+00:00,900000000000,56234.1,56107.100000000006,['1226.45134864 USDT'],-0.00226,-3207.14334864 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240228-092700-001-000-21,O-20240228-102700-001-000-24,BUY,FLAT,0.000,14.925,1709112420000000000,2024-02-28 09:27:00+00:00,1709116020000000000,2024-02-28 10:27:00+00:00,3600000000000,59119.7,59209.6,['1236.24536175 USDT'],0.00152,105.51213825 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240228-103200-001-000-25,O-20240228-113200-001-000-28,BUY,FLAT,0.000,29.241,1709116320000000000,2024-02-28 10:32:00+00:00,1709119920000000000,2024-02-28 11:32:00+00:00,3600000000000,59179.20011969495,59398.1,['2427.12318296 USDT'],0.0037,3973.72821704 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240228-120700-001-000-29,O-20240228-120700-001-000-31,BUY,FLAT,0.000,9.685,1709122020000000000,2024-02-28 12:07:00+00:00,1709125620000000000,2024-02-28 13:07:00+00:00,3600000000000,59204.0,59588.899999999994,['805.35646555 USDT'],0.0065,2922.40003445 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240228-172900-001-000-32,O-20240228-172900-001-000-33,BUY,FLAT,0.000,3.393,1709141340000000000,2024-02-28 17:29:00+00:00,1709141460000000000,2024-02-28 17:31:00+00:00,120000000000,62289.100000000006,61396.99999999999,['293.76685611 USDT'],-0.01432,-3320.66215611 USDT,False
