trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-e9d13e5aa6166e5a-4360,MARKET,BUY,20.350,GTC,False,False,20.350,TAKER,54383.100000000006,0.0,['774.68725950 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240226-203100-001-000-1,"['O-20240226-203100-001-000-2', 'O-20240226-203100-001-000-3']",,,,,"['scenario=HSP-1708979280000000000-000003', 'family=HFF']",d888d059-4e41-4656-bebd-10a3c0062bd7,2024-02-26 20:31:00+00:00,2024-02-26 20:31:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-9113642f18c48571-4589,MARKET,SELL,20.350,GTC,True,False,20.350,TAKER,54673.8,0.0,['778.82828100 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ac76d713-1f10-4218-8486-726a8d4d13a8,2024-02-26 21:31:00+00:00,2024-02-26 21:31:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-f54030504391be7e-4815,MARKET,BUY,17.814,GTC,False,False,17.814,TAKER,54631.4,0.0,['681.24263172 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240226-223200-001-000-2,"['O-20240226-223200-001-000-6', 'O-20240226-223200-001-000-7']",,,,,"['scenario=HSP-1708986540000000000-000004', 'family=HFF']",6153a171-b315-4255-981f-111a484f252a,2024-02-26 22:32:00+00:00,2024-02-26 22:32:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-5c23365097682a56-4829,STOP_MARKET,SELL,17.814,GTC,True,False,17.814,TAKER,54532.1,0.09999999999854481,['680.00438058 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240226-223200-001-000-2,['O-20240226-223200-001-000-7'],O-20240226-223200-001-000-5,,,,"['scenario=HSP-1708986540000000000-000004', 'family=HFF']",e8f8a0d2-20e9-472d-9456-07bb87fa9325,2024-02-26 22:32:00+00:00,2024-02-26 22:36:00+00:00,54532.2,DEFAULT,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-01845610c0ca4b68-5382,LIMIT,SELL,17.856,GTC,True,False,17.856,MAKER,54766.700000000004,0.09999999999854481,['684.53993664 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240227-004700-001-000-3,['O-20240227-004700-001-000-9'],O-20240227-004700-001-000-8,,,,"['scenario=HSP-1708994640000000000-000009', 'family=HFF']",135ec671-8209-4865-8be8-efb3d90a2044,2024-02-27 00:47:00+00:00,2024-02-27 01:11:00+00:00,,,,,54766.8,True,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-008,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-5c502c4fb49ee538-5296,MARKET,BUY,17.856,GTC,False,False,17.856,TAKER,54577.9,0.0,['682.18008768 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240227-004700-001-000-3,"['O-20240227-004700-001-000-9', 'O-20240227-004700-001-000-10']",,,,,"['scenario=HSP-1708994640000000000-000009', 'family=HFF']",b9ea5af0-dc5d-46b2-9024-9d3cd06d2f42,2024-02-27 00:47:00+00:00,2024-02-27 00:47:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-011,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-a803f2ca161f57f8-6265,MARKET,BUY,17.104,GTC,False,False,17.104,TAKER,55798.2,0.0,['668.06068896 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240227-050100-001-000-4,"['O-20240227-050100-001-000-12', 'O-20240227-050100-001-000-13']",,,,,"['scenario=HSP-1709009940000000000-000012', 'family=HFF']",87f140bf-a124-4cf8-8092-743232d95d2d,2024-02-27 05:01:00+00:00,2024-02-27 05:01:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-e1c85d4fb4738662-6414,LIMIT,SELL,17.104,GTC,True,False,17.104,MAKER,56029.9,0.09999999999854481,['670.83478672 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240227-050100-001-000-4,['O-20240227-050100-001-000-12'],O-20240227-050100-001-000-11,,,,"['scenario=HSP-1709009940000000000-000012', 'family=HFF']",f38eb5ae-a3a7-45cd-b0e1-87a6dc6d89fe,2024-02-27 05:01:00+00:00,2024-02-27 05:40:00+00:00,,,,,56030.0,True,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-2b46ef71a2f9d6a0-6497,MARKET,BUY,15.924,GTC,False,False,15.924,TAKER,56210.5,0.0,['626.56720140 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240227-060300-001-000-5,"['O-20240227-060300-001-000-15', 'O-20240227-060300-001-000-16']",,,,,"['scenario=HSP-1709013660000000000-000015', 'family=HFF']",712d8349-0bde-481c-8dd4-0421b2895275,2024-02-27 06:03:00+00:00,2024-02-27 06:03:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-017,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-bb03f78f64ca4ff9-6723,MARKET,SELL,15.924,GTC,True,False,15.924,TAKER,56355.9,0.0,['628.18794612 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3e596aee-9ad1-4c55-a840-5029a3521c4b,2024-02-27 07:03:00+00:00,2024-02-27 07:03:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-018,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-6b8c34d3dc80da09-12581,MARKET,BUY,15.387,GTC,False,False,15.387,TAKER,59119.7,0.0,['636.77237673 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-092700-001-000-6,"['O-20240228-092700-001-000-19', 'O-20240228-092700-001-000-20']",,,,,"['scenario=HSP-1709112180000000000-000026', 'family=HFF']",94b617dc-bf27-430d-89a5-792f29539e9c,2024-02-28 09:27:00+00:00,2024-02-28 09:27:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-021,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-5d0be2685cf262cb-12815,MARKET,SELL,15.387,GTC,True,False,15.387,TAKER,59209.6,0.0,['637.74068064 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4b95054c-f329-4846-a7f0-4ab760222e65,2024-02-28 10:27:00+00:00,2024-02-28 10:27:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-022,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-6330542e3d45ccd2-12837,MARKET,BUY,30.145,GTC,False,False,30.145,TAKER,59179.20311494443,0.0,['1248.76995453 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-103200-001-000-7,"['O-20240228-103200-001-000-23', 'O-20240228-103200-001-000-24']",,,,,"['scenario=HSP-1709116080000000000-000027', 'family=HFF']",4cb8b25d-2c7f-4d18-a78f-43115d168550,2024-02-28 10:32:00+00:00,2024-02-28 10:32:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-025,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-f676a306ad3ecb1d-13069,MARKET,SELL,30.145,GTC,True,False,30.145,TAKER,59398.1,0.0,['1253.38900715 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,08b069ac-5e5f-4e32-822f-c24608b8c1bf,2024-02-28 11:32:00+00:00,2024-02-28 11:32:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-026,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-7eba32a8fc54b005-13207,MARKET,BUY,9.984,GTC,False,False,9.984,TAKER,59204.0,0.0,['413.76491520 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-120700-001-000-8,"['O-20240228-120700-001-000-27', 'O-20240228-120700-001-000-28']",,,,,"['scenario=HSP-1709121780000000000-000030', 'family=HFF']",3ccfde34-b082-456e-b3e7-c57b7a06dfe4,2024-02-28 12:07:00+00:00,2024-02-28 12:07:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-028,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-1f068512bcfd3ffd-13441,LIMIT,SELL,9.984,GTC,True,False,9.984,MAKER,59588.899999999994,0.09999999999854481,['416.45490432 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-120700-001-000-8,['O-20240228-120700-001-000-27'],O-20240228-120700-001-000-26,,,,"['scenario=HSP-1709121780000000000-000030', 'family=HFF']",d40b3b83-6884-46e9-9996-451ad526e5d9,2024-02-28 12:07:00+00:00,2024-02-28 13:07:00+00:00,,,,,59589.0,True,
