total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
99326.11029533,1203.37447263,98122.73582270,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1203.37447263', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99326.11029533,1203.37447263,98122.73582270,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1203.37447263', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99326.11029533,1203.37447263,98122.73582270,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1203.37447263', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
101980.13262042,0.00000000,101980.13262042,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
101980.13262042,0.00000000,101980.13262042,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
101599.61912706,679.48838100,100920.13074606,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '679.48838100', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
101599.61912706,679.48838100,100920.13074606,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '679.48838100', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
101599.61912706,679.48838100,100920.13074606,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '679.48838100', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
98921.15052906,0.00000000,98921.15052906,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
98921.15052906,0.00000000,98921.15052906,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
98107.85560711,1452.31236063,96655.54324648,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1452.31236063', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
98107.85560711,1452.31236063,96655.54324648,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1452.31236063', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
98107.85560711,1452.31236063,96655.54324648,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1452.31236063', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
95954.14003688,0.00000000,95954.14003688,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
95954.14003688,0.00000000,95954.14003688,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
95825.90546671,228.99030388,95596.91516283,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '228.99030388', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
95825.90546671,228.99030388,95596.91516283,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '228.99030388', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
95825.90546671,228.99030388,95596.91516283,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '228.99030388', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
93075.84136281,0.00000000,93075.84136281,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
93075.84136281,0.00000000,93075.84136281,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
