total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
99366.33083926,1131.55207275,98234.77876651,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1131.55207275', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99366.33083926,1131.55207275,98234.77876651,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1131.55207275', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99366.33083926,1131.55207275,98234.77876651,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1131.55207275', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96999.45437350,0.00000000,96999.45437350,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
96999.45437350,0.00000000,96999.45437350,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
96345.60639473,1167.58567638,95178.02071835,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1167.58567638', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96345.60639473,1167.58567638,95178.02071835,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1167.58567638', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96345.60639473,1167.58567638,95178.02071835,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1167.58567638', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
94089.51217398,0.00000000,94089.51217398,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
94089.51217398,0.00000000,94089.51217398,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
93731.89489578,638.60228250,93093.29261328,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '638.60228250', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
93731.89489578,638.60228250,93093.29261328,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '638.60228250', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
93731.89489578,638.60228250,93093.29261328,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1529.90020313', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
93232.76859713,1529.90020313,91702.86839400,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1529.90020313', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
91265.88216463,0.00000000,91265.88216463,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
91265.88216463,0.00000000,91265.88216463,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
90596.30363053,1195.67595375,89400.62767678,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1195.67595375', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
90596.30363053,1195.67595375,89400.62767678,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1195.67595375', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
90596.30363053,1195.67595375,89400.62767678,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1195.67595375', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
88527.95664343,0.00000000,88527.95664343,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
88527.95664343,0.00000000,88527.95664343,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
