total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
98831.78641360,2086.09569000,96745.69072360,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '2086.09569000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
98831.78641360,2086.09569000,96745.69072360,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '2086.09569000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
98831.78641360,2086.09569000,96745.69072360,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '2086.09569000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96998.77251340,0.00000000,96998.77251340,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
96998.77251340,0.00000000,96998.77251340,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
95971.49790140,1834.41895000,94137.07895140,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1834.41895000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
95971.49790140,1834.41895000,94137.07895140,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1834.41895000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
95971.49790140,1834.41895000,94137.07895140,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1834.41895000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
94088.33083380,0.00000000,94088.33083380,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
94088.33083380,0.00000000,94088.33083380,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
93461.30841897,1119.68288363,92341.62553534,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1119.68288363', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
93461.30841897,1119.68288363,92341.62553534,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1119.68288363', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
93461.30841897,1119.68288363,92341.62553534,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1119.68288363', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
91266.26029101,0.00000000,91266.26029101,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
91266.26029101,0.00000000,91266.26029101,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
