scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,entry_execution_mode,entry_order_type,entry_expiry_ts_ns,entry_client_order_id,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,causal_exit_reason_codes,causal_exit_open_position,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,forced_exit_reason,partial_entry_abort_requested,partial_entry_abort_opened_quantity,partial_entry_open_parent_count,partial_entry_flatten_attempts,partial_entry_cancel_retry_count
OICB-1708963800000000000-000008,OICB_C,OICB_C,LONG,LONG,1708963920000000000,2024-02-26,16,1708963920000000000,53425.0,53425.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-161200-001-000-1,53222.0,54043.299999999996,SHOCK_RANGE_EXTENSION,53230.95,111.6049999999992,10.797,100000.0,3000.0,277.83131511999994,1.9540532076649388,0.0007,,False,False,(),False,53425.100000000006,1708963920000000000,971,13,53688.5,53150.5,263.3999999999942,274.6000000000058,1.2968980797635974,1.3520433284096403,2.3601093140987954,2.460463240894295,0.4778414914915305,0.6774631575231129,,,53221.9,1708964640000000000,2024-02-26,16,12.0,-2999.9777613,-0.003803455679072278,-0.9999925871,STOP,,,,,,
OICB-1708998300000000000-000018,OICB_C,OICB_C,LONG,LONG,1708998480000000000,2024-02-27,1,1708998480000000000,55244.1,55244.1,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-014800-001-000-4,55106.0,55831.0,SHOCK_RANGE_EXTENSION,55112.65,45.13999999999978,13.499,97000.0222387,2910.000667161,215.55626215999936,2.3612044827637826,0.0007,,False,False,(),False,55244.2,1708998480000000000,1547,10,55876.0,55126.1,631.8000000000029,118.09999999999854,4.571635311143388,0.8545586107091246,13.99645547186544,2.616304829419564,2.367114621895176,2.569240412922572,1.7089986e+18,1.70899872e+18,55830.899999999994,1708999020000000000,2024-02-27,1,9.0,6870.28135757,0.010620119397149332,2.3609208874418077,OTHER_EXIT,,,,,,
OICB-1708999800000000000-000020,OICB_E,OICB_E,SHORT,SHORT,1708999860000000000,2024-02-27,2,1708999860000000000,56710.3,56710.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-021100-001-000-7,57801.100000000006,55736.899999999994,PRE_SHOCK_PRICE,56755.1,263.3350000000002,2.66,103870.30359627,3116.1091078880995,1171.1247567599976,0.7637845198274734,0.0007,,False,False,(),False,56710.2,1708999860000000000,1570,46,56159.6,56957.4,550.5999999999985,247.20000000000437,0.5047208726739336,0.22660188834907177,2.0908728425769385,0.938728235897257,0.38431108846606954,0.4025114636839688,,,56298.700000000004,1709002560000000000,2024-02-27,2,45.0,884.1674282,0.007256190244435618,0.2837408439780956,TIMEOUT,TIMEOUT,,,,,
OICB-1709006100000000000-000023,OICB_C,OICB_C,SHORT,SHORT,1709006220000000000,2024-02-27,3,1709006220000000000,55872.7,55872.7,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-035700-001-000-11,56062.8,55450.2,SHOCK_RANGE_EXTENSION,56056.5,78.95499999999956,11.696,104754.47102447,3142.6341307341,268.6712614800062,1.2815808177742924,0.0007,,False,False,(),False,55872.6,1709006220000000000,1676,31,55587.9,56063.9,284.6999999999971,191.3000000000029,1.4968454258674582,1.005783385909561,3.6058514343613286,2.4228991197518077,0.6545405304284296,0.7685140899052302,1.70900634e+18,,56062.899999999994,1709008020000000000,2024-02-27,4,30.0,-3142.1871256,-0.0034059628512006896,-0.9998577610006433,STOP,,,,,,
OICB-1709019000000000000-000028,OICB_C,OICB_C,SHORT,SHORT,1709019120000000000,2024-02-27,7,1709019120000000000,55969.3,55969.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-073200-001-000-14,56055.8,55707.8,SHOCK_RANGE_EXTENSION,56047.5,54.790000000001235,18.463,101612.28389887,3048.3685169661,165.10075823999512,1.1094804587979723,0.0007,,False,False,(),False,55969.2,1709019120000000000,1891,10,55853.3,56099.0,115.89999999999418,129.8000000000029,1.3383371824478798,1.4988452655888473,2.115349516334944,2.369045446249315,0.1587903670429434,0.22667521578303865,,,56055.9,1709019660000000000,2024-02-27,7,9.0,-3048.56569491,-0.001549066272164054,-1.0000646831059967,STOP,,,,,,
OICB-1709047200000000000-000038,OICB_C,OICB_C,LONG,LONG,1709047320000000000,2024-02-27,15,1709047320000000000,57283.5,57283.5,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-152200-001-000-17,57088.0,57529.8,SHOCK_RANGE_EXTENSION,57095.65,95.98000000000101,10.721,98563.71820396,2956.9115461188,275.7884301199956,0.6008435793623036,0.0007,,False,False,(),False,57283.6,1709047320000000000,2361,20,57350.0,57072.7,66.40000000000146,210.90000000000146,0.33946830265849665,1.078220858895721,0.6918107939154069,2.197332777662005,-0.17991545177732088,-0.050921352987462934,,,57087.9,1709048460000000000,2024-02-27,15,19.0,-2956.42349605,-0.0034163355655021173,-0.999834946003224,STOP,,,,,,
OICB-1709050200000000000-000040,OICB_C,OICB_C,SHORT,SHORT,1709050440000000000,2024-02-27,16,1709050440000000000,56464.4,56464.4,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-161400-001-000-20,56598.4,55890.899999999994,SHOCK_RANGE_EXTENSION,56591.05,92.16499999999978,13.442,95607.29470791,2868.2188412373,213.36717624000326,2.3181928974099777,0.0007,,False,False,(),False,56464.3,1709050440000000000,2413,3,56415.6,56619.0,48.700000000004366,154.6999999999971,0.36316181953769494,1.1536167039522653,0.5284001519015297,1.678511365485786,-0.37189455003492505,-0.14302073326250608,,,56598.5,1709050560000000000,2024-02-27,16,2.0,-2867.76951032,-0.00237672299134138,-0.9998433414804897,STOP,,,,,,
OICB-1709062500000000000-000043,OICB_C,OICB_C,LONG,LONG,1709062920000000000,2024-02-27,19,1709062920000000000,57264.4,57264.4,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-194200-001-000-23,57152.0,57536.899999999994,SHOCK_RANGE_EXTENSION,57156.05,50.585000000000946,14.438,92739.52519759,2782.1857559277,192.68828223999498,0.9962415475836175,0.0007,,False,False,(),False,57264.5,1709062920000000000,2621,13,57600.0,57195.0,335.5,69.5,2.982222222222222,0.6177777777777778,6.632400909360358,1.3739250766037105,0.9696620771536456,1.32283523957376,1.70906352e+18,,57536.8,1709063640000000000,2024-02-27,19,12.0,2771.21658142,0.004755127522286982,0.9960573536528503,TARGET,,,,,,
OICB-1709072700000000000-000046,OICB_C,OICB_C,LONG,LONG,1709073060000000000,2024-02-27,22,1709073060000000000,56939.3,56939.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-223100-001-000-26,56878.8,57177.0,SHOCK_RANGE_EXTENSION,56935.2,41.94500000000007,20.418,95510.74177901,2865.3222533703,140.3283010800084,1.1228570700799938,0.0007,,False,False,(),False,56939.42472818102,1709073060000000000,2790,1,56939.3,56911.3,0.0,28.099999999998545,0.0,0.4636963696369508,0.0,0.6699249016568959,-0.570199235536799,-0.570199235536799,,,56939.2,1709073060000000000,2024-02-27,22,0.0,-1632.21013179,-3.946794020003075e-06,-0.569642779226711,PARTIAL_ENTRY_SINGLE_SLOT_ABORT,PARTIAL_ENTRY_SINGLE_SLOT_ABORT,True,5.049,1.0,3.0,0.0
OICB-1709126700000000000-000060,OICB_C,OICB_C,LONG,LONG,1709127000000000000,2024-02-28,13,1709127000000000000,60380.0,60380.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-133000-001-000-32,60180.1,60927.2,SHOCK_RANGE_EXTENSION,60193.5,168.02999999999992,9.898,93878.53164722,2816.3559494166,284.5344403199999,1.6241792187977766,0.0007,,False,False,(),False,60380.1,1709127000000000000,3689,46,60786.9,60165.0,406.8000000000029,215.09999999999854,2.0340000000000145,1.0754999999999928,2.4209962506695417,1.2801285484734788,1.0427583728223615,1.130910900058747,1.70912874e+18,1.70912934e+18,60495.7,1709129700000000000,2024-02-28,14,45.0,306.70873212,0.0019145380680058255,0.10890268759654964,TIMEOUT,TIMEOUT,,,,,
