trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-161200-001-000-1,O-20240226-161200-001-000-2,BUY,FLAT,0.000,10.797,1708963920000000000,2024-02-26 16:12:00+00:00,1708964640000000000,2024-02-26 16:24:00+00:00,720000000000.0,53425.100000000006,53221.9,['806.02736130 USDT'],-0.0038,-2999.97776130 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-014800-001-000-4,O-20240227-014800-001-000-6,BUY,FLAT,0.000,13.499,1708998480000000000,2024-02-27 01:48:00+00:00,1708999020000000000,2024-02-27 01:57:00+00:00,540000000000.0,55244.2,55830.899999999994,['1049.58194243 USDT'],0.01062,6870.28135757 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-021100-001-000-7,O-20240227-025600-001-000-10,SELL,FLAT,0.000,2.660,1708999860000000000,2024-02-27 02:11:00+00:00,1709002560000000000,2024-02-27 02:56:00+00:00,2700000000000.0,56710.2,56298.700000000004,['210.42257180 USDT'],0.00726,884.16742820 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-035700-001-000-11,O-20240227-035700-001-000-12,SELL,FLAT,0.000,11.696,1709006220000000000,2024-02-27 03:57:00+00:00,1709008020000000000,2024-02-27 04:27:00+00:00,1800000000000.0,55872.6,56062.899999999994,['916.43832560 USDT'],-0.00341,-3142.18712560 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-073200-001-000-14,O-20240227-073200-001-000-15,SELL,FLAT,0.000,18.463,1709019120000000000,2024-02-27 07:32:00+00:00,1709019660000000000,2024-02-27 07:41:00+00:00,540000000000.0,55969.2,56055.9,['1447.82359491 USDT'],-0.00155,-3048.56569491 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-152200-001-000-17,O-20240227-152200-001-000-18,BUY,FLAT,0.000,10.721,1709047320000000000,2024-02-27 15:22:00+00:00,1709048460000000000,2024-02-27 15:41:00+00:00,1140000000000.0,57283.6,57087.9,['858.32379605 USDT'],-0.00342,-2956.42349605 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-161400-001-000-20,O-20240227-161400-001-000-21,SELL,FLAT,0.000,13.442,1709050440000000000,2024-02-27 16:14:00+00:00,1709050560000000000,2024-02-27 16:16:00+00:00,120000000000.0,56464.3,56598.5,['1063.85311032 USDT'],-0.00238,-2867.76951032 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-194200-001-000-23,O-20240227-194200-001-000-25,BUY,FLAT,0.000,14.438,1709062920000000000,2024-02-27 19:42:00+00:00,1709063640000000000,2024-02-27 19:54:00+00:00,720000000000.0,57264.5,57536.8,['1160.25081858 USDT'],0.00476,2771.21658142 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-223100-001-000-26,O-20240227-223100-001-000-30,BUY,FLAT,0.000,20.418,1709073060000000000,2024-02-27 22:31:00+00:00,1709073060000000000,2024-02-27 22:31:00+00:00,,56939.42472818102,56939.2,['1627.62163179 USDT'],-0.0,-1632.21013179 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240228-133000-001-000-32,O-20240228-141500-001-000-35,BUY,FLAT,0.000,9.898,1709127000000000000,2024-02-28 13:30:00+00:00,1709129700000000000,2024-02-28 14:15:00+00:00,2700000000000.0,60380.1,60495.7,['837.50006788 USDT'],0.00191,306.70873212 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240228-143300-001-000-36,O-20240228-143300-001-000-37,SELL,FLAT,0.000,7.374,1709130780000000000,2024-02-28 14:33:00+00:00,1709131440000000000,2024-02-28 14:44:00+00:00,660000000000.0,60079.9,60378.700000000004,['621.78320148 USDT'],-0.00497,-2825.13440148 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240228-151400-001-000-39,O-20240228-151400-001-000-41,BUY,FLAT,0.000,10.717,1709133240000000000,2024-02-28 15:14:00+00:00,1709133300000000000,2024-02-28 15:15:00+00:00,60000000000.0,60975.399999999994,61264.99999999999,['917.03525676 USDT'],0.00475,2186.60794324 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240228-162400-001-000-42,O-20240228-162400-001-000-44,BUY,FLAT,0.000,12.163,1709137440000000000,2024-02-28 16:24:00+00:00,1709137680000000000,2024-02-28 16:28:00+00:00,240000000000.0,61285.7,61548.99999999999,['1045.82691927 USDT'],0.0043,2156.69098073 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240229-005200-001-000-45,O-20240229-005200-001-000-46,SELL,FLAT,0.000,10.584,1709167920000000000,2024-02-29 00:52:00+00:00,1709168220000000000,2024-02-29 00:57:00+00:00,300000000000.0,61303.9,61489.2,['909.74951928 USDT'],-0.00302,-2870.96471928 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240229-045200-001-000-48,O-20240229-045200-001-000-49,BUY,FLAT,0.000,10.520,1709182320000000000,2024-02-29 04:52:00+00:00,1709183040000000000,2024-02-29 05:04:00+00:00,720000000000.0,62572.8,62395.6,['920.26729760 USDT'],-0.00283,-2784.41129760 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240229-063100-001-000-51,O-20240229-063100-001-000-52,SELL,FLAT,0.000,8.151,1709188260000000000,2024-02-29 06:31:00+00:00,1709188380000000000,2024-02-29 06:33:00+00:00,120000000000.0,63129.299999999996,63372.1,['721.77903798 USDT'],-0.00385,-2700.84183798 USDT,True
BACKTESTER-001,OpenInterestStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240229-115200-001-000-54,O-20240229-115200-001-000-56,SELL,FLAT,0.000,10.090,1709207520000000000,2024-02-29 11:52:00+00:00,1709208360000000000,2024-02-29 12:06:00+00:00,840000000000.0,62973.7,62649.299999999996,['887.27524900 USDT'],0.00515,2385.92075100 USDT,True
