trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,price,expire_time_ns,is_post_only,display_qty,trigger_instrument_id,trigger_price,trigger_type
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-fffbde35aa346648-8557,MARKET,SELL,7.231,GTC,False,False,7.231,TAKER,66786.7,0.0,['338.05423939 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240423-144000-001-000-1,"['O-20240423-144000-001-000-2', 'O-20240423-144000-001-000-3']",,,,,"['scenario=OIDB-1713882900000000000-000018:ENTRY', 'family=OIDB_R']",17fa1539-8a18-4cdb-85ae-3c9acf43056b,2024-04-23 14:40:00+00:00,2024-04-23 14:40:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-c7be6bfe4d3c1f27-8731,MARKET,BUY,7.231,GTC,True,False,7.231,TAKER,66626.5,0.0,['337.24335505 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1cb620b9-8947-430a-a1eb-090533050529,2024-04-23 15:25:00+00:00,2024-04-23 15:25:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-92f9c115bdd90957-13837,MARKET,SELL,14.811,GTC,False,False,14.811,TAKER,65135.9,0.0,['675.30947043 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240424-150100-001-000-2,"['O-20240424-150100-001-000-6', 'O-20240424-150100-001-000-7']",,,,,"['scenario=OIDB-1713970800000000000-000027:ENTRY', 'family=OIDB_R']",7e4a4cf4-09e1-4743-bd88-b30c3301b71d,2024-04-24 15:01:00+00:00,2024-04-24 15:01:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-0b598baa624a05fb-13917,LIMIT,BUY,14.811,GTC,True,False,14.811,MAKER,64706.1,0.09999999999854481,['670.85343297 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240424-150100-001-000-2,['O-20240424-150100-001-000-6'],O-20240424-150100-001-000-5,,,,"['scenario=OIDB-1713970800000000000-000027:ENTRY', 'family=OIDB_R']",48f9c414-4b6c-420d-ad5a-d289f2f26597,2024-04-24 15:01:00+00:00,2024-04-24 15:22:00+00:00,64706.0,,True,,,,
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-69682c26f391bc90-14355,LIMIT,SELL,10.280,GTC,True,False,10.280,MAKER,64882.8,0.09999999999126885,['466.89662880 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240424-163400-001-000-3,['O-20240424-163400-001-000-9'],O-20240424-163400-001-000-8,,,,"['scenario=OIDB-1713976200000000000-000029:ENTRY', 'family=OIDB_R']",90edecfc-aa9c-42be-bd58-08c902b411dc,2024-04-24 16:34:00+00:00,2024-04-24 17:14:00+00:00,64882.9,,True,,,,
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-008,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-0d1ae386c0af26be-14201,MARKET,BUY,10.280,GTC,False,False,10.280,TAKER,64524.19999999999,0.0,['464.31614320 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240424-163400-001-000-3,"['O-20240424-163400-001-000-9', 'O-20240424-163400-001-000-10']",,,,,"['scenario=OIDB-1713976200000000000-000029:ENTRY', 'family=OIDB_R']",dce3a4b2-b7ed-44ce-9f21-a00561f494b1,2024-04-24 16:34:00+00:00,2024-04-24 16:34:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-011,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-7a2128eeb775ed44-14784,MARKET,BUY,6.369,GTC,False,False,6.369,TAKER,64104.700000000004,0.0,['285.79798401 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240424-190600-001-000-4,"['O-20240424-190600-001-000-12', 'O-20240424-190600-001-000-13']",,,,,"['scenario=OIDB-1713985500000000000-000031:ENTRY', 'family=OIDB_R']",f9acf228-8aff-4923-8409-4797b7db0c29,2024-04-24 19:06:00+00:00,2024-04-24 19:06:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-69b7b77b78cbacbf-14959,MARKET,SELL,6.369,GTC,True,False,6.369,TAKER,64320.600000000006,0.0,['286.76053098 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3b7bb8fe-1af2-49f4-8781-3e0ebdcf8873,2024-04-24 19:51:00+00:00,2024-04-24 19:51:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-015,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-5d5e575b8c363b78-17886,MARKET,SELL,13.117,GTC,False,False,13.117,TAKER,64025.100000000006,0.0,['587.87206569 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240425-091100-001-000-5,"['O-20240425-091100-001-000-16', 'O-20240425-091100-001-000-17']",,,,,"['scenario=OIDB-1714036200000000000-000037:ENTRY', 'family=OIDB_R']",1e058a72-2251-43fc-bc8b-6e6980bc275a,2024-04-25 09:11:00+00:00,2024-04-25 09:11:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-018,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-4014115c735391cc-18044,MARKET,BUY,13.117,GTC,True,False,13.117,TAKER,63912.1,0.0,['586.83451099 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,03377db2-dd54-48d3-ae8c-54e8417e5b50,2024-04-25 09:56:00+00:00,2024-04-25 09:56:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-019,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-de81c48cfc5ceb0d-18719,MARKET,BUY,9.151,GTC,False,False,9.151,TAKER,63448.600000000006,0.0,['406.43269702 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240425-125600-001-000-6,"['O-20240425-125600-001-000-20', 'O-20240425-125600-001-000-21']",,,,,"['scenario=OIDB-1714049700000000000-000039:ENTRY', 'family=OIDB_R']",49870227-fba6-4a40-80c3-16a29193057a,2024-04-25 12:56:00+00:00,2024-04-25 12:56:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-020,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-ba46ed4d0dda5477-18751,STOP_MARKET,SELL,9.151,GTC,True,False,9.151,TAKER,63178.700000000004,0.09999999999854481,['404.70379859 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240425-125600-001-000-6,['O-20240425-125600-001-000-21'],O-20240425-125600-001-000-19,,,,"['scenario=OIDB-1714049700000000000-000039:ENTRY', 'family=OIDB_R']",6c4df011-e83f-4f47-9541-8777633717ac,2024-04-25 12:56:00+00:00,2024-04-25 13:05:00+00:00,,,,,,63178.8,DEFAULT
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-022,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-da12eca97b961480-18924,MARKET,SELL,9.702,GTC,False,False,9.702,TAKER,63295.00000000001,0.0,['429.86166300 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240425-134900-001-000-7,"['O-20240425-134900-001-000-23', 'O-20240425-134900-001-000-24']",,,,,"['scenario=OIDB-1714052700000000000-000040:ENTRY', 'family=OIDB_R']",d0a6c7e6-3387-4b12-8b7d-3e57070be63e,2024-04-25 13:49:00+00:00,2024-04-25 13:49:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-023,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-b64230327747489e-18996,STOP_MARKET,BUY,9.702,GTC,True,False,9.702,TAKER,63534.200000000004,0.10000000000582077,['431.48616588 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240425-134900-001-000-7,['O-20240425-134900-001-000-24'],O-20240425-134900-001-000-22,,,,"['scenario=OIDB-1714052700000000000-000040:ENTRY', 'family=OIDB_R']",c03ee7cc-30fa-427f-9c1b-46881c69eaac,2024-04-25 13:49:00+00:00,2024-04-25 14:07:00+00:00,,,,,,63534.1,DEFAULT
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-025,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-1ba718bb01a36abe-19197,MARKET,BUY,13.148,GTC,False,False,13.148,TAKER,63321.7,0.0,['582.78759812 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240425-145900-001-000-8,"['O-20240425-145900-001-000-26', 'O-20240425-145900-001-000-27']",,,,,"['scenario=OIDB-1714056900000000000-000042:ENTRY', 'family=OIDB_R']",e6195a53-fcbe-46a9-9fb8-9c47cd4d9a57,2024-04-25 14:59:00+00:00,2024-04-25 14:59:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestDeleveragingStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-027,BTCUSDT-PERP.BINANCE-OpenInterestDeleveragingStrategy-000,BINANCE-001,T-45068f7c43e2f004-19305,LIMIT,SELL,13.148,GTC,True,False,13.148,MAKER,63642.59999999999,0.10000000001309672,['585.74103336 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240425-145900-001-000-8,['O-20240425-145900-001-000-26'],O-20240425-145900-001-000-25,,,,"['scenario=OIDB-1714056900000000000-000042:ENTRY', 'family=OIDB_R']",74279daa-6512-4978-ae39-e43719a42522,2024-04-25 14:59:00+00:00,2024-04-25 15:27:00+00:00,63642.7,,True,,,,
