scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,entry_execution_mode,entry_order_type,entry_expiry_ts_ns,entry_client_order_id,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,causal_exit_reason_codes,causal_exit_open_position,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,forced_exit_reason,partial_entry_abort_requested,partial_entry_abort_opened_quantity,partial_entry_open_parent_count,partial_entry_flatten_attempts,partial_entry_cancel_retry_count,causal_context_invalidation_reason
OIDB-1708943100000000000-000042:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1708943220000000000,2024-02-26,10,1708943220000000000,51204.3,51204.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-102700-001-000-1,51272.3,51042.3,PRE_SHOCK_FAST_RANGE_LIQUIDITY,51270.0,28.609999999999854,21.44,100000.0,3000.0,139.92241215999917,0.644838654559688,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,51204.2,1708943220000000000,626,14,51187.4,51278.1,16.799999999995634,73.90000000000146,0.24669603524220557,1.0851688693097672,0.5872072701851003,2.5830129325411337,-0.4980212885432529,-0.3936047067072282,,,51272.4,1708944000000000000,2024-02-26,10,13.0,-3000.1768128,-0.0013319219907742797,-1.0000589376,STOP,,,,,,,
OIDB-1708965000000000000-000064:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1708965060000000000,2024-02-26,16,1708965060000000000,53217.2,53217.2,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-163100-001-000-4,53397.0,52538.700000000004,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,53387.1,123.17000000000044,11.43,96999.8231872,2909.994695616,254.58350752000362,2.3737629781556517,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,53217.100000000006,1708965060000000000,990,26,53143.5,53445.2,73.60000000000582,228.09999999999127,0.40911617565318625,1.267926625903272,0.597548104246209,1.851911991556308,-0.014353797053038079,-0.004133889151918032,,,53397.100000000006,1708966560000000000,2024-02-26,16,25.0,-2910.4202142,-0.0033823714557914652,-1.0001462265840693,STOP,,,,,,,
OIDB-1708968600000000000-000067:ENTRY,OIDB_R,OIDB_R,LONG,LONG,1708968780000000000,2024-02-26,17,1708968780000000000,53361.8,53361.8,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-173300-001-000-7,53250.1,53562.0,PRE_SHOCK_FAST_RANGE_LIQUIDITY,53254.2,51.39000000000051,15.131,94089.402973,2822.68208919,186.5395221600052,0.6709213069209332,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,53361.9,1708968780000000000,1052,27,53567.7,53315.0,205.79999999999563,46.900000000001455,1.8407871198568004,0.41949910554561926,4.004670169293512,0.9126289161315623,0.6580636563156951,0.7009199899624745,1.70897034e+18,,53561.9,1708970340000000000,2024-02-26,17,26.0,1893.69518754,0.003747992481527082,0.6708850404345098,TARGET,,,,,,,
OIDB-1708975500000000000-000074:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1708975740000000000,2024-02-26,19,1708975740000000000,54253.2,54253.2,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-192900-001-000-10,54518.2,53879.8,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,54505.5,158.82999999999993,8.435,95983.09816054,2879.4929448161997,341.34638448000567,0.871422339665713,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,54253.100000000006,1708975740000000000,1168,10,54228.3,54534.8,24.80000000000291,281.6999999999971,0.09354960392306197,1.06261788004529,0.15614178681611107,1.773594409116648,-0.2233930501890459,-0.15039555810207844,,,54518.3,1708976280000000000,2024-02-26,19,9.0,-2879.2027313,-0.004888199936962073,-0.9998992136734621,STOP,,,,,,,
OIDB-1708981500000000000-000081:ENTRY,OIDB_R,OIDB_R,LONG,LONG,1708981800000000000,2024-02-26,21,1708981800000000000,54460.4,54460.4,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-211000-001-000-13,54345.6,54716.899999999994,PRE_SHOCK_FAST_RANGE_LIQUIDITY,54351.1,68.53000000000065,14.612,93103.89542924,2793.1168628771998,191.14661232000367,0.941036243419606,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,54460.5,1708981800000000000,1269,29,54720.0,54370.0,259.5,90.5,2.2584856396866555,0.7876414273281014,3.7866627754267843,1.3205895228367013,0.8803915902954792,0.9567192835928806,1.70898282e+18,,54716.8,1708983480000000000,2024-02-26,21,28.0,2628.34650468,0.004706163182490115,0.9410084266837768,TARGET,,,,,,,
OIDB-1708999200000000000-000105:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1708999260000000000,2024-02-27,2,1708999260000000000,55712.7,55712.7,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-020100-001-000-16,55900.700000000004,55185.5,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,55888.5,152.99000000000015,10.781,95732.24193392,2871.9672580175998,266.36860744000654,1.6870278533149135,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,55712.6,1708999260000000000,1560,6,55666.8,56049.0,45.799999999995634,336.40000000000146,0.24348750664537064,1.7884104199893198,0.299365971632104,2.1988365252630966,-0.29394496127939296,-0.12150673576387555,,,55900.8,1708999560000000000,2024-02-27,2,5.0,-2871.29704578,-0.00337805092564347,-0.9997666365325968,STOP,,,,,,,
OIDB-1709000700000000000-000107:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1709000760000000000,2024-02-27,2,1709000760000000000,56507.5,56507.5,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-022600-001-000-19,56731.100000000006,56137.5,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,56705.8,316.3450000000015,9.191,92860.94488814,2785.8283466442,303.074625320003,0.9599896385017401,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,56507.4,1709000760000000000,1585,46,56159.6,56666.0,347.8000000000029,158.59999999999854,1.5547608404112478,0.7089852481001138,1.0994325815170187,0.501351372710167,0.8163606231922653,0.8866895396348657,1.70900112e+18,,56500.1,1709003460000000000,2024-02-27,3,45.0,-659.96205275,0.0001291866198055991,-0.23689975498489999,TIMEOUT,TIMEOUT,,,,,,
OIDB-1709006400000000000-000111:ENTRY,OIDB_R,OIDB_R,LONG,LONG,1709006580000000000,2024-02-27,4,1709006580000000000,56000.0,56000.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-040300-001-000-23,55579.7,56590.0,PRE_SHOCK_FAST_RANGE_LIQUIDITY,55587.9,102.6199999999997,5.547,92200.98283539,2766.0294850616997,498.61538328000046,1.0248119435036607,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,56000.1,1709006580000000000,1682,46,56175.1,55727.1,175.0,273.0,0.41627021883919935,0.6493815413891509,1.7053206002728563,2.6603001364256555,0.1928890147097456,0.19308942970565124,,,55976.2,1709009280000000000,2024-02-27,4,45.0,-567.36607527,-0.00042678495216975427,-0.20511931573185824,TIMEOUT,TIMEOUT,,,,,,
OIDB-1709017800000000000-000123:ENTRY,OIDB_R,OIDB_R,LONG,LONG,1709017980000000000,2024-02-27,7,1709017980000000000,56252.9,56252.9,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-071300-001-000-27,56117.100000000006,56465.0,PRE_SHOCK_FAST_RANGE_LIQUIDITY,56120.9,47.39000000000014,12.806,91633.61676012,2749.0085028036,214.65020615999964,0.6196009422924227,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,56253.0,1709017980000000000,1872,14,56295.9,56040.8,42.900000000001455,212.1999999999971,0.31567328918324716,1.561442236938971,0.9052542730534148,4.477737919392202,-0.1960400166987597,-0.16810712948070256,,,56117.0,1709018760000000000,2024-02-27,7,13.0,-2748.923154,-0.0024176488365064974,-0.9999689528775509,STOP,,,,,,,
OIDB-1709020200000000000-000126:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1709020440000000000,2024-02-27,7,1709020440000000000,56068.5,56068.5,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-075400-001-000-30,56175.299999999996,55853.299999999996,PRE_SHOCK_FAST_RANGE_LIQUIDITY,56170.8,56.09499999999971,14.37,88884.69360612,2666.5408081836,185.55825132000328,0.7364519714314943,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,56068.4,1709020440000000000,1913,8,56051.7,56246.2,16.700000000004366,177.79999999999563,0.15622076707207927,1.6632366697848955,0.2977092432481407,3.1696229610481605,-0.4111597272407255,-0.3340410332553814,,,56175.4,1709020860000000000,2024-02-27,8,7.0,-2666.6503842,-0.0019083833317876022,-1.000041092945611,STOP,,,,,,,
