trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,price,expire_time_ns,is_post_only,display_qty,trigger_instrument_id,trigger_price,trigger_type
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-OpenInterestInventoryStrategy-000,BINANCE-001,T-40647dedb2a465cb-3491,MARKET,BUY,14.494,GTC,False,False,14.494,TAKER,53366.4,0.0,['541.44482112 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240226-164200-001-000-1,"['O-20240226-164200-001-000-2', 'O-20240226-164200-001-000-3']",,,,,"['scenario=OIIR-1708965000000000000-000018:ENTRY', 'family=OIIR_B']",da6e0798-cac3-4a26-988a-c90ef1dc43f4,2024-02-26 16:42:00+00:00,2024-02-26 16:42:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-OpenInterestInventoryStrategy-000,BINANCE-001,T-e72cd59d9067cc0f-3663,MARKET,SELL,14.494,GTC,True,False,14.494,TAKER,53324.2,0.0,['541.01666836 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8279c16d-4837-402e-9193-09081ca836bb,2024-02-26 17:27:00+00:00,2024-02-26 17:27:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-OpenInterestInventoryStrategy-000,BINANCE-001,T-64b067b0cf391ca8-5544,MARKET,BUY,6.050,GTC,False,False,6.050,TAKER,55772.899999999994,0.0,['236.19823150 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240227-015500-001-000-2,"['O-20240227-015500-001-000-6', 'O-20240227-015500-001-000-7']",,,,,"['scenario=OIIR-1708998600000000000-000030:ENTRY', 'family=OIIR_UC']",9190762a-83a1-4144-97a5-2ee1411556a0,2024-02-27 01:55:00+00:00,2024-02-27 01:55:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-OpenInterestInventoryStrategy-000,BINANCE-001,T-72259f172f81bef0-5591,LIMIT,SELL,6.050,GTC,True,False,6.050,MAKER,56412.0,0.09999999999854481,['238.90482000 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240227-015500-001-000-2,['O-20240227-015500-001-000-6'],O-20240227-015500-001-000-5,,,,"['scenario=OIIR-1708998600000000000-000030:ENTRY', 'family=OIIR_UC']",8d400b10-b434-4eb0-b627-f4793478a5a0,2024-02-27 01:55:00+00:00,2024-02-27 02:07:00+00:00,56412.1,,True,,,,
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-OpenInterestInventoryStrategy-000,BINANCE-001,T-df3a8de130bb87d3-12418,LIMIT,SELL,13.525,GTC,True,False,13.525,MAKER,59031.00000000001,0.09999999999854481,['558.87599250 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-083500-001-000-3,['O-20240228-083500-001-000-9'],O-20240228-083500-001-000-8,,,,"['scenario=OIIR-1709108700000000000-000050:ENTRY', 'family=OIIR_B']",afb98ef9-7ff8-43f9-9436-7e35422548e1,2024-02-28 08:35:00+00:00,2024-02-28 08:47:00+00:00,59031.1,,True,,,,
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-008,BTCUSDT-PERP.BINANCE-OpenInterestInventoryStrategy-000,BINANCE-001,T-a859daecd58dc59e-12371,MARKET,BUY,13.525,GTC,False,False,13.525,TAKER,58693.100000000006,0.0,['555.67692425 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-083500-001-000-3,"['O-20240228-083500-001-000-9', 'O-20240228-083500-001-000-10']",,,,,"['scenario=OIIR-1709108700000000000-000050:ENTRY', 'family=OIIR_B']",e2106be8-af2f-451b-bd22-8c0ab1fb5a00,2024-02-28 08:35:00+00:00,2024-02-28 08:35:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-011,BTCUSDT-PERP.BINANCE-OpenInterestInventoryStrategy-000,BINANCE-001,T-de0f72eb1279c9fa-14140,MARKET,SELL,7.279,GTC,False,False,7.279,TAKER,61048.0,0.0,['311.05787440 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-161000-001-000-4,"['O-20240228-161000-001-000-12', 'O-20240228-161000-001-000-13']",,,,,"['scenario=OIIR-1709136300000000000-000062:ENTRY', 'family=OIIR_UR']",d13b6725-463a-42cf-a387-9842d847d390,2024-02-28 16:10:00+00:00,2024-02-28 16:10:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BTCUSDT-PERP.BINANCE-OpenInterestInventoryStrategy-000,BINANCE-001,T-aed0c273e2d68658-14210,STOP_MARKET,BUY,7.279,GTC,True,False,7.279,TAKER,61395.6,0.09999999999854481,['312.82900068 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-161000-001-000-4,['O-20240228-161000-001-000-13'],O-20240228-161000-001-000-11,,,,"['scenario=OIIR-1709136300000000000-000062:ENTRY', 'family=OIIR_UR']",8e32e2dc-b9b3-4771-a15b-558615be17f8,2024-02-28 16:10:00+00:00,2024-02-28 16:28:00+00:00,,,,,,61395.5,DEFAULT
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-OpenInterestInventoryStrategy-000,BINANCE-001,T-b2067890c850bec4-14653,MARKET,SELL,4.181,GTC,False,False,4.181,TAKER,60274.8,0.0,['176.40625716 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-182000-001-000-5,"['O-20240228-182000-001-000-15', 'O-20240228-182000-001-000-16']",,,,,"['scenario=OIIR-1709144100000000000-000066:ENTRY', 'family=OIIR_UC']",1a115957-a596-404e-8501-3dfe810eded0,2024-02-28 18:20:00+00:00,2024-02-28 18:20:00+00:00,,,,,,,
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-016,BTCUSDT-PERP.BINANCE-OpenInterestInventoryStrategy-000,BINANCE-001,T-e7ca68c6507345f6-14669,LIMIT,BUY,4.181,GTC,True,False,4.181,MAKER,59659.9,0.09999999999126885,['174.60662933 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-182000-001-000-5,['O-20240228-182000-001-000-15'],O-20240228-182000-001-000-14,,,,"['scenario=OIIR-1709144100000000000-000066:ENTRY', 'family=OIIR_UC']",8096c79d-a134-4da6-8dad-e3ac75d39be8,2024-02-28 18:20:00+00:00,2024-02-28 18:24:00+00:00,59659.8,,True,,,,
