trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-162400-001-000-1,O-20240226-170900-001-000-4,SELL,FLAT,0.000,5.100,1708964640000000000,2024-02-26 16:24:00+00:00,1708967340000000000,2024-02-26 17:09:00+00:00,2700000000000,53184.2,53438.2,['380.64196800 USDT'],-0.00478,-1676.04196800 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-180600-001-000-5,O-20240226-180600-001-000-7,SELL,FLAT,0.000,16.042,1708970760000000000,2024-02-26 18:06:00+00:00,1708972620000000000,2024-02-26 18:37:00+00:00,1860000000000,53569.4,53373.100000000006,['1200.90010950 USDT'],0.00366,1948.14449050 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-201600-001-000-8,O-20240226-210100-001-000-11,SELL,FLAT,0.000,5.784,1708978560000000000,2024-02-26 20:16:00+00:00,1708981260000000000,2024-02-26 21:01:00+00:00,2700000000000,54554.899999999994,54433.6,['441.27263880 USDT'],0.00222,260.32656120 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-015500-001-000-12,O-20240227-015500-001-000-14,BUY,FLAT,0.000,6.187,1708998900000000000,2024-02-27 01:55:00+00:00,1708999620000000000,2024-02-27 02:07:00+00:00,720000000000,55772.899999999994,56412.0,['485.86158341 USDT'],0.01146,3468.25011659 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-124900-001-000-15,O-20240227-124900-001-000-17,SELL,FLAT,0.000,9.753,1709038140000000000,2024-02-27 12:49:00+00:00,1709038740000000000,2024-02-27 12:59:00+00:00,600000000000,57265.5,56870.1,['779.21515476 USDT'],0.0069,3077.12104524 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-161600-001-000-18,O-20240227-161600-001-000-20,BUY,FLAT,0.000,6.839,1709050560000000000,2024-02-27 16:16:00+00:00,1709050920000000000,2024-02-27 16:22:00+00:00,360000000000,56614.2,56977.8,['543.79898160 USDT'],0.00642,1942.86141840 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-174200-001-000-21,O-20240227-182700-001-000-24,BUY,FLAT,0.000,10.773,1709055720000000000,2024-02-27 17:42:00+00:00,1709058420000000000,2024-02-27 18:27:00+00:00,2700000000000,56908.899999999994,57010.1,['859.07457090 USDT'],0.00178,231.15302910 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-195700-001-000-25,O-20240227-195700-001-000-27,SELL,FLAT,0.000,10.200,1709063820000000000,2024-02-27 19:57:00+00:00,1709064240000000000,2024-02-27 20:04:00+00:00,420000000000,57446.2,57168.8,['818.35110000 USDT'],0.00483,2011.12890000 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240228-081200-001-000-28,O-20240228-081200-001-000-29,SELL,FLAT,0.000,6.533,1709107920000000000,2024-02-28 08:12:00+00:00,1709108580000000000,2024-02-28 08:23:00+00:00,660000000000,58404.5,58833.299999999996,['536.14018318 USDT'],-0.00734,-3337.49058318 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240228-115900-001-000-31,O-20240228-124400-001-000-34,BUY,FLAT,0.000,5.411,1709121540000000000,2024-02-28 11:59:00+00:00,1709124240000000000,2024-02-28 12:44:00+00:00,2700000000000,59061.7,59410.8,['448.73828825 USDT'],0.00591,1440.24181175 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240228-141300-001-000-35,O-20240228-141300-001-000-37,SELL,FLAT,0.000,7.541,1709129580000000000,2024-02-28 14:13:00+00:00,1709130480000000000,2024-02-28 14:28:00+00:00,900000000000,60444.99999999999,60034.0,['635.97249730 USDT'],0.0068,2463.37850270 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240228-161000-001-000-38,O-20240228-161000-001-000-39,SELL,FLAT,0.000,7.742,1709136600000000000,2024-02-28 16:10:00+00:00,1709137680000000000,2024-02-28 16:28:00+00:00,1080000000000,61048.0,61395.6,['663.57084584 USDT'],-0.00569,-3354.69004584 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240228-171100-001-000-41,O-20240228-171100-001-000-42,SELL,FLAT,0.000,5.836,1709140260000000000,2024-02-28 17:11:00+00:00,1709140380000000000,2024-02-28 17:13:00+00:00,120000000000,62643.6,63113.100000000006,['513.74127084 USDT'],-0.00749,-3253.74327084 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240228-182000-001-000-44,O-20240228-182000-001-000-46,SELL,FLAT,0.000,4.313,1709144400000000000,2024-02-28 18:20:00+00:00,1709144640000000000,2024-02-28 18:24:00+00:00,240000000000,60274.8,59659.9,['362.09485277 USDT'],0.0102,2289.96884723 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240229-071100-001-000-47,O-20240229-071100-001-000-48,BUY,FLAT,0.000,5.923,1709190660000000000,2024-02-29 07:11:00+00:00,1709191320000000000,2024-02-29 07:22:00+00:00,660000000000,63204.3,62748.0,['522.21083103 USDT'],-0.00722,-3224.87573103 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240229-185600-001-000-50,O-20240229-185600-001-000-52,BUY,FLAT,0.000,7.221,1709232960000000000,2024-02-29 18:56:00+00:00,1709235360000000000,2024-02-29 19:36:00+00:00,2400000000000,60788.700000000004,61463.100000000006,['617.94617346 USDT'],0.01109,4251.89622654 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240301-130500-001-000-53,O-20240301-130500-001-000-55,BUY,FLAT,0.000,12.145,1709298300000000000,2024-03-01 13:05:00+00:00,1709299320000000000,2024-03-01 13:22:00+00:00,1020000000000,62392.0,62650.4,['1063.04796360 USDT'],0.00414,2075.22003640 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240301-183500-001-000-56,O-20240301-183500-001-000-57,SELL,FLAT,0.000,14.671,1709318100000000000,2024-03-01 18:35:00+00:00,1709318220000000000,2024-03-01 18:37:00+00:00,120000000000,62196.19999999999,62335.2,['1278.90011858 USDT'],-0.00223,-3318.16911858 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240301-211400-001-000-59,O-20240301-215900-001-000-62,BUY,FLAT,0.000,7.318,1709327640000000000,2024-03-01 21:14:00+00:00,1709330340000000000,2024-03-01 21:59:00+00:00,2700000000000,62694.3,62602.0,['641.84282638 USDT'],-0.00147,-1317.29422638 USDT,True
BACKTESTER-001,OpenInterestInventoryStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240302-141500-001-000-63,O-20240302-150000-001-000-66,BUY,FLAT,0.000,11.386,1709388900000000000,2024-03-02 14:15:00+00:00,1709391600000000000,2024-03-02 15:00:00+00:00,2700000000000,61794.700000000004,61889.799999999996,['985.79020190 USDT'],0.00154,97.01839810 USDT,False
