trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-082000-001-000-1,O-20240226-082000-001-000-2,BUY,FLAT,0.000,23.881,1708935600000000000,2024-02-26 08:20:00+00:00,1708937580000000000,2024-02-26 08:53:00+00:00,1980000000000,51344.1,51290.3,['1715.70847448 USDT'],-0.00105,-3000.50627448 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-170500-001-000-4,O-20240226-170500-001-000-5,SELL,FLAT,0.000,16.429,1708967100000000000,2024-02-26 17:05:00+00:00,1708967340000000000,2024-02-26 17:09:00+00:00,240000000000,53360.5,53462.8,['1228.49999699 USDT'],-0.00192,-2909.18669699 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240226-183800-001-000-7,O-20240226-183800-001-000-8,SELL,FLAT,0.000,12.874,1708972680000000000,2024-02-26 18:38:00+00:00,1708973340000000000,2024-02-26 18:49:00+00:00,660000000000,53424.4,53568.700000000004,['964.20041858 USDT'],-0.0027,-2821.91861858 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-040800-001-000-10,O-20240227-040800-001-000-11,SELL,FLAT,0.000,15.762,1709006880000000000,2024-02-27 04:08:00+00:00,1709007000000000000,2024-02-27 04:10:00+00:00,120000000000,55841.7,55937.2,['1233.30131526 USDT'],-0.00171,-2738.57231526 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-062900-001-000-13,O-20240227-062900-001-000-14,SELL,FLAT,0.000,21.686,1709015340000000000,2024-02-27 06:29:00+00:00,1709015820000000000,2024-02-27 06:37:00+00:00,480000000000,56336.5,56380.1,['1711.06053132 USDT'],-0.00077,-2656.57013132 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-073600-001-000-16,O-20240227-073600-001-000-17,SELL,FLAT,0.000,14.361,1709019360000000000,2024-02-27 07:36:00+00:00,1709019540000000000,2024-02-27 07:39:00+00:00,180000000000,55885.9,55987.0,['1124.62470183 USDT'],-0.00181,-2576.52180183 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-202900-001-000-19,O-20240227-202900-001-000-21,SELL,FLAT,0.000,26.562,1709065740000000000,2024-02-27 20:29:00+00:00,1709066340000000000,2024-02-27 20:39:00+00:00,600000000000,57192.2,56956.5,['2122.41243858 USDT'],0.00412,4138.25096142 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240227-211100-001-000-22,O-20240227-211100-001-000-23,SELL,FLAT,0.000,15.305,1709068260000000000,2024-02-27 21:11:00+00:00,1709068740000000000,2024-02-27 21:19:00+00:00,480000000000,56786.899999999994,56878.700000000004,['1217.75640560 USDT'],-0.00162,-2622.75540560 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240228-112500-001-000-25,O-20240228-112500-001-000-26,SELL,FLAT,0.000,9.405,1709119500000000000,2024-02-28 11:25:00+00:00,1709120220000000000,2024-02-28 11:37:00+00:00,720000000000,59371.6,59558.899999999994,['782.97894675 USDT'],-0.00315,-2544.53544675 USDT,True
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240229-081900-001-000-28,O-20240229-081900-001-000-29,BUY,FLAT,0.000,16.089,1709194740000000000,2024-02-29 08:19:00+00:00,1709194800000000000,2024-02-29 08:20:00+00:00,60000000000,63134.700000000004,63069.7,['1421.35181412 USDT'],-0.00103,-2467.13681412 USDT,True
