total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
99367.36324805,1129.70848563,98237.65476242,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1129.70848563', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99367.36324805,1129.70848563,98237.65476242,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1129.70848563', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99367.36324805,1129.70848563,98237.65476242,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1129.70848563', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
97000.85853753,0.00000000,97000.85853753,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
97000.85853753,0.00000000,97000.85853753,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
96504.48709469,886.37757650,95618.10951819,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '886.37757650', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96504.48709469,886.37757650,95618.10951819,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '886.37757650', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96504.48709469,886.37757650,95618.10951819,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '886.37757650', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
94091.48104612,0.00000000,94091.48104612,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
94091.48104612,0.00000000,94091.48104612,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
93456.32079781,1134.21472913,92322.10606868,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1134.21472913', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
93456.32079781,1134.21472913,92322.10606868,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1134.21472913', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
93456.32079781,1134.21472913,92322.10606868,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1134.21472913', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
91268.29480385,0.00000000,91268.29480385,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
91268.29480385,0.00000000,91268.29480385,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
90671.16513953,1066.30297200,89604.86216753,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1066.30297200', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
90671.16513953,1066.30297200,89604.86216753,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1066.30297200', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
90671.16513953,1066.30297200,89604.86216753,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1066.30297200', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
88529.76484193,0.00000000,88529.76484193,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
88529.76484193,0.00000000,88529.76484193,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
