scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,entry_execution_mode,entry_order_type,entry_expiry_ts_ns,entry_client_order_id,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,causal_exit_reason_codes,causal_exit_open_position,actual_entry_price,opened_ts_ns,opened_bar_index,forced_exit_reason,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
HSP-1708979280000000000-000003,HML,HML,LONG,LONG,1708979400000000000,2024-02-26,20,1708979460000000000,54423.0,54383.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-203100-001-000-1,54311.9,54991.8,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,54338.2,93.25500000000102,20.35,100000.0,3000.0,147.41703356249795,3.6090648898754547,0.0007,,False,True,(),False,54383.100000000006,1708979460000000000,1230,TIMEOUT,61,54716.9,54321.0,333.79999999999563,62.10000000000582,4.688202247190662,0.8721910112359833,3.5794327381908957,0.6659160366736919,1.602560398149912,1.7449136899837434,1.70898018e+18,1.7089803e+18,54673.8,1708983060000000000,2024-02-26,21,60.0,4362.2294595,0.005345410614694584,1.4540764865000002,TIMEOUT
HSP-1708986540000000000-000004,HML,HML,LONG,LONG,1708986660000000000,2024-02-26,22,1708986720000000000,54641.8,54631.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-223200-001-000-5,54532.2,54855.0,PRIOR_FAST_BUYSIDE_LIQUIDITY,54567.5,53.689999999999785,17.814,104362.2294595,3130.866883785,175.74505356249796,0.8356399626790707,0.0007,,False,True,(),False,54631.4,1708986720000000000,1351,,5,54641.8,54530.6,10.400000000001455,100.80000000000291,0.1048387096774294,1.0161290322580492,0.1937046004842894,1.8774445893090579,-0.4369049850537778,-0.3772011709929819,,,54532.1,1708986960000000000,2024-02-26,22,4.0,-3130.1772123,-0.0018176360115245611,-0.9997797186815665,STOP
HSP-1708992060000000000-000009,HML,HML,LONG,LONG,1708992240000000000,2024-02-27,0,1708992300000000000,54622.0,54619.8,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-000500-001-000-8,54500.899999999994,54855.0,PRIOR_SLOW_BUYSIDE_LIQUIDITY,54518.0,30.86500000000051,15.533,101232.0522472,3036.961567416,195.51509356250085,0.8100021185800229,0.0007,,False,True,(),False,54619.9,1708992300000000000,1444,,16,54692.4,54498.2,72.5,121.70000000000437,0.6092436974789543,1.0226890756302263,2.348938927587844,3.9429774825855293,-0.14271031198460826,-0.021576901931877824,,,54500.8,1708993200000000000,2024-02-27,0,15.0,-3036.46058317,-0.0021805239482312957,-0.9998350376733854,STOP
HSP-1708994640000000000-000010,HML,HML,LONG,LONG,1708994760000000000,2024-02-27,0,1708994820000000000,54574.9,54577.8,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-004700-001-000-11,54484.3,54766.8,PRIOR_SLOW_BUYSIDE_LIQUIDITY,54498.2,27.479999999999563,17.321,98195.59166403,2945.8677499208998,170.07407356249942,0.6600581596509284,0.0007,,False,True,(),False,54577.9,1708994820000000000,1486,,25,54767.2,54505.0,189.29999999999563,72.90000000000146,2.0224358974358823,0.7788461538461815,6.888646288209557,2.6528384279476933,0.5319676191959347,0.6618200390116032,1.70899626e+18,,54766.700000000004,1708996260000000000,2024-02-27,1,24.0,1944.43432838,0.0034592756408730074,0.6600548610616381,TARGET
HSP-1709007600000000000-000012,HML,HML,LONG,LONG,1709007720000000000,2024-02-27,4,1709007780000000000,55994.6,55976.7,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-042300-001-000-14,55740.1,56479.6,CONFIRMED_LTF_BUYSIDE_LIQUIDITY,55801.0,100.19999999999963,9.536,100140.02599241,3004.2007797723,315.02570156249664,1.3458603151968211,0.0007,,False,True,(),False,55976.8,1709007780000000000,1702,,36,56175.1,55700.6,198.29999999999563,276.20000000000437,0.837769328263591,1.166877904520487,1.9790419161676283,2.7564870259481573,0.37931425724098017,0.37963146945415166,,,55740.0,1709009880000000000,2024-02-27,4,35.0,-3003.85678336,-0.004230323991367904,-0.9998854948661834,STOP
HSP-1709009940000000000-000013,HML,HML,LONG,LONG,1709010000000000000,2024-02-27,5,1709010060000000000,55823.0,55798.1,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-050100-001-000-17,55695.299999999996,56030.0,PRIOR_FAST_BUYSIDE_LIQUIDITY,55727.1,47.65,16.093,97136.16920905,2914.0850762715,181.06932156250096,0.8473016228044147,0.0007,,False,True,(),False,55798.2,1709010060000000000,1740,,40,56052.7,55728.2,254.5,70.0,2.4732750242953974,0.6802721088435278,5.341028331584471,1.4690451206715636,0.8296404310994838,0.9720275554202447,1.7090124e+18,,56029.9,1709012400000000000,2024-02-27,5,39.0,2468.99337069,0.004152463699545942,0.8472619385049034,TARGET
HSP-1709013660000000000-000016,HML,HML,LONG,LONG,1709013720000000000,2024-02-27,6,1709013780000000000,56212.2,56210.4,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-060300-001-000-20,56089.8,57780.0,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,56111.1,56.19499999999971,14.983,99605.16257974,2988.1548773922,199.43408156250388,7.469168300269414,0.0007,,False,True,(),False,56210.5,1709013780000000000,1802,TIMEOUT,61,56497.0,56173.0,286.5,37.5,2.3736536868269007,0.3106876553438352,5.098318355725625,0.6673191565085896,1.0109044974683108,1.039966430888083,1.709016e+18,1.7090163e+18,56355.9,1709017380000000000,2024-02-27,7,60.0,997.92054016,0.0025867053308545815,0.33395877426236276,TIMEOUT
HSP-1709112180000000000-000029,HML,HML,LONG,LONG,1709112360000000000,2024-02-28,9,1709112420000000000,59179.2,59119.6,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-092700-001-000-24,58994.0,59456.700000000004,CONFIRMED_LTF_BUYSIDE_LIQUIDITY,59102.0,102.66999999999935,14.478,100603.0831199,3018.0924935969997,208.45828487500054,1.2179731314216873,0.0007,,False,True,(),False,59119.7,1709112420000000000,3446,TIMEOUT,61,59435.5,59040.7,315.8000000000029,79.0,2.5123309466985697,0.6284805091487815,3.07587415992992,0.7694555371578894,0.9835573583604437,1.115865268389239,1.70911374e+18,,59209.6,1709116020000000000,2024-02-28,10,60.0,102.35207622,0.0015206437109796136,0.03391283614970181,TIMEOUT
HSP-1709116080000000000-000030,HML,HML,LONG,LONG,1709116260000000000,2024-02-28,10,1709116320000000000,59231.4,59179.1,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-103200-001-000-28,59155.6,59566.200000000004,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,59186.1,55.8799999999992,28.364,100705.43519612,3021.1630558836,106.51305487500204,2.8520287053685234,0.0007,,False,True,(),False,59179.2,1709116320000000000,3511,TIMEOUT,61,59546.8,59164.6,367.6000000000058,14.599999999998545,15.576271186441884,0.6186440677965866,6.578382247673785,0.2612741589119319,2.462676526439274,2.669079394386306,1.70911668e+18,1.70911812e+18,59398.1,1709119920000000000,2024-02-28,11,60.0,3854.55102396,0.003698934760861949,1.2758500460454818,TIMEOUT
HSP-1709121780000000000-000033,HML,HML,LONG,LONG,1709121960000000000,2024-02-28,12,1709122020000000000,59172.3,59203.9,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-120700-001-000-32,58952.899999999994,59588.99999999999,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,59056.2,131.74999999999926,9.394,104559.98622008,3136.7995866024,333.888524875002,0.9037296807758306,0.0007,,False,True,(),False,59204.0,1709122020000000000,3606,,61,59956.0,59069.7,752.0,134.3000000000029,2.994822779768947,0.5348466746316201,5.70777988614804,1.0193548387097053,1.922218262039029,2.001829803076415,1.70912382e+18,1.70912562e+18,59588.899999999994,1709125620000000000,2024-02-28,13,60.0,2834.59224818,0.006501249915546148,0.9036574285098866,TARGET
