trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
BACKTESTER-001,VolumeClockStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-VolumeClockStrategy-000,BINANCE-001,T-04cc5df5db3530a4-1126,MARKET,SELL,39.976,GTC,False,False,39.976,TAKER,51558.24962727637,0.0,['1442.76481097 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240226-053600-001-000-1,"['O-20240226-053600-001-000-2', 'O-20240226-053600-001-000-3']",,,,,"['scenario=VCIB-1708925160000000000-000034:ENTRY', 'family=VCIB_C']",11de6acd-c887-4fe8-b76f-0921b6a903b9,2024-02-26 05:36:00+00:00,2024-02-26 05:36:00+00:00,,,,,,,
BACKTESTER-001,VolumeClockStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-VolumeClockStrategy-000,BINANCE-001,T-04cc5df5db3530a4-1127,MARKET,BUY,19.839,GTC,True,False,19.839,TAKER,51558.5,0.0,['716.00835705 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1612fce6-4b31-470d-8133-8302c045c169,2024-02-26 05:36:00+00:00,2024-02-26 05:36:00+00:00,,,,,,,
BACKTESTER-001,VolumeClockStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-VolumeClockStrategy-000,BINANCE-001,T-04cc5df5db3530a4-1129,MARKET,BUY,20.137,GTC,True,False,20.137,TAKER,51558.50147986294,0.0,['726.76348101 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2bf77bf7-1238-40c5-8b1e-554ae2a48fda,2024-02-26 05:36:00+00:00,2024-02-26 05:36:00+00:00,,,,,,,
BACKTESTER-001,VolumeClockStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BTCUSDT-PERP.BINANCE-VolumeClockStrategy-000,BINANCE-001,T-5ef20299784c914e-3242,MARKET,BUY,15.086,GTC,False,False,15.086,TAKER,52719.2,0.0,['556.72529584 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240226-153600-001-000-2,"['O-20240226-153600-001-000-9', 'O-20240226-153600-001-000-10']",,,,,"['scenario=VCIB-1708961520000000000-000093:ENTRY', 'family=VCIB_C']",78e0310c-defe-4908-b2df-65cc39cc70f2,2024-02-26 15:36:00+00:00,2024-02-26 15:36:00+00:00,,,,,,,
BACKTESTER-001,VolumeClockStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-VolumeClockStrategy-000,BINANCE-001,T-7da10ab5b1a2c458-3250,STOP_MARKET,SELL,15.086,GTC,True,False,15.086,TAKER,52599.8,0.09999999999854481,['555.46440796 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240226-153600-001-000-2,['O-20240226-153600-001-000-10'],O-20240226-153600-001-000-8,,,,"['scenario=VCIB-1708961520000000000-000093:ENTRY', 'family=VCIB_C']",ab0fb757-b32b-4e7b-a66f-2f80a18d3cdc,2024-02-26 15:36:00+00:00,2024-02-26 15:38:00+00:00,52599.9,DEFAULT,,,,,
BACKTESTER-001,VolumeClockStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-VolumeClockStrategy-000,BINANCE-001,T-13435800eab79c45-4896,MARKET,BUY,20.343,GTC,False,False,20.343,TAKER,54701.9,0.0,['778.96052619 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240226-225500-001-000-3,"['O-20240226-225500-001-000-12', 'O-20240226-225500-001-000-13']",,,,,"['scenario=VCIB-1708987680000000000-000133:ENTRY', 'family=VCIB_C']",87abd0b9-64cf-4c17-a422-4b726e323a2e,2024-02-26 22:55:00+00:00,2024-02-26 22:55:00+00:00,,,,,,,
BACKTESTER-001,VolumeClockStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-VolumeClockStrategy-000,BINANCE-001,T-be725d9931c2fe57-4916,STOP_MARKET,SELL,20.343,GTC,True,False,20.343,TAKER,54639.5,0.09999999999854481,['778.07194395 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240226-225500-001-000-3,['O-20240226-225500-001-000-13'],O-20240226-225500-001-000-11,,,,"['scenario=VCIB-1708987680000000000-000133:ENTRY', 'family=VCIB_C']",de343439-8cfb-4365-9da2-8472b8ff2936,2024-02-26 22:55:00+00:00,2024-02-26 23:01:00+00:00,54639.6,DEFAULT,,,,,
BACKTESTER-001,VolumeClockStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BTCUSDT-PERP.BINANCE-VolumeClockStrategy-000,BINANCE-001,T-2b5cae8c2a8fe3f8-5626,MARKET,BUY,5.180,GTC,False,False,5.180,TAKER,56604.4,0.0,['205.24755440 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240227-021400-001-000-4,"['O-20240227-021400-001-000-15', 'O-20240227-021400-001-000-16']",,,,,"['scenario=VCIB-1708999560000000000-000154:ENTRY', 'family=VCIB_C']",d1bfa1e8-1e74-4300-a166-c0a5a9cc75ca,2024-02-27 02:14:00+00:00,2024-02-27 02:14:00+00:00,,,,,,,
BACKTESTER-001,VolumeClockStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-015,BTCUSDT-PERP.BINANCE-VolumeClockStrategy-000,BINANCE-001,T-3c35574e4dc79fcc-5801,MARKET,SELL,5.180,GTC,True,False,5.180,TAKER,56410.5,0.0,['204.54447300 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,238e6696-c3b4-47f2-9c0e-c8cc80eb26b9,2024-02-27 02:59:00+00:00,2024-02-27 02:59:00+00:00,,,,,,,
BACKTESTER-001,VolumeClockStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-016,BTCUSDT-PERP.BINANCE-VolumeClockStrategy-000,BINANCE-001,T-f80dbedc5875bd47-6051,MARKET,SELL,13.105,GTC,False,False,13.105,TAKER,55899.6,0.0,['512.79498060 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240227-040400-001-000-5,"['O-20240227-040400-001-000-19', 'O-20240227-040400-001-000-20']",,,,,"['scenario=VCIB-1709006220000000000-000161:ENTRY', 'family=VCIB_C']",601cc3d4-722c-4d66-897b-40397fc1cf9c,2024-02-27 04:04:00+00:00,2024-02-27 04:04:00+00:00,,,,,,,
BACKTESTER-001,VolumeClockStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-017,BTCUSDT-PERP.BINANCE-VolumeClockStrategy-000,BINANCE-001,T-6b91685ff5799055-6136,STOP_MARKET,BUY,13.105,GTC,True,False,13.105,TAKER,56027.2,0.09999999999126885,['513.96551920 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240227-040400-001-000-5,['O-20240227-040400-001-000-20'],O-20240227-040400-001-000-18,,,,"['scenario=VCIB-1709006220000000000-000161:ENTRY', 'family=VCIB_C']",86094936-39b2-4196-9dda-40d72d77d152,2024-02-27 04:04:00+00:00,2024-02-27 04:26:00+00:00,56027.1,DEFAULT,,,,,
