scenario_id,side,response,signal_time_ns,observed_time_ns,expected_entry,stop_price,target_price,anchor_high,anchor_low,sweep_extreme,atr,estimated_reward_risk,max_hold_bars,reason_code,submission_time_ns,entry_reference,quantity,equity,risk_budget,planned_loss_per_unit_after_cost,planned_gain_per_unit_after_cost,net_reward_risk_at_submission,effective_leverage,one_bar_execution_delay
BTCUSDT-PERP.BINANCE:1687201739999000000:acceptance:long,LONG,ACCEPTANCE,1687201919999000000,1687201919999000000,26605.8,26564.1624,26775.145,26569.7,26328.0,26614.5,46.14666666666696,4.067117220973555,120,ACCEPTED_BOUNDARY_HELD_ON_RETEST,1687201979999000000,26590.1,15.836,100000.0,1000.0,63.14558367999747,147.6893285000019,2.338870272360555,4.210808236,True
BTCUSDT-PERP.BINANCE:1687241699999000000:acceptance:short,SHORT,ACCEPTANCE,1687242299999000000,1687242299999000000,26780.0,26788.0,26447.105,27177.3,26782.6,26759.5,21.849999999999817,41.611875000000055,120,ACCEPTED_BOUNDARY_HELD_ON_RETEST,1687242359999000000,26786.6,25.448,99000.62155364,990.0062155364,38.90222000000145,302.23140649999897,7.769001524848394,6.885465829430815,True
BTCUSDT-PERP.BINANCE:1687297019999000000:acceptance:long,LONG,ACCEPTANCE,1687297799999000000,1687297799999000000,28163.2,28134.1,29132.445,28145.0,26983.3,28214.7,32.32666666666664,33.30738831614867,120,ACCEPTED_BOUNDARY_HELD_ON_RETEST,1687297859999000000,28178.7,11.665,98010.24708572999,980.1024708573,84.01896000000218,913.6271984999989,10.874059837207879,3.353777235277049,True
BTCUSDT-PERP.BINANCE:1687308779999000000:acceptance:long,LONG,ACCEPTANCE,1687309199999000000,1687309199999000000,28399.7,28385.0,28858.67,28397.8,27855.6,28435.0,34.05000000000012,31.222448979590123,120,ACCEPTED_BOUNDARY_HELD_ON_RETEST,1687309259999000000,28386.0,23.817,97030.16591733,970.3016591733,40.7397,432.5987309999982,10.618603745241085,6.967620384943102,True
BTCUSDT-PERP.BINANCE:1687440239999000000:acceptance:long,LONG,ACCEPTANCE,1687440479999000000,1687440479999000000,30270.7,30227.0,30622.325,30244.5,29800.0,30299.8,23.94833333333336,8.046338672768744,120,ACCEPTED_BOUNDARY_HELD_ON_RETEST,1687440539999000000,30238.0,18.013,96059.86848243,960.5986848243,53.325500000000005,341.7227725000007,6.408243195094292,5.6701836324044645,True
BTCUSDT-PERP.BINANCE:1687486259999000000:acceptance:short,SHORT,ACCEPTANCE,1687486739999000000,1687486739999000000,29845.8,29872.8,29517.04,30260.0,29858.4,29822.0,16.995000000000072,12.176296296296236,120,ACCEPTED_BOUNDARY_HELD_ON_RETEST,1687486799999000000,29861.4,17.871,95099.31625093,950.9931625093001,53.21393999999782,302.7950920000006,5.690146078264699,5.611534345755942,True
BTCUSDT-PERP.BINANCE:1687562279999000000:acceptance:short,SHORT,ACCEPTANCE,1687562459999000000,1687562459999000000,30594.3,30620.0,29887.425,31440.5,30601.0,30582.4,21.976666666666762,27.504863813228795,120,ACCEPTED_BOUNDARY_HELD_ON_RETEST,1687562519999000000,30578.899999999998,11.216,94148.32992919,941.4832992919,83.93923000000218,649.1485724999986,7.7335540545223225,3.6428999076027546,True
BTCUSDT-PERP.BINANCE:1687609499999000000:acceptance:long,LONG,ACCEPTANCE,1687609739999000000,1687609739999000000,30755.8,30738.281199999998,30907.219999999998,30739.6,30542.4,30777.5,10.989999999999963,8.643286069821222,120,ACCEPTED_BOUNDARY_HELD_ON_RETEST,1687609799999000000,30745.2,18.657,93206.86752551,932.0686752551,49.957236840003105,118.86330599999681,2.3793010486284016,6.15419455270296,True
BTCUSDT-PERP.BINANCE:1687689539999000000:acceptance:short,SHORT,ACCEPTANCE,1687690199999000000,1687690199999000000,30651.7,30664.4,30312.46,31053.2,30652.8,30635.2,14.879999999999745,26.711811023620644,120,ACCEPTED_BOUNDARY_HELD_ON_RETEST,1687690259999000000,30647.299999999996,15.374,92275.16586386,922.7516586386,60.018190000005816,292.1681679999965,4.867993653256924,5.106158149801132,True
BTCUSDT-PERP.BINANCE:1687720379999000000:acceptance:short,SHORT,ACCEPTANCE,1687720919999000000,1687720919999000000,30396.1,30427.2164,30163.285,30732.9,30425.0,30375.0,18.470000000000073,7.48206733426679,120,ACCEPTED_BOUNDARY_HELD_ON_RETEST,1687720979999000000,30387.0,11.034,91351.65756324,913.5165756324001,82.78635148000116,181.32980050000015,2.19033448458958,3.6703237461004874,True
