client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
O-20241230-022500-001-000-1,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-fec87189f247aa58-10563,MARKET,BUY,11.678,GTC,False,False,11.678,TAKER,93482.64000685049,0.0,['927.93672950 USDT'],NO_TRIGGER,FILLED,OTO,OL-20241230-022500-001-000-1,"['O-20241230-022500-001-000-2', 'O-20241230-022500-001-000-3']",,,,,"['v107-regime-rotation-12-1735525500000000000', 'candidate-02-v53']",578ab475-911e-423d-bb8f-91dd97d39763,2024-12-30 02:25:00+00:00,2024-12-30 02:25:00+00:00,,,,,,,
O-20241230-022500-001-000-2,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-0d08416507400149-10601,STOP_MARKET,SELL,11.678,GTC,True,False,11.678,TAKER,93375.2,0.0,['926.87024776 USDT'],NO_TRIGGER,FILLED,OUO,OL-20241230-022500-001-000-1,['O-20241230-022500-001-000-3'],O-20241230-022500-001-000-1,,,,"['v107-regime-rotation-12-1735525500000000000', 'auction-rotation-invalidation']",39fe5844-2f4b-44ea-bf6b-13d80d7e4cb8,2024-12-30 02:25:00+00:00,2024-12-30 02:35:00+00:00,93375.2,DEFAULT,,,,,
O-20241230-024000-001-000-4,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-6facfd9e415fd96b-10622,MARKET,BUY,8.650,GTC,False,False,8.650,TAKER,93537.90000000001,0.0,['687.73740975 USDT'],NO_TRIGGER,FILLED,OTO,OL-20241230-024000-001-000-2,"['O-20241230-024000-001-000-5', 'O-20241230-024000-001-000-6']",,,,,"['v107-regime-rotation-15-1735526400000000000', 'candidate-02-v53']",0bc3422c-af14-4e62-89b3-5d86ba9ec503,2024-12-30 02:40:00+00:00,2024-12-30 02:40:00+00:00,,,,,,,
O-20241230-044000-001-000-7,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-eb3a661bc8ac0aee-11063,MARKET,SELL,8.650,GTC,True,False,8.650,TAKER,93581.7,0.0,['688.05944925 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5fe6d478-de75-4498-ba53-b042bfa6a8f6,2024-12-30 04:40:00+00:00,2024-12-30 04:40:00+00:00,,,,,,,
O-20241230-231500-001-000-8,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-008,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-6091f84104a245b9-15183,MARKET,BUY,11.485,GTC,False,False,11.485,TAKER,92489.94849804093,0.0,['902.90999973 USDT'],NO_TRIGGER,FILLED,OTO,OL-20241230-231500-001-000-3,"['O-20241230-231500-001-000-9', 'O-20241230-231500-001-000-10']",,,,,"['v107-regime-rotation-9-1735600500000000000', 'candidate-02-v53']",c17f9fe5-db0b-4a61-b304-7ecd58cf1f48,2024-12-30 23:15:00+00:00,2024-12-30 23:15:00+00:00,,,,,,,
O-20241230-231500-001-000-9,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-aa8711cae3d77f66-15194,STOP_MARKET,SELL,11.485,GTC,True,False,11.485,TAKER,92387.3,0.0,['901.90791943 USDT'],NO_TRIGGER,FILLED,OUO,OL-20241230-231500-001-000-3,['O-20241230-231500-001-000-10'],O-20241230-231500-001-000-8,,,,"['v107-regime-rotation-9-1735600500000000000', 'auction-rotation-invalidation']",0d579187-9d40-446a-b7b1-e5f392c5f5bf,2024-12-30 23:15:00+00:00,2024-12-30 23:18:00+00:00,92387.3,DEFAULT,,,,,
O-20241231-105000-001-000-11,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-011,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-84e37f416a86cf76-17724,MARKET,SELL,9.865,GTC,False,False,9.865,TAKER,94120.0,0.0,['789.21973000 USDT'],NO_TRIGGER,FILLED,OTO,OL-20241231-105000-001-000-4,"['O-20241231-105000-001-000-12', 'O-20241231-105000-001-000-13']",,,,,"['v107-regime-rotation-9-1735642200000000000', 'candidate-02-v53']",28d527db-20bc-4728-9e8d-78c8013a6405,2024-12-31 10:50:00+00:00,2024-12-31 10:50:00+00:00,,,,,,,
O-20241231-105000-001-000-12,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-5f9113395e5cdff8-17785,STOP_MARKET,BUY,9.865,GTC,True,False,9.865,TAKER,94251.8,0.0,['790.32490595 USDT'],NO_TRIGGER,FILLED,OUO,OL-20241231-105000-001-000-4,['O-20241231-105000-001-000-13'],O-20241231-105000-001-000-11,,,,"['v107-regime-rotation-9-1735642200000000000', 'auction-rotation-invalidation']",dc60abbf-587c-4865-8793-d75f17482137,2024-12-31 10:50:00+00:00,2024-12-31 11:08:00+00:00,94251.8,DEFAULT,,,,,
O-20241231-153500-001-000-14,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-9f462556eb31e1e6-18778,MARKET,SELL,9.139,GTC,False,False,9.139,TAKER,95527.5,0.0,['742.07194913 USDT'],NO_TRIGGER,FILLED,OTO,OL-20241231-153500-001-000-5,"['O-20241231-153500-001-000-15', 'O-20241231-153500-001-000-16']",,,,,"['v107-regime-rotation-6-1735659300000000000', 'candidate-02-v53']",1b6629ac-339e-43cb-9e28-56a4fe78cfb3,2024-12-31 15:35:00+00:00,2024-12-31 15:35:00+00:00,,,,,,,
O-20241231-153500-001-000-15,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-015,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-baf57a3bf6863fff-18786,STOP_MARKET,BUY,9.139,GTC,True,False,9.139,TAKER,95670.09999999999,0.0,['743.17968732 USDT'],NO_TRIGGER,FILLED,OUO,OL-20241231-153500-001-000-5,['O-20241231-153500-001-000-16'],O-20241231-153500-001-000-14,,,,"['v107-regime-rotation-6-1735659300000000000', 'auction-rotation-invalidation']",d8dfa321-7e51-4ac5-9929-949e8ff02895,2024-12-31 15:35:00+00:00,2024-12-31 15:37:00+00:00,95670.1,DEFAULT,,,,,
