position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-0e18b80d-5727-4430-ad6e-f2fdae4c571a,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250303-024500-001-000-1,O-20250303-024500-001-000-2,SELL,FLAT,0.000,8.953,1740969900000000000,2025-03-03 02:45:00+00:00,1740970020000000000,2025-03-03 02:47:00+00:00,120000000000,93031.4,93217.5,['1417.36344145 USDT'],-0.002,-3083.51674145 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-69f1a011-bc5c-4c6c-a584-73b44aea8cda,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250303-030500-001-000-4,O-20250303-030500-001-000-6,SELL,FLAT,0.000,7.529,1740971100000000000,2025-03-03 03:05:00+00:00,1740972000000000000,2025-03-03 03:20:00+00:00,900000000000,93171.4,92522.0,['805.24379141 USDT'],0.00697,4084.08880859 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-274dd5f1-2c51-4330-b8db-041a68d24356,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250303-164500-001-000-7,O-20250303-164500-001-000-9,BUY,FLAT,0.000,8.107,1741020300000000000,2025-03-03 16:45:00+00:00,1741023840000000000,2025-03-03 17:44:00+00:00,3540000000000,90019.3,90901.6,['841.40027670 USDT'],0.0098,6311.40582330 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-f3cab525-c556-441a-9f30-25d4285bf025,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250303-204500-001-000-10,O-20250303-204500-001-000-12,BUY,FLAT,0.000,8.090,1741034700000000000,2025-03-03 20:45:00+00:00,1741035720000000000,2025-03-03 21:02:00+00:00,1020000000000,85371.6,86372.2,['796.68313680 USDT'],0.01172,7298.17086320 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-a29c2a1f-920f-41f9-b6f2-2f339c9c2ffd,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250304-033000-001-000-13,O-20250304-033000-001-000-14,SELL,FLAT,0.000,8.574,1741059000000000000,2025-03-04 03:30:00+00:00,1741060380000000000,2025-03-04 03:53:00+00:00,1380000000000,83981.1,84247.5,['1226.03321394 USDT'],-0.00317,-3510.14681394 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-ba986f60-25ea-4fff-9c9e-f5d51250e6d3,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250304-054500-001-000-16,O-20250304-054500-001-000-17,SELL,FLAT,0.000,8.560,1741067100000000000,2025-03-04 05:45:00+00:00,1741068240000000000,2025-03-04 06:04:00+00:00,1140000000000,84100.0,84354.59999999999,['1225.67566960 USDT'],-0.00303,-3405.05166960 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-f7fda043-c8fc-4913-a07c-bee4d64c18ef,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250305-162000-001-000-19,O-20250305-162000-001-000-21,BUY,FLAT,0.000,5.846,1741191600000000000,2025-03-05 16:20:00+00:00,1741193880000000000,2025-03-05 16:58:00+00:00,2280000000000,87967.2,88675.3,['592.63655466 USDT'],0.00805,3546.91604534 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-45c4a3bb-ce4e-412d-b05d-6f966a727bfd,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250305-185000-001-000-22,O-20250305-185000-001-000-24,BUY,FLAT,0.000,6.789,1741200600000000000,2025-03-05 18:50:00+00:00,1741201620000000000,2025-03-05 19:07:00+00:00,1020000000000,89259.8,90113.5,['698.62123032 USDT'],0.00956,5097.14806968 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-80f00510-d36f-44e6-8384-02c85515f9a2,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250307-154500-001-000-25,O-20250307-154500-001-000-26,BUY,FLAT,0.000,5.121,1741362300000000000,2025-03-07 15:45:00+00:00,1741364520000000000,2025-03-07 16:22:00+00:00,2220000000000,88482.59999999999,87942.20000000001,['767.95069068 USDT'],-0.00611,-3535.33909068 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-4742297b-c679-4148-b738-247e16130cc2,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250307-195500-001-000-28,O-20250307-195500-001-000-29,BUY,FLAT,0.000,7.743,1741377300000000000,2025-03-07 19:55:00+00:00,1741379880000000000,2025-03-07 20:38:00+00:00,2580000000000,87573.6,87276.5,['1150.78467566 USDT'],-0.00339,-3451.22997566 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250309-191500-001-000-31,O-20250309-191500-001-000-33,BUY,FLAT,0.000,12.348,1741547700000000000,2025-03-09 19:15:00+00:00,1741551120000000000,2025-03-09 20:12:00+00:00,3420000000000,82413.40000000001,83120.09999999999,['1172.90466216 USDT'],0.00858,7553.42693784 USDT,False
