client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
O-20250303-024500-001-000-1,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-5b94e96cee2bd372-11191,MARKET,SELL,8.953,GTC,False,False,8.953,TAKER,93031.4,0.0,['707.97360557 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250303-024500-001-000-1,"['O-20250303-024500-001-000-2', 'O-20250303-024500-001-000-3']",,,,,"['v107-regime-rotation-6-1740969900000000000', 'candidate-02-v53']",9a53aa25-0b71-41d2-8d45-b1b8b61298fa,2025-03-03 02:45:00+00:00,2025-03-03 02:45:00+00:00,,,,,,,
O-20250303-024500-001-000-2,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-f4ded0324e613f00-11199,STOP_MARKET,BUY,8.953,GTC,True,False,8.953,TAKER,93217.5,0.0,['709.38983588 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250303-024500-001-000-1,['O-20250303-024500-001-000-3'],O-20250303-024500-001-000-1,,,,"['v107-regime-rotation-6-1740969900000000000', 'auction-rotation-invalidation']",0b28019b-21c1-4fa0-8cf3-0f898428c453,2025-03-03 02:45:00+00:00,2025-03-03 02:47:00+00:00,93217.5,DEFAULT,,,,,
O-20250303-030500-001-000-4,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-e156900d45964bf0-11268,MARKET,SELL,7.529,GTC,False,False,7.529,TAKER,93171.4,0.0,['596.26435001 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250303-030500-001-000-2,"['O-20250303-030500-001-000-5', 'O-20250303-030500-001-000-6']",,,,,"['v107-regime-rotation-9-1740971100000000000', 'candidate-02-v53']",95db1d68-6066-41bf-8ac9-3c2c042fee0f,2025-03-03 03:05:00+00:00,2025-03-03 03:05:00+00:00,,,,,,,
O-20250303-030500-001-000-6,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-94525da6af9bba40-11305,LIMIT,BUY,7.529,GTC,True,False,7.529,MAKER,92909.1,0.0,['209.85378417 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250303-030500-001-000-2,['O-20250303-030500-001-000-5'],O-20250303-030500-001-000-4,,,,"['v107-regime-rotation-9-1740971100000000000', 'opposite-auction-liquidity']",8b1b7983-2c1f-4bfe-aefb-5d95f1fb1192,2025-03-03 03:05:00+00:00,2025-03-03 03:15:00+00:00,,,,,92909.1,True,
O-20250303-164500-001-000-7,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-b458527b6b75ae06-14356,MARKET,BUY,7.873,GTC,False,False,7.873,TAKER,90019.3,0.0,['602.41365657 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250303-164500-001-000-3,"['O-20250303-164500-001-000-8', 'O-20250303-164500-001-000-9']",,,,,"['v107-regime-rotation-18-1741020300000000000', 'candidate-02-v53']",da79200b-3f46-452e-b63f-71590a287ce2,2025-03-03 16:45:00+00:00,2025-03-03 16:45:00+00:00,,,,,,,
O-20250303-164500-001-000-9,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-e3bfddd52c9c79e8-14437,LIMIT,SELL,7.873,GTC,True,False,7.873,MAKER,90398.7,0.0,['213.51268953 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250303-164500-001-000-3,['O-20250303-164500-001-000-8'],O-20250303-164500-001-000-7,,,,"['v107-regime-rotation-18-1741020300000000000', 'opposite-auction-liquidity']",70648f89-3d5b-4950-bc89-abe73111cf47,2025-03-03 16:45:00+00:00,2025-03-03 17:07:00+00:00,,,,,90398.7,True,
O-20250303-204500-001-000-10,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-0cc60fc6f1b6b1f6-15285,MARKET,BUY,7.558,GTC,False,False,7.558,TAKER,85371.6,0.0,['548.45276988 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250303-204500-001-000-4,"['O-20250303-204500-001-000-11', 'O-20250303-204500-001-000-12']",,,,,"['v107-regime-rotation-6-1741034700000000000', 'candidate-02-v53']",5f78a13f-ba48-4c61-9cd6-931c7ec154f2,2025-03-03 20:45:00+00:00,2025-03-03 20:45:00+00:00,,,,,,,
O-20250303-204500-001-000-12,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-341bed130503cb5b-15297,LIMIT,SELL,7.558,GTC,True,False,7.558,MAKER,85775.4,0.0,['194.48714196 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250303-204500-001-000-4,['O-20250303-204500-001-000-11'],O-20250303-204500-001-000-10,,,,"['v107-regime-rotation-6-1741034700000000000', 'opposite-auction-liquidity']",086665e3-e456-4b71-94da-837db24ae533,2025-03-03 20:45:00+00:00,2025-03-03 20:48:00+00:00,,,,,85775.4,True,
O-20250304-033000-001-000-13,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-a5678f3fb00a2bd9-16850,MARKET,SELL,7.673,GTC,False,False,7.673,TAKER,83981.1,0.0,['547.72893326 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250304-033000-001-000-5,"['O-20250304-033000-001-000-14', 'O-20250304-033000-001-000-15']",,,,,"['v107-regime-rotation-15-1741059000000000000', 'candidate-02-v53']",9302a020-fd3c-4982-abce-1ce345fba9a5,2025-03-04 03:30:00+00:00,2025-03-04 03:30:00+00:00,,,,,,,
O-20250304-033000-001-000-15,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-015,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-696be9638f389850-16914,LIMIT,BUY,7.673,GTC,True,False,7.673,MAKER,83557.2,0.0,['192.34031868 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250304-033000-001-000-5,['O-20250304-033000-001-000-14'],O-20250304-033000-001-000-13,,,,"['v107-regime-rotation-15-1741059000000000000', 'opposite-auction-liquidity']",6fb447e3-ff24-4aad-af19-57a8522e4902,2025-03-04 03:30:00+00:00,2025-03-04 03:47:00+00:00,,,,,83557.2,True,
