,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2025-03-01 00:01:00+00:00,100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
2025-03-03 16:45:00+00:00,99385.80281706,23.12271748,99362.68009958,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '23.12271748', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-03 16:45:00+00:00,99385.80281706,23.12271748,99362.68009958,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '23.12271748', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-03 16:45:00+00:00,99385.80281706,23.12271748,99362.68009958,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '23.12271748', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-03 17:07:00+00:00,102213.55750759,0.00000000,102213.55750759,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
2025-03-03 17:07:00+00:00,102213.55750759,0.00000000,102213.55750759,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
2025-03-03 20:45:00+00:00,101654.36499043,21.05195359,101633.31303684,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '21.05195359', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-03 20:45:00+00:00,101654.36499043,21.05195359,101633.31303684,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '21.05195359', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-03 20:45:00+00:00,101654.36499043,21.05195359,101633.31303684,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '21.05195359', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-03 20:48:00+00:00,104567.75222071,0.00000000,104567.75222071,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
2025-03-03 20:48:00+00:00,104567.75222071,0.00000000,104567.75222071,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
2025-03-04 03:30:00+00:00,104009.31569720,21.02349265,103988.29220455,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '21.02349265', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-04 03:30:00+00:00,104009.31569720,21.02349265,103988.29220455,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '21.02349265', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-04 03:30:00+00:00,104009.31569720,21.02349265,103988.29220455,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '21.02349265', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-04 03:47:00+00:00,107129.38500452,0.00000000,107129.38500452,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
2025-03-04 03:47:00+00:00,107129.38500452,0.00000000,107129.38500452,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
2025-03-04 10:25:00+00:00,106130.93007547,37.58889145,106093.34118402,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '37.58889145', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-04 10:25:00+00:00,106130.93007547,37.58889145,106093.34118402,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '37.58889145', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-04 10:25:00+00:00,106130.93007547,37.58889145,106093.34118402,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '37.58889145', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-04 10:38:00+00:00,109585.65214004,0.00000000,109585.65214004,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
2025-03-04 10:38:00+00:00,109585.65214004,0.00000000,109585.65214004,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
2025-03-07 15:45:00+00:00,109222.91329721,13.65605055,109209.25724666,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '13.65605055', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-07 15:45:00+00:00,109222.91329721,13.65605055,109209.25724666,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '13.65605055', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
