client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,account_id,trade_id,position_id,order_side,order_type,last_qty,last_px,currency,commission,liquidity_side,event_id,ts_event,ts_init,info,reconciliation
O-20250303-164500-001-000-1,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BINANCE-001,T-b458527b6b75ae06-14352,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,8.027,90019.3,USDT,614.19718294 USDT,TAKER,c8fef088-1877-4681-9ef0-51a9afe319d6,2025-03-03 16:45:00+00:00,2025-03-03 16:45:00+00:00,{},False
O-20250303-164500-001-000-3,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-003,BINANCE-001,T-e3bfddd52c9c79e8-14433,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,8.027,90398.7,USDT,217.68910947 USDT,MAKER,f9b43b16-a0bb-4a3f-8a81-7f3169018325,2025-03-03 17:07:00+00:00,2025-03-03 17:07:00+00:00,{},False
O-20250303-204500-001-000-4,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BINANCE-001,T-0cc60fc6f1b6b1f6-15281,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,7.706,85371.6,USDT,559.19251716 USDT,TAKER,98ede4d4-49ae-41d4-8c61-75369dec10db,2025-03-03 20:45:00+00:00,2025-03-03 20:45:00+00:00,{},False
O-20250303-204500-001-000-6,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BINANCE-001,T-341bed130503cb5b-15293,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,7.706,85775.4,USDT,198.29556972 USDT,MAKER,b7a5d102-1676-43f4-bdb5-5bce44a1bdee,2025-03-03 20:48:00+00:00,2025-03-03 20:48:00+00:00,{},False
O-20250304-033000-001-000-7,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BINANCE-001,T-a5678f3fb00a2bd9-16846,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,MARKET,7.823,83981.1,USDT,558.43652351 USDT,TAKER,0e396fcf-0919-4114-8a90-03e0ff928dda,2025-03-04 03:30:00+00:00,2025-03-04 03:30:00+00:00,{},False
O-20250304-033000-001-000-9,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BINANCE-001,T-696be9638f389850-16910,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,LIMIT,7.823,83557.2,USDT,196.10039268 USDT,MAKER,f8b29911-c1f8-46a7-8ad1-4a7b2eedbddd,2025-03-04 03:47:00+00:00,2025-03-04 03:47:00+00:00,{},False
O-20250304-102500-001-000-10,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BINANCE-001,T-bf21ab85a2cf3e29-18438,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,14.063,83527.9,USDT,998.45492905 USDT,TAKER,9357ff5d-1408-4d04-a8c5-44543ce84498,2025-03-04 10:25:00+00:00,2025-03-04 10:25:00+00:00,{},False
O-20250304-102500-001-000-12,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BINANCE-001,T-06894af6c2caeea5-18487,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,14.063,83798.7,USDT,353.53833543 USDT,MAKER,40478954-590a-4a94-98ba-ab676571a92b,2025-03-04 10:38:00+00:00,2025-03-04 10:38:00+00:00,{},False
O-20250307-154500-001-000-13,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BINANCE-001,T-8e1945eb24f7a61f-36022,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,4.823,88482.6,USDT,362.73884283 USDT,TAKER,cc65da84-2069-4038-ad8a-2d16ef544b05,2025-03-07 15:45:00+00:00,2025-03-07 15:45:00+00:00,{},False
O-20250307-154500-001-000-14,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BINANCE-001,T-a8dd3912a9def5db-36169,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,STOP_MARKET,4.823,87942.2,USDT,360.52344601 USDT,TAKER,dd1dcca7-b92c-4b3c-b57d-b287247b86f7,2025-03-07 16:22:00+00:00,2025-03-07 16:22:00+00:00,{},False
O-20250307-195500-001-000-16,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-016,BINANCE-001,T-cffbae17e9b32d0f-36997,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,7.294,87573.6,USDT,542.94756264 USDT,TAKER,84959538-5cdc-44d5-bf9e-8b41847b49ab,2025-03-07 19:55:00+00:00,2025-03-07 19:55:00+00:00,{},False
O-20250307-195500-001-000-18,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-018,BINANCE-001,T-8ac41b381a2aa827-37050,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,7.294,88225.7,USDT,193.05547674 USDT,MAKER,6eca048f-f3cf-4a4b-b254-b48b2a1e2851,2025-03-07 20:09:00+00:00,2025-03-07 20:09:00+00:00,{},False
O-20250309-191500-001-000-19,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-019,BINANCE-001,T-c8f60156e3082f11-47232,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,12.452,82413.4,USDT,872.27990828 USDT,TAKER,6a62958d-8a5f-4f50-83e0-94d0eb2e48f1,2025-03-09 19:15:00+00:00,2025-03-09 19:15:00+00:00,{},False
