client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,price,expire_time_ns,is_post_only,display_qty,trigger_instrument_id,trigger_price,trigger_type
O-20250303-164500-001-000-1,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-b458527b6b75ae06-14352,MARKET,BUY,8.027,GTC,False,False,8.027,TAKER,90019.3,0.0,['614.19718294 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250303-164500-001-000-1,"['O-20250303-164500-001-000-2', 'O-20250303-164500-001-000-3']",,,,,"['v107-regime-rotation-18-1741020300000000000', 'candidate-02-v53']",700a3f97-2db1-41b6-b6eb-c72eb1ae5a71,2025-03-03 16:45:00+00:00,2025-03-03 16:45:00+00:00,,,,,,,
O-20250303-164500-001-000-3,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-003,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-e3bfddd52c9c79e8-14433,LIMIT,SELL,8.027,GTC,True,False,8.027,MAKER,90398.7,0.0,['217.68910947 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250303-164500-001-000-1,['O-20250303-164500-001-000-2'],O-20250303-164500-001-000-1,,,,"['v107-regime-rotation-18-1741020300000000000', 'opposite-auction-liquidity']",61c534b2-94b8-4a7a-9846-48460f8583b5,2025-03-03 16:45:00+00:00,2025-03-03 17:07:00+00:00,90398.7,,True,,,,
O-20250303-204500-001-000-4,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-0cc60fc6f1b6b1f6-15281,MARKET,BUY,7.706,GTC,False,False,7.706,TAKER,85371.6,0.0,['559.19251716 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250303-204500-001-000-2,"['O-20250303-204500-001-000-5', 'O-20250303-204500-001-000-6']",,,,,"['v107-regime-rotation-6-1741034700000000000', 'candidate-02-v53']",8a2f5c0b-bc36-4f3d-be4a-6b83ae0fcf16,2025-03-03 20:45:00+00:00,2025-03-03 20:45:00+00:00,,,,,,,
O-20250303-204500-001-000-6,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-341bed130503cb5b-15293,LIMIT,SELL,7.706,GTC,True,False,7.706,MAKER,85775.4,0.0,['198.29556972 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250303-204500-001-000-2,['O-20250303-204500-001-000-5'],O-20250303-204500-001-000-4,,,,"['v107-regime-rotation-6-1741034700000000000', 'opposite-auction-liquidity']",c10c4b0e-792e-411b-bd3d-8d9de34c00b5,2025-03-03 20:45:00+00:00,2025-03-03 20:48:00+00:00,85775.4,,True,,,,
O-20250304-033000-001-000-7,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-a5678f3fb00a2bd9-16846,MARKET,SELL,7.823,GTC,False,False,7.823,TAKER,83981.1,0.0,['558.43652351 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250304-033000-001-000-3,"['O-20250304-033000-001-000-8', 'O-20250304-033000-001-000-9']",,,,,"['v107-regime-rotation-15-1741059000000000000', 'candidate-02-v53']",a618be0d-01d3-4c5c-944e-24582152b5b7,2025-03-04 03:30:00+00:00,2025-03-04 03:30:00+00:00,,,,,,,
O-20250304-033000-001-000-9,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-696be9638f389850-16910,LIMIT,BUY,7.823,GTC,True,False,7.823,MAKER,83557.2,0.0,['196.10039268 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250304-033000-001-000-3,['O-20250304-033000-001-000-8'],O-20250304-033000-001-000-7,,,,"['v107-regime-rotation-15-1741059000000000000', 'opposite-auction-liquidity']",f4bc60f1-ec81-4d9d-b12b-4b73026a0886,2025-03-04 03:30:00+00:00,2025-03-04 03:47:00+00:00,83557.2,,True,,,,
O-20250304-102500-001-000-10,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-bf21ab85a2cf3e29-18438,MARKET,BUY,14.063,GTC,False,False,14.063,TAKER,83527.90000000001,0.0,['998.45492905 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250304-102500-001-000-4,"['O-20250304-102500-001-000-11', 'O-20250304-102500-001-000-12']",,,,,"['v107-regime-rotation-15-1741083900000000000', 'candidate-02-v53']",559cd01d-93a1-496d-9082-5f0507dc80ab,2025-03-04 10:25:00+00:00,2025-03-04 10:25:00+00:00,,,,,,,
O-20250304-102500-001-000-12,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-06894af6c2caeea5-18487,LIMIT,SELL,14.063,GTC,True,False,14.063,MAKER,83798.7,0.0,['353.53833543 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250304-102500-001-000-4,['O-20250304-102500-001-000-11'],O-20250304-102500-001-000-10,,,,"['v107-regime-rotation-15-1741083900000000000', 'opposite-auction-liquidity']",47372bbc-1551-4cc9-9ff9-17d5a1aba6af,2025-03-04 10:25:00+00:00,2025-03-04 10:38:00+00:00,83798.7,,True,,,,
O-20250307-154500-001-000-13,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-8e1945eb24f7a61f-36022,MARKET,BUY,4.823,GTC,False,False,4.823,TAKER,88482.59999999999,0.0,['362.73884283 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250307-154500-001-000-5,"['O-20250307-154500-001-000-14', 'O-20250307-154500-001-000-15']",,,,,"['v107-regime-rotation-15-1741362300000000000', 'candidate-02-v53']",8b60d05f-13c8-49b5-a419-5688238a7501,2025-03-07 15:45:00+00:00,2025-03-07 15:45:00+00:00,,,,,,,
O-20250307-154500-001-000-14,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-a8dd3912a9def5db-36169,STOP_MARKET,SELL,4.823,GTC,True,False,4.823,TAKER,87942.20000000001,0.0,['360.52344601 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250307-154500-001-000-5,['O-20250307-154500-001-000-15'],O-20250307-154500-001-000-13,,,,"['v107-regime-rotation-15-1741362300000000000', 'auction-rotation-invalidation']",1f8632b8-98d5-470c-be22-87a5bcdb291f,2025-03-07 15:45:00+00:00,2025-03-07 16:22:00+00:00,,,,,,87942.2,DEFAULT
O-20250307-195500-001-000-16,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-016,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-cffbae17e9b32d0f-36997,MARKET,BUY,7.294,GTC,False,False,7.294,TAKER,87573.6,0.0,['542.94756264 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250307-195500-001-000-6,"['O-20250307-195500-001-000-17', 'O-20250307-195500-001-000-18']",,,,,"['v107-regime-rotation-18-1741377300000000000', 'candidate-02-v53']",22f16cdc-6b7d-4fe6-a5ae-ea8c17858b4f,2025-03-07 19:55:00+00:00,2025-03-07 19:55:00+00:00,,,,,,,
O-20250307-195500-001-000-18,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-018,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-8ac41b381a2aa827-37050,LIMIT,SELL,7.294,GTC,True,False,7.294,MAKER,88225.7,0.0,['193.05547674 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250307-195500-001-000-6,['O-20250307-195500-001-000-17'],O-20250307-195500-001-000-16,,,,"['v107-regime-rotation-18-1741377300000000000', 'opposite-auction-liquidity']",5c674996-0c14-49c5-87be-850a72c7e359,2025-03-07 19:55:00+00:00,2025-03-07 20:09:00+00:00,88225.7,,True,,,,
O-20250309-191500-001-000-19,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-019,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-c8f60156e3082f11-47232,MARKET,BUY,12.452,GTC,False,False,12.452,TAKER,82413.40000000001,0.0,['872.27990828 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250309-191500-001-000-7,"['O-20250309-191500-001-000-20', 'O-20250309-191500-001-000-21']",,,,,"['v107-regime-rotation-12-1741547700000000000', 'candidate-02-v53']",8234ab6c-2eb2-4a7e-bfe9-68951ca65ef4,2025-03-09 19:15:00+00:00,2025-03-09 19:15:00+00:00,,,,,,,
O-20250309-191500-001-000-21,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-021,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-4a30dc197d0adb24-47286,LIMIT,SELL,12.452,GTC,True,False,12.452,MAKER,82751.2,0.0,['309.12538272 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250309-191500-001-000-7,['O-20250309-191500-001-000-20'],O-20250309-191500-001-000-19,,,,"['v107-regime-rotation-12-1741547700000000000', 'opposite-auction-liquidity']",f159bc5f-b47f-4f54-84bb-93b0eb9ee030,2025-03-09 19:15:00+00:00,2025-03-09 19:29:00+00:00,82751.2,,True,,,,
