,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2025-03-01 00:01:00+00:00,100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
2025-03-07 15:51:00+00:00,99651.68768884,13.11293407,99638.57475477,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '13.11293407', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-07 15:51:00+00:00,99651.68768884,13.11293407,99638.57475477,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '13.11293407', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-07 15:51:00+00:00,99651.68768884,13.11293407,99638.57475477,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '13.11293407', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-07 16:03:00+00:00,96959.28784712,0.00000000,96959.28784712,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
2025-03-07 16:03:00+00:00,96959.28784712,0.00000000,96959.28784712,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
2025-03-07 19:57:00+00:00,96528.18055368,16.22992164,96511.95063204,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '16.22992164', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-07 19:57:00+00:00,96528.18055368,16.22992164,96511.95063204,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '16.22992164', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-07 19:57:00+00:00,96528.18055368,16.22992164,96511.95063204,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '16.22992164', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-07 20:09:00+00:00,99222.89132217,0.00000000,99222.89132217,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
2025-03-07 20:09:00+00:00,99222.89132217,0.00000000,99222.89132217,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
2025-03-09 19:18:00+00:00,98503.88119624,27.06861651,98476.81257973,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '27.06861651', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-09 19:18:00+00:00,98503.88119624,27.06861651,98476.81257973,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '27.06861651', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-09 19:18:00+00:00,98503.88119624,27.06861651,98476.81257973,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '27.06861651', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
2025-03-09 19:29:00+00:00,101464.94557728,0.00000000,101464.94557728,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
2025-03-09 19:29:00+00:00,101464.94557728,0.00000000,101464.94557728,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
