client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
O-20250217-041000-001-000-1,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-f05175db58996f32-10321,MARKET,SELL,8.446,GTC,False,False,8.446,TAKER,96054.7,0.0,['689.58629677 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250217-041000-001-000-1,"['O-20250217-041000-001-000-2', 'O-20250217-041000-001-000-3']",,,,,"['v155-informed-inventory-1739765400000000000', 'candidate-02-v53']",977bed3a-d360-4fb5-af46-b6faa1a10ce7,1739765400000000000,1739765400000000000,,,,,,,
O-20250217-041000-001-000-2,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-146226661e799bd5-10529,STOP_MARKET,BUY,8.446,GTC,True,False,8.446,TAKER,96256.0,0.0,['691.03144960 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250217-041000-001-000-1,['O-20250217-041000-001-000-3'],O-20250217-041000-001-000-1,,,,"['v155-informed-inventory-1739765400000000000', 'auction-rotation-invalidation']",01ab1fc6-ac8d-477b-8870-21086fe2541c,1739765400000000000,1739769120000000000,96256.0,DEFAULT,,,,,
O-20250217-041000-001-000-3,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-003,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,,LIMIT,BUY,8.446,GTC,True,False,0.000,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250217-041000-001-000-1,['O-20250217-041000-001-000-2'],O-20250217-041000-001-000-1,,,,"['v155-informed-inventory-1739765400000000000', 'opposite-auction-liquidity']",a1b47f46-4792-4f61-94af-1f9ad2091e9e,1739765400000000000,1739769120000000000,,,,,95687.5,True,
O-20250217-075000-001-000-4,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-a4053fccb1c02435-11082,MARKET,SELL,7.131,GTC,False,False,7.131,TAKER,95922.0,0.0,['581.41681470 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250217-075000-001-000-2,"['O-20250217-075000-001-000-5', 'O-20250217-075000-001-000-6']",,,,,"['v155-informed-inventory-1739778600000000000', 'candidate-02-v53']",3d02ef14-fd3e-43c8-ad1e-235844888b52,1739778600000000000,1739778600000000000,,,,,,,
O-20250217-075000-001-000-5,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-d74a4058019f4718-11163,STOP_MARKET,BUY,7.131,GTC,True,False,7.131,TAKER,96176.09999999999,0.0,['582.95700373 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250217-075000-001-000-2,['O-20250217-075000-001-000-6'],O-20250217-075000-001-000-4,,,,"['v155-informed-inventory-1739778600000000000', 'auction-rotation-invalidation']",c820adbb-26f0-4491-93fb-5bfbcb260ac5,1739778600000000000,1739780040000000000,96176.1,DEFAULT,,,,,
O-20250217-075000-001-000-6,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,,LIMIT,BUY,7.131,GTC,True,False,0.000,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250217-075000-001-000-2,['O-20250217-075000-001-000-5'],O-20250217-075000-001-000-4,,,,"['v155-informed-inventory-1739778600000000000', 'opposite-auction-liquidity']",762305af-ef51-4c5e-bbeb-fa5b4a986e77,1739778600000000000,1739780040000000000,,,,,95515.6,True,
O-20250217-084000-001-000-7,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-0dbc26071aae72bf-11252,MARKET,SELL,7.731,GTC,False,False,7.731,TAKER,95987.1,0.0,['630.76482959 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250217-084000-001-000-3,"['O-20250217-084000-001-000-8', 'O-20250217-084000-001-000-9']",,,,,"['v155-informed-inventory-1739781600000000000', 'candidate-02-v53']",ee2709c3-f871-4c63-9058-15727bbe26b9,1739781600000000000,1739781600000000000,,,,,,,
O-20250217-084000-001-000-8,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-008,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-248cb891cd3e7c50-11290,STOP_MARKET,BUY,7.731,GTC,True,False,7.731,TAKER,96197.90000000001,0.0,['632.15007017 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250217-084000-001-000-3,['O-20250217-084000-001-000-9'],O-20250217-084000-001-000-7,,,,"['v155-informed-inventory-1739781600000000000', 'auction-rotation-invalidation']",8db260cc-385d-407c-8749-33c656268945,1739781600000000000,1739782200000000000,96197.9,DEFAULT,,,,,
O-20250217-084000-001-000-9,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,,LIMIT,BUY,7.731,GTC,True,False,0.000,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250217-084000-001-000-3,['O-20250217-084000-001-000-8'],O-20250217-084000-001-000-7,,,,"['v155-informed-inventory-1739781600000000000', 'opposite-auction-liquidity']",2e7bffee-8d65-4a65-ae6f-0c43f5b356e3,1739781600000000000,1739782200000000000,,,,,95613.0,True,
O-20250218-014500-001-000-10,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-9136a85821963ad5-14906,MARKET,BUY,7.852,GTC,False,False,7.852,TAKER,96070.1433392766,0.0,['641.19135068 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250218-014500-001-000-4,"['O-20250218-014500-001-000-11', 'O-20250218-014500-001-000-12']",,,,,"['v155-informed-inventory-1739843100000000000', 'candidate-02-v53']",274bdc8b-c8bb-4dee-a3bb-e6f9416864ad,1739843100000000000,1739843100000000000,,,,,,,
