position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-a5875d44-51a0-40bc-a55d-870107a635de,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250217-041000-001-000-1,O-20250217-041000-001-000-2,SELL,FLAT,0.000,8.446,1739765400000000000,2025-02-17 04:10:00+00:00,1739769120000000000,2025-02-17 05:12:00+00:00,3720000000000,96054.7,96256.0,['1380.61774637 USDT'],-0.0021,-3080.79754637 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-92f79181-c623-4cd6-8214-fcdcadfbf3ff,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250217-075000-001-000-4,O-20250217-075000-001-000-5,SELL,FLAT,0.000,7.131,1739778600000000000,2025-02-17 07:50:00+00:00,1739780040000000000,2025-02-17 08:14:00+00:00,1440000000000,95922.0,96176.09999999999,['1164.37381843 USDT'],-0.00265,-2976.36091843 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-bc73f976-70f4-445b-ad99-b19565599c96,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250217-084000-001-000-7,O-20250217-084000-001-000-8,SELL,FLAT,0.000,7.731,1739781600000000000,2025-02-17 08:40:00+00:00,1739782200000000000,2025-02-17 08:50:00+00:00,600000000000,95987.1,96197.90000000001,['1262.91489976 USDT'],-0.0022,-2892.60969976 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-9e512f82-69f1-4574-8412-87262ca38e7a,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250218-014500-001-000-10,O-20250218-014500-001-000-11,BUY,FLAT,0.000,7.852,1739843100000000000,2025-02-18 01:45:00+00:00,1739855820000000000,2025-02-18 05:17:00+00:00,12720000000000,96070.1433392766,95875.8,['1281.08561504 USDT'],-0.00202,-2807.06951504 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-2e03c4b9-3248-44a1-8c51-e9c16879047f,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250218-183500-001-000-13,O-20250218-183500-001-000-15,SELL,FLAT,0.000,4.724,1739903700000000000,2025-02-18 18:35:00+00:00,1739905740000000000,2025-02-18 19:09:00+00:00,2040000000000,93924.0,93405.3,['509.51642076 USDT'],0.00552,1940.82237924 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-1c919601-9ab9-418d-8333-2ab6f8570f3d,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250218-191000-001-000-16,O-20250218-191000-001-000-17,SELL,FLAT,0.000,4.282,1739905800000000000,2025-02-18 19:10:00+00:00,1739908020000000000,2025-02-18 19:47:00+00:00,2220000000000,93551.5,94033.3,['682.75239656 USDT'],-0.00515,-2745.81999656 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-a9688f5d-4eea-4fcd-8197-2da3f4352bf3,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250219-045500-001-000-19,O-20250219-045500-001-000-20,SELL,FLAT,0.000,6.356,1739940900000000000,2025-02-19 04:55:00+00:00,1739947980000000000,2025-02-19 06:53:00+00:00,7080000000000,95327.6,95587.5,['1031.43791926 USDT'],-0.00273,-2683.36231926 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-b39ae743-9587-4da8-a0c2-dbc824c37464,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250220-012500-001-000-22,O-20250220-012500-001-000-23,SELL,FLAT,0.000,4.962,1740014700000000000,2025-02-20 01:25:00+00:00,1740019920000000000,2025-02-20 02:52:00+00:00,5220000000000,96655.1,97012.5,['816.83183652 USDT'],-0.0037,-2590.25063652 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-f0ae0265-1b73-4ee3-9d2d-3587ddbe22b0,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250221-125000-001-000-25,O-20250221-125000-001-000-27,BUY,FLAT,0.000,7.119,1740142200000000000,2025-02-21 12:50:00+00:00,1740143100000000000,2025-02-21 13:05:00+00:00,900000000000,98849.90000000001,99213.40000000001,['810.04563077 USDT'],0.00368,1777.71086923 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-eaba0c6d-93eb-4881-955a-d2d6be4ec287,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250222-140000-001-000-28,O-20250222-140000-001-000-29,SELL,FLAT,0.000,6.668,1740232800000000000,2025-02-22 14:00:00+00:00,1740240420000000000,2025-02-22 16:07:00+00:00,7620000000000,96513.5,96736.5,['1095.30235000 USDT'],-0.00231,-2582.26635000 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-75860319-cde6-4e2d-86aa-95f75b4f822f,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250222-192500-001-000-31,O-20250223-002500-001-000-34,BUY,FLAT,0.000,7.020,1740252300000000000,2025-02-22 19:25:00+00:00,1740270300000000000,2025-02-23 00:25:00+00:00,18000000000000,96516.93752136752,96527.0,['1151.89317519 USDT'],0.0001,-1081.25457519 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-efbbdb66-79d6-4740-bfcd-79de014da3d3,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250223-080500-001-000-35,O-20250223-080500-001-000-37,SELL,FLAT,0.000,9.251,1740297900000000000,2025-02-23 08:05:00+00:00,1740306960000000000,2025-02-23 10:36:00+00:00,9060000000000,96405.55891254998,96109.2,['1024.80251444 USDT'],0.00307,1716.81378556 USDT,True
