total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
100000.00000000,2142.93444175,97857.06555825,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '2142.93444175', 'maintenance': '0.00000000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99657.13084400,1071.46611250,98585.66473150,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1071.46611250', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99657.13084400,1071.46611250,98585.66473150,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1071.46611250', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99657.13084400,1071.46611250,98585.66473150,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1071.46611250', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96998.68152472,0.00000000,96998.68152472,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
96998.68152472,0.00000000,96998.68152472,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
96998.68152472,1321.51334400,95677.16818072,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '1321.51334400', 'maintenance': '0.00000000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96787.23960712,660.75599250,96126.48361462,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '660.75599250', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96787.23960712,660.75599250,96126.48361462,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '660.75599250', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96787.23960712,660.75599250,96126.48361462,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '660.75599250', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
94087.56979912,0.00000000,94087.56979912,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
94087.56979912,0.00000000,94087.56979912,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
94087.56979912,727.60152000,93359.96827912,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '727.60152000', 'maintenance': '0.00000000', 'currency': 'USDT', 'instrument_id': 'SOLUSDT-PERP.BINANCE'}]",False,{}
94087.56979912,727.60152000,93359.96827912,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '727.60152000', 'maintenance': '0.00000000', 'currency': 'USDT', 'instrument_id': 'SOLUSDT-PERP.BINANCE'}]",False,{}
94087.56979912,727.60152000,93359.96827912,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '727.60152000', 'maintenance': '0.00000000', 'currency': 'USDT', 'instrument_id': 'SOLUSDT-PERP.BINANCE'}]",False,{}
94087.56979912,0.00000000,94087.56979912,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
