trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-001,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-9393a641e1bc248b-27520,MARKET,SELL,1962809,GTC,False,False,1962809,TAKER,0.5007067663231624,0.0,['786.23339784 USDT'],NO_TRIGGER,FILLED,OTO,OL-20230412-170300-001-000-1,"['O-20230412-170300-001-000-2', 'O-20230412-170300-001-000-3']",,,,,['ENTRY'],4e21e79b-b0ec-4152-86ce-ccd2f04c41cc,2023-04-12 17:03:00+00:00,2023-04-12 17:03:00+00:00,,,,,,,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-002,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-29026da5858730f1-27525,STOP_MARKET,BUY,1962809,GTC,True,False,1962809,TAKER,0.5017958488064809,0.00019584880648082503,['787.94352656 USDT'],NO_TRIGGER,FILLED,OUO,OL-20230412-170300-001-000-1,['O-20230412-170300-001-000-3'],O-20230412-170300-001-000-1,,,,['STOP_LOSS'],b188d361-c39d-4067-af07-8e61a7bdd13b,2023-04-12 17:03:00+00:00,2023-04-12 17:04:00+00:00,0.5016,DEFAULT,,,,,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-004,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-de90fcbb786427b5-34216,LIMIT,BUY,942595,GTD,False,False,942595,MAKER,0.5182,9.999999999998899e-05,['195.38109160 USDT'],NO_TRIGGER,FILLED,OTO,OL-20230414-023800-001-000-2,"['O-20230414-023800-001-000-5', 'O-20230414-023800-001-000-6']",,,,,['ENTRY'],48a8d649-e739-4611-9fe8-4552c94ceeef,2023-04-14 02:38:00+00:00,2023-04-14 02:47:00+00:00,,,1.681443480000001e+18,,0.5181,True,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-006,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-2d13808f95546773-34861,LIMIT,SELL,942595,GTC,True,False,942595,MAKER,0.5283,9.999999999998899e-05,['199.18917540 USDT'],NO_TRIGGER,FILLED,OUO,OL-20230414-023800-001-000-2,['O-20230414-023800-001-000-5'],O-20230414-023800-001-000-4,,,,['TAKE_PROFIT'],505c49b1-5723-4fdc-a03d-536ea1c9f8df,2023-04-14 02:38:00+00:00,2023-04-14 05:56:00+00:00,,,,,0.5284,True,
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-001,ETHUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-7dc5971190a1a15c-37744,MARKET,BUY,431.794,GTC,False,False,431.794,TAKER,2111.01,0.0,['729.21716155 USDT'],NO_TRIGGER,FILLED,OTO,OL-20230414-071300-001-000-3,"['O-20230414-071300-001-000-8', 'O-20230414-071300-001-000-9']",,,,,['ENTRY'],63173f37-1f08-43ec-9ad1-84253f092896,2023-04-14 07:13:00+00:00,2023-04-14 07:13:00+00:00,,,,,,,
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-002,ETHUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-7c3cb7f5bf83b43e-37834,STOP_MARKET,SELL,431.794,GTC,True,False,431.794,TAKER,2107.04,0.010000000000218279,['727.84578381 USDT'],NO_TRIGGER,FILLED,OUO,OL-20230414-071300-001-000-3,['O-20230414-071300-001-000-9'],O-20230414-071300-001-000-7,,,,['STOP_LOSS'],cb855ad2-8284-47f2-b7ec-4211ace9411b,2023-04-14 07:13:00+00:00,2023-04-14 07:38:00+00:00,2107.05,DEFAULT,,,,,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-007,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-992d4ef8ba374c87-37593,MARKET,BUY,1294051,GTC,False,False,1294051,TAKER,0.5198900890304942,0.0,['538.21143168 USDT'],NO_TRIGGER,FILLED,OTO,OL-20230414-184900-001-000-4,"['O-20230414-184900-001-000-11', 'O-20230414-184900-001-000-12']",,,,,['ENTRY'],951f23b9-6541-4600-8ae6-f0dde97f4be1,2023-04-14 18:49:00+00:00,2023-04-14 18:49:00+00:00,,,,,,,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-009,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-f5158859adb18306-37954,LIMIT,SELL,1294051,GTC,True,False,1294051,MAKER,0.524,9.999999999998899e-05,['271.23308960 USDT'],NO_TRIGGER,FILLED,OUO,OL-20230414-184900-001-000-4,['O-20230414-184900-001-000-11'],O-20230414-184900-001-000-10,,,,['TAKE_PROFIT'],b04523ce-320c-47db-839a-3160d2674d9a,2023-04-14 18:49:00+00:00,2023-04-14 20:32:00+00:00,,,,,0.5241,True,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-001,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-ac66f1855a1cc376-47056,MARKET,SELL,34836.1,GTC,False,False,34836.1,TAKER,24.117076957523945,0.0,['672.11592368 USDT'],NO_TRIGGER,FILLED,OTO,OL-20230416-010000-001-000-5,"['O-20230416-010000-001-000-14', 'O-20230416-010000-001-000-15']",,,,,['ENTRY'],91b1cb9b-d7f2-478f-ae24-243234af8a84,2023-04-16 01:00:00+00:00,2023-04-16 01:00:00+00:00,,,,,,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-002,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-310fb1b0f682ddd7-47175,STOP_MARKET,BUY,34836.1,GTC,True,False,34836.1,TAKER,24.173801349749255,0.0018013497492539443,['673.69676896 USDT'],NO_TRIGGER,FILLED,OUO,OL-20230416-010000-001-000-5,['O-20230416-010000-001-000-15'],O-20230416-010000-001-000-13,,,,['STOP_LOSS'],cde2f120-3602-4a2b-9575-51f6bea4ad2d,2023-04-16 01:00:00+00:00,2023-04-16 01:33:00+00:00,24.172,DEFAULT,,,,,
