trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20251201-190200-001-000-1,O-20251201-190200-001-000-2,SELL,FLAT,0,257512,1764615720000000000,2025-12-01 19:02:00+00:00,1764619560000000000,2025-12-01 20:06:00+00:00,3840000000000,1.999652048836559,2.0083,['825.67659840 USDT'],-0.00432,-3052.62779840 USDT,True
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20251201-205000-001-000-4,O-20251201-205000-001-000-5,SELL,FLAT,0.000,230.916,1764622200000000000,2025-12-01 20:50:00+00:00,1764622740000000000,2025-12-01 20:59:00+00:00,540000000000,2751.197383810563,2759.41,['1017.98993171 USDT'],-0.00299,-2914.41441171 USDT,True
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20251202-181500-001-000-7,O-20251202-181500-001-000-8,BUY,FLAT,0,237886,1764699300000000000,2025-12-02 18:15:00+00:00,1764706740000000000,2025-12-02 20:19:00+00:00,7440000000000,2.1724554849802007,2.1638,['825.22757784 USDT'],-0.00398,-2884.24627784 USDT,True
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20251204-142700-001-000-10,O-20251204-142700-001-000-11,BUY,FLAT,0.000,214.002,1764858420000000000,2025-12-04 14:27:00+00:00,1764858660000000000,2025-12-04 14:31:00+00:00,240000000000,3182.75,3175.04,['1088.46382046 USDT'],-0.00242,-2738.41924046 USDT,True
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20251204-200400-001-000-13,O-20251204-200400-001-000-14,SELL,FLAT,0,283796,1764878640000000000,2025-12-04 20:04:00+00:00,1764881460000000000,2025-12-04 20:51:00+00:00,2820000000000,2.097138914924805,2.1034230249897816,['953.68214104 USDT'],-0.003,-2737.08744104 USDT,True
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20251205-044300-001-000-16,O-20251205-044300-001-000-17,SELL,FLAT,0.000,288.430,1764909780000000000,2025-12-05 04:43:00+00:00,1764910380000000000,2025-12-05 04:53:00+00:00,600000000000,3155.51,3159.39,['1457.12528560 USDT'],-0.00123,-2576.23368560 USDT,True
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20251205-143700-001-000-19,O-20251205-143700-001-000-20,SELL,FLAT,0.000,129.254,1764945420000000000,2025-12-05 14:37:00+00:00,1764946980000000000,2025-12-05 15:03:00+00:00,1560000000000,3101.79,3116.12,['642.95179131 USDT'],-0.00462,-2495.16161131 USDT,False
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20251205-203100-001-000-22,O-20251205-203100-001-000-23,SELL,FLAT,0,207628,1764966660000000000,2025-12-05 20:31:00+00:00,1764977820000000000,2025-12-05 23:37:00+00:00,11160000000000,2.027433651530622,2.03617411379968,['674.97500248 USDT'],-0.00431,-2489.73970248 USDT,True
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-001,O-20251206-020600-001-000-25,O-20251206-020600-001-000-26,SELL,FLAT,0.0,4101.0,1764986760000000000,2025-12-06 02:06:00+00:00,1764988620000000000,2025-12-06 02:37:00+00:00,1860000000000,132.819,133.18048044379418,['872.69109544 USDT'],-0.00272,-2355.12239544 USDT,False
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20251206-085700-001-000-28,O-20251206-085700-001-000-29,SELL,FLAT,0,411499,1765011780000000000,2025-12-06 09:03:00+00:00,1765012320000000000,2025-12-06 09:12:00+00:00,540000000000,2.021088748453824,2.024345419794459,['999.08329228 USDT'],-0.00161,-2339.20029228 USDT,True
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20251206-100000-001-000-31,O-20251206-100000-001-000-32,SELL,FLAT,0,370458,1765015200000000000,2025-12-06 10:00:00+00:00,1765016520000000000,2025-12-06 10:22:00+00:00,1320000000000,2.024510581766354,2.0275858696532403,['1200.90523776 USDT'],-0.00152,-2340.17023776 USDT,False
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20251207-040500-001-000-34,O-20251207-040500-001-000-35,BUY,FLAT,0.000,12.304,1765080720000000000,2025-12-07 04:12:00+00:00,1765081800000000000,2025-12-07 04:30:00+00:00,1080000000000,89642.38055916775,89576.32929128739,['1322.90166464 USDT'],-0.00074,-2135.59646464 USDT,False
