trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20221010-150500-001-000-1,O-20221010-150500-001-000-2,SELL,FLAT,0.000,45.929,1665414300000000000,2022-10-10 15:05:00+00:00,1665414480000000000,2022-10-10 15:08:00+00:00,180000000000,19226.9,19261.6,['1414.19065320 USDT'],-0.0018,-3007.92695320 USDT,True
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20221011-053200-001-000-4,O-20221011-053200-001-000-5,SELL,FLAT,0.000,693.865,1665466320000000000,2022-10-11 05:32:00+00:00,1665469860000000000,2022-10-11 06:31:00+00:00,3540000000000,1274.8193227645145,1276.9906863294734,['1416.48932157 USDT'],-0.0017,-2923.12250157 USDT,True
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-001,O-20221011-094700-001-000-7,O-20221011-094700-001-000-8,SELL,FLAT,0.0,23054.2,1665481620000000000,2022-10-11 09:47:00+00:00,1665481980000000000,2022-10-11 09:53:00+00:00,360000000000,31.26808005048972,31.3439174120117,['1154.77560952 USDT'],-0.00243,-2903.14530952 USDT,True
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20221011-160400-001-000-10,O-20221011-160400-001-000-11,SELL,FLAT,0,1109395,1665504240000000000,2022-10-11 16:04:00+00:00,1665504840000000000,2022-10-11 16:14:00+00:00,600000000000,0.4957,0.4976037223892301,['881.57294648 USDT'],-0.00384,-2993.55304648 USDT,True
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20221011-204700-001-000-13,O-20221011-204700-001-000-15,SELL,FLAT,0,852331,1665521220000000000,2022-10-11 20:47:00+00:00,1665531120000000000,2022-10-11 23:32:00+00:00,9900000000000,0.4934,0.4836,['501.30700096 USDT'],0.01986,7851.53679904 USDT,True
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-001,O-20221012-033200-001-000-16,O-20221012-033200-001-000-17,SELL,FLAT,0.0,31459.2,1665545520000000000,2022-10-12 03:32:00+00:00,1665546960000000000,2022-10-12 03:56:00+00:00,1440000000000,30.908029679712133,30.953969223629336,['1556.90319672 USDT'],-0.00149,-3002.12449672 USDT,True
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20221013-054800-001-000-19,O-20221013-054800-001-000-21,SELL,FLAT,0.000,70.883,1665640080000000000,2022-10-13 05:48:00+00:00,1665644820000000000,2022-10-13 07:07:00+00:00,4740000000000,19090.450076887264,19010.1,['1621.54786556 USDT'],0.00421,4073.90663444 USDT,True
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20221014-003200-001-000-22,O-20221014-003200-001-000-23,SELL,FLAT,0,1514497,1665707520000000000,2022-10-14 00:32:00+00:00,1665707700000000000,2022-10-14 00:35:00+00:00,180000000000,0.4803183341399818,0.48186882667974906,['1165.78365480 USDT'],-0.00323,-3513.99995480 USDT,True
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20221014-054700-001-000-25,O-20221014-054700-001-000-26,BUY,FLAT,0,1601027,1665726420000000000,2022-10-14 05:47:00+00:00,1665727140000000000,2022-10-14 05:59:00+00:00,720000000000,0.49927807551028186,0.49793746101720965,['1277.25519904 USDT'],-0.00269,-3423.61519904 USDT,True
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20221014-120300-001-000-28,O-20221014-120300-001-000-29,BUY,FLAT,0.000,694.858,1665748980000000000,2022-10-14 12:03:00+00:00,1665749760000000000,2022-10-14 12:16:00+00:00,780000000000,1327.26,1325.47,['1474.61652987 USDT'],-0.00135,-2718.41234987 USDT,True
