end_time_ns,entry_kind,legs,native_account_pnl,native_equity_after,native_equity_before,return,scenario_id,scenario_kind,signal_time_ns
1704736200011000000,REVERSAL,[],0.0,100000.0,100000.0,0.0,NT-LVCFR-V23-OI_EXPANSION_BASIS_DISLOCATION_REVERSAL-cb856b49eeef824e,OI_EXPANSION_BASIS_DISLOCATION_REVERSAL,1704736200000000000
1704741168932000000,REVERSAL,"[{""break_even_price"": 46664.41964247653, ""direction"": ""SHORT"", ""duration_ns"": 1068910000000, ""entry_price"": 46711.10740600077, ""entry_time_ns"": 1704740100022000000, ""exit_price"": 47279.18655526016, ""exit_reason"": ""INITIAL_STOP"", ""exit_time_ns"": 1704741168932000000, ""kind"": ""REVERSAL"", ""mfe_net_r"": -0.10884246738940444, ""native_account_pnl"": -3238.981243999995, ""native_equity_after"": 96761.018756, ""native_equity_before"": 100000.0, ""net_r"": -1.079660414666665, ""planned_loss"": 3000.0, ""protection_active"": false, ""quantity"": 5.266, ""realized_pnl_event"": ""-3238.98124400 USDT"", ""realized_return_event"": -0.012161543170488268, ""scenario_id"": ""NT-LVCFR-V23-OI_EXPANSION_BASIS_DISLOCATION_REVERSAL-38da263060157815"", ""settled_funding_cost_per_unit_estimate"": 0.0, ""structural_protection_active"": false, ""structural_protection_stop"": null, ""structural_protection_trigger"": null, ""structural_trail_updates"": 0, ""target_mode"": ""STRUCTURAL_LIQUIDITY_OBJECTIVE"", ""target_price"": 46708.03177601561}]",-3238.981243999995,96761.018756,100000.0,-0.03238981243999994,NT-LVCFR-V23-OI_EXPANSION_BASIS_DISLOCATION_REVERSAL-38da263060157815,OI_EXPANSION_BASIS_DISLOCATION_REVERSAL,1704740100000000000
1704787500024000000,REVERSAL,[],0.0,96761.018756,96761.018756,0.0,NT-LVCFR-V23-OI_EXPANSION_BASIS_DISLOCATION_REVERSAL-57a0b4c765272387,OI_EXPANSION_BASIS_DISLOCATION_REVERSAL,1704787500000000000
1704869100216000000,REVERSAL,[],0.0,96761.018756,96761.018756,0.0,NT-LVCFR-V23-OI_EXPANSION_BASIS_DISLOCATION_REVERSAL-842e3cecdc3b0de4,OI_EXPANSION_BASIS_DISLOCATION_REVERSAL,1704869100000000000
1704902700014000000,REVERSAL,[],0.0,96761.018756,96761.018756,0.0,NT-LVCFR-V23-OI_CONTRACTION_BASIS_DISLOCATION_REVERSAL-5fd399c7152f686b,OI_CONTRACTION_BASIS_DISLOCATION_REVERSAL,1704902700000000000
1704942000160000000,REVERSAL,[],0.0,96761.018756,96761.018756,0.0,NT-LVCFR-V23-OI_CONTRACTION_BASIS_DISLOCATION_REVERSAL-d58f69dcebe2ef38,OI_CONTRACTION_BASIS_DISLOCATION_REVERSAL,1704942000000000000
1704989401390000000,REVERSAL,"[{""break_even_price"": 46265.51178862427, ""direction"": ""SHORT"", ""duration_ns"": 1367000000, ""entry_price"": 46311.80044474095, ""entry_time_ns"": 1704989400023000000, ""exit_price"": 46295.29868801423, ""exit_reason"": ""STRUCTURAL_TARGET"", ""exit_time_ns"": 1704989401390000000, ""kind"": ""REVERSAL"", ""mfe_net_r"": -0.04601619202962255, ""native_account_pnl"": -134.01866240000527, ""native_equity_after"": 96627.0000936, ""native_equity_before"": 96761.018756, ""net_r"": -0.04616826904160548, ""planned_loss"": 2902.83056268, ""protection_active"": false, ""quantity"": 4.497, ""realized_pnl_event"": ""-134.01866240 USDT"", ""realized_return_event"": 0.0003563186178954609, ""scenario_id"": ""NT-LVCFR-V23-OI_EXPANSION_BASIS_DISLOCATION_REVERSAL-c3faced49bf8bf91"", ""settled_funding_cost_per_unit_estimate"": 0.0, ""structural_protection_active"": false, ""structural_protection_stop"": null, ""structural_protection_trigger"": null, ""structural_trail_updates"": 0, ""target_mode"": ""STRUCTURAL_LIQUIDITY_OBJECTIVE"", ""target_price"": 46303.60924927999}]",-134.01866240000527,96627.0000936,96761.018756,-0.0013850480712481739,NT-LVCFR-V23-OI_EXPANSION_BASIS_DISLOCATION_REVERSAL-c3faced49bf8bf91,OI_EXPANSION_BASIS_DISLOCATION_REVERSAL,1704989400000000000
1705047068932000000,REVERSAL,"[{""break_even_price"": 46055.730712239, ""direction"": ""LONG"", ""duration_ns"": 668871000000, ""entry_price"": 46009.69799788394, ""entry_time_ns"": 1705046400061000000, ""exit_price"": 45817.00267762676, ""exit_reason"": ""INITIAL_STOP"", ""exit_time_ns"": 1705047068932000000, ""kind"": ""REVERSAL"", ""mfe_net_r"": -0.24585378578192113, ""native_account_pnl"": -2931.7847355999984, ""native_equity_after"": 93695.215358, ""native_equity_before"": 96627.0000936, ""net_r"": -1.0113752652847399, ""planned_loss"": 2898.810002808, ""protection_active"": false, ""quantity"": 12.287, ""realized_pnl_event"": ""-2931.78473560 USDT"", ""realized_return_event"": -0.00418814573105951, ""scenario_id"": ""NT-LVCFR-V23-OI_EXPANSION_BASIS_DISLOCATION_REVERSAL-81dc567d18b4dada"", ""settled_funding_cost_per_unit_estimate"": 0.0, ""structural_protection_active"": false, ""structural_protection_stop"": null, ""structural_protection_trigger"": null, ""structural_trail_updates"": 0, ""target_mode"": ""STRUCTURAL_LIQUIDITY_OBJECTIVE"", ""target_price"": 46012.916201547785}]",-2931.7847355999984,93695.215358,96627.0000936,-0.030341257958542145,NT-LVCFR-V23-OI_EXPANSION_BASIS_DISLOCATION_REVERSAL-81dc567d18b4dada,OI_EXPANSION_BASIS_DISLOCATION_REVERSAL,1705046400000000000
1705054260398000000,REVERSAL,"[{""break_even_price"": 45885.192135409525, ""direction"": ""SHORT"", ""duration_ns"": 659962000000, ""entry_price"": 45931.10028161803, ""entry_time_ns"": 1705053600436000000, ""exit_price"": 45928.59886499403, ""exit_reason"": ""STRUCTURAL_TARGET"", ""exit_time_ns"": 1705054260398000000, ""kind"": ""REVERSAL"", ""mfe_net_r"": -0.1806361296849167, ""native_account_pnl"": -508.89437730000645, ""native_equity_after"": 93186.3209807, ""native_equity_before"": 93695.215358, ""net_r"": -0.18104602081531848, ""planned_loss"": 2810.85646074, ""protection_active"": false, ""quantity"": 11.718, ""realized_pnl_event"": ""-508.89437730 USDT"", ""realized_return_event"": 5.446019382662583e-05, ""scenario_id"": ""NT-LVCFR-V23-OI_CONTRACTION_BASIS_DISLOCATION_REVERSAL-dd0b43e8227734a2"", ""settled_funding_cost_per_unit_estimate"": 0.0, ""structural_protection_active"": false, ""structural_protection_stop"": null, ""structural_protection_trigger"": null, ""structural_trail_updates"": 0, ""target_mode"": ""STRUCTURAL_LIQUIDITY_OBJECTIVE"", ""target_price"": 45929.222554244596}]",-508.89437730000645,93186.3209807,93695.215358,-0.005431380624459581,NT-LVCFR-V23-OI_CONTRACTION_BASIS_DISLOCATION_REVERSAL-dd0b43e8227734a2,OI_CONTRACTION_BASIS_DISLOCATION_REVERSAL,1705053600000000000
1705160100010000000,REVERSAL,[],0.0,93186.3209807,93186.3209807,0.0,NT-LVCFR-V23-OI_EXPANSION_BASIS_DISLOCATION_REVERSAL-85597b2d7cf52392,OI_EXPANSION_BASIS_DISLOCATION_REVERSAL,1705160100000000000
