client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,account_id,trade_id,order_side,order_type,last_qty,last_px,currency,liquidity_side,event_id,ts_event,ts_init,reconciliation,info,position_id,commission,causation_id
O-20240409-073610-001-140735318287112-1,TRADER-001,DataActor-140735318287112,BTCUSDT-PERP.BINANCE,BINANCE-1-1,BINANCE-001,T-a4b99fb7036ccf26-32316,SELL,MARKET,4.704,70534.8,USDT,TAKER,c224ceb9-4030-4bfa-b39a-3b4abc62ecaa,2024-04-09 07:36:10+00:00,2024-04-09 07:36:10+00:00,False,{},P-20240409-073610-001-140735318287112-1,199.07741952 USDT,
O-20240409-073610-001-140735318287112-4,TRADER-001,DataActor-140735318287112,BTCUSDT-PERP.BINANCE,BINANCE-1-4,BINANCE-001,T-a4b99fb7036ccf26-32317,BUY,MARKET,4.704,70535.2,USDT,TAKER,a540ca77-7f11-454c-955b-f27d185ed7c6,2024-04-09 07:36:10+00:00,2024-04-09 07:36:10+00:00,False,{},P-20240409-073610-001-140735318287112-1,199.07854848 USDT,
O-20240410-020220-001-140735318287112-5,TRADER-001,DataActor-140735318287112,BTCUSDT-PERP.BINANCE,BINANCE-1-5,BINANCE-001,T-8db9894947ac5fc7-51275,BUY,MARKET,2.770,69558.2,USDT,TAKER,0e88a30e-e418-4898-9262-f9fb5c9c393d,2024-04-10 02:02:20+00:00,2024-04-10 02:02:20+00:00,False,{},P-20240410-020220-001-140735318287112-2,115.60572840 USDT,
O-20240410-020220-001-140735318287112-8,TRADER-001,DataActor-140735318287112,BTCUSDT-PERP.BINANCE,BINANCE-1-8,BINANCE-001,T-8db9894947ac5fc7-51276,SELL,MARKET,2.770,69557.8,USDT,TAKER,3884f7e3-c46f-43eb-ac21-a25706a536c6,2024-04-10 02:02:20+00:00,2024-04-10 02:02:20+00:00,False,{},P-20240410-020220-001-140735318287112-2,115.60506360 USDT,
O-20240413-013400-001-140735318287112-12,TRADER-001,DataActor-140735318287112,BTCUSDT-PERP.BINANCE,BINANCE-1-12,BINANCE-001,T-1a23543394d12626-123323,BUY,MARKET,4.245,66169.5,USDT,TAKER,625947d3-6da8-4f68-b20f-652a72f624f6,2024-04-13 01:34:00+00:00,2024-04-13 01:34:00+00:00,False,{},P-20240413-013400-001-140735318287112-3,168.53371650 USDT,
O-20240413-013400-001-140735318287112-9,TRADER-001,DataActor-140735318287112,BTCUSDT-PERP.BINANCE,BINANCE-1-9,BINANCE-001,T-1a23543394d12626-123322,SELL,MARKET,4.245,66169.1,USDT,TAKER,d2622b73-f791-46cf-abd3-db0bb87dee79,2024-04-13 01:34:00+00:00,2024-04-13 01:34:00+00:00,False,{},P-20240413-013400-001-140735318287112-3,168.53269770 USDT,
O-20240414-053640-001-140735318287112-13,TRADER-001,DataActor-140735318287112,BTCUSDT-PERP.BINANCE,BINANCE-1-13,BINANCE-001,T-355381d9e580a031-153650,BUY,MARKET,5.055,64430.2,USDT,TAKER,d3e5faec-37ee-4e60-b544-5748555d309c,2024-04-14 05:36:40+00:00,2024-04-14 05:36:40+00:00,False,{},P-20240414-053640-001-140735318287112-4,195.41679660 USDT,
O-20240414-053640-001-140735318287112-16,TRADER-001,DataActor-140735318287112,BTCUSDT-PERP.BINANCE,BINANCE-1-16,BINANCE-001,T-355381d9e580a031-153651,SELL,MARKET,5.055,64429.8,USDT,TAKER,7037415c-b322-4e2f-8849-6d89fafb0423,2024-04-14 05:36:40+00:00,2024-04-14 05:36:40+00:00,False,{},P-20240414-053640-001-140735318287112-4,195.41558340 USDT,
O-20240414-172030-001-140735318287112-17,TRADER-001,DataActor-140735318287112,BTCUSDT-PERP.BINANCE,BINANCE-1-17,BINANCE-001,T-c4a2a35cc0b36432-166331,SELL,MARKET,5.008,63269.9,USDT,TAKER,394cb6cf-67c8-481a-80ac-0d511ebfc850,2024-04-14 17:20:30+00:00,2024-04-14 17:20:30+00:00,False,{},P-20240414-172030-001-140735318287112-5,190.11339552 USDT,
O-20240414-172030-001-140735318287112-20,TRADER-001,DataActor-140735318287112,BTCUSDT-PERP.BINANCE,BINANCE-1-20,BINANCE-001,T-c4a2a35cc0b36432-166332,BUY,MARKET,5.008,63270.3,USDT,TAKER,0c1a175e-e02a-409a-a618-d24ba30a4e1a,2024-04-14 17:20:30+00:00,2024-04-14 17:20:30+00:00,False,{},P-20240414-172030-001-140735318287112-5,190.11459744 USDT,
