client_order_id,trader_id,strategy_id,instrument_id,side,type,quantity,status,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,init_id,ts_init,ts_last,commissions,venue_order_id,emulation_trigger,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,account_id,slippage,position_id,liquidity_side,last_trade_id,avg_px,trigger_price,trigger_type,expire_time_ns,display_qty,trigger_instrument_id,price,is_post_only
O-20240409-073610-001-140721678948536-1,TRADER-001,DataActor-140721678948536,BTCUSDT-PERP.BINANCE,SELL,MARKET,4.704,FILLED,GTC,False,False,4.704,db7bb00d-9474-4d6e-be22-2b23bcd008e2,1712648170000000000,1712648170000000000,['199.07741952 USDT'],BINANCE-1-1,NO_TRIGGER,OTO,OL-20240409-073610-001-140721678948536-1,"['O-20240409-073610-001-140721678948536-2', 'O-20240409-073610-001-140721678948536-3']",,,,,"['delayed-reaccept-btcusdt-000009', 'BREAKOUT_ACCEPTANCE_CONTINUATION', 'SHORT', 'TEN_SECOND_MARKET_ENTRY']",BINANCE-001,,P-20240409-073610-001-140721678948536-1,TAKER,T-a4b99fb7036ccf26-32316,70534.8,,,,,,,
O-20240409-073610-001-140721678948536-2,TRADER-001,DataActor-140721678948536,BTCUSDT-PERP.BINANCE,BUY,STOP_MARKET,4.704,CANCELED,GTC,True,False,0.000,0f026b44-1e8d-48b5-904c-f9216962e19c,1712648170000000000,1712648170000000000,,BINANCE-1-2,NO_TRIGGER,OUO,OL-20240409-073610-001-140721678948536-1,['O-20240409-073610-001-140721678948536-3'],O-20240409-073610-001-140721678948536-1,,,,"['delayed-reaccept-btcusdt-000009', 'OBSERVED_RETEST_INVALIDATION']",BINANCE-001,,P-20240409-073610-001-140721678948536-1,NO_LIQUIDITY_SIDE,,,70993.4,DEFAULT,,,,,
O-20240409-073610-001-140721678948536-3,TRADER-001,DataActor-140721678948536,BTCUSDT-PERP.BINANCE,BUY,LIMIT,4.704,CANCELED,GTC,True,False,0.000,7b00be6c-6eaa-4f14-9fa1-4b8daa11cd1f,1712648170000000000,1712648170000000000,,BINANCE-1-3,NO_TRIGGER,OUO,OL-20240409-073610-001-140721678948536-1,['O-20240409-073610-001-140721678948536-2'],O-20240409-073610-001-140721678948536-1,,,,"['delayed-reaccept-btcusdt-000009', 'ACTIVE_COMPLETED_EXTERNAL_TARGET']",BINANCE-001,,P-20240409-073610-001-140721678948536-1,MAKER,,,,,,,,69296.6,False
O-20240409-073620-001-140721678948536-4,TRADER-001,DataActor-140721678948536,BTCUSDT-PERP.BINANCE,BUY,MARKET,4.704,FILLED,GTC,True,False,4.704,21bde47a-0a6b-480d-89b6-7251d699099b,1712648180000000000,1712648180000000000,['199.00911744 USDT'],BINANCE-1-4,NO_TRIGGER,NO_CONTINGENCY,,,,,,,,BINANCE-001,,P-20240409-073610-001-140721678948536-1,TAKER,T-dc9239bc9ee68bcf-32321,70510.59999999999,,,,,,,
O-20240410-020220-001-140721678948536-5,TRADER-001,DataActor-140721678948536,BTCUSDT-PERP.BINANCE,BUY,MARKET,2.773,FILLED,GTC,False,False,2.773,6870db25-27c7-4a88-88af-38eae47085fb,1712714540000000000,1712714540000000000,['115.73093316 USDT'],BINANCE-1-5,NO_TRIGGER,OTO,OL-20240410-020220-001-140721678948536-2,"['O-20240410-020220-001-140721678948536-6', 'O-20240410-020220-001-140721678948536-7']",,,,,"['delayed-reaccept-btcusdt-000014', 'BREAKOUT_ACCEPTANCE_CONTINUATION', 'LONG', 'TEN_SECOND_MARKET_ENTRY']",BINANCE-001,,P-20240410-020220-001-140721678948536-2,TAKER,T-8db9894947ac5fc7-51275,69558.20000000001,,,,,,,
O-20240410-020220-001-140721678948536-6,TRADER-001,DataActor-140721678948536,BTCUSDT-PERP.BINANCE,SELL,STOP_MARKET,2.773,FILLED,GTC,True,False,2.773,818dbaff-2311-435f-890b-c89799dea7e1,1712714540000000000,1712717620000000000,['114.13634724 USDT'],BINANCE-1-6,NO_TRIGGER,OUO,OL-20240410-020220-001-140721678948536-2,['O-20240410-020220-001-140721678948536-7'],O-20240410-020220-001-140721678948536-5,,,,"['delayed-reaccept-btcusdt-000014', 'OBSERVED_RETEST_INVALIDATION']",BINANCE-001,38.29999999998836,P-20240410-020220-001-140721678948536-2,TAKER,T-e4424e1ff6ebe94e-52193,68599.8,68638.1,DEFAULT,,,,,
O-20240410-020220-001-140721678948536-7,TRADER-001,DataActor-140721678948536,BTCUSDT-PERP.BINANCE,SELL,LIMIT,2.773,CANCELED,GTC,True,False,0.000,d4d3185a-76c2-4b51-a1bb-42ca435e497b,1712714540000000000,1712717620000000000,,BINANCE-1-7,NO_TRIGGER,OUO,OL-20240410-020220-001-140721678948536-2,['O-20240410-020220-001-140721678948536-6'],O-20240410-020220-001-140721678948536-5,,,,"['delayed-reaccept-btcusdt-000014', 'ACTIVE_COMPLETED_EXTERNAL_TARGET']",BINANCE-001,,P-20240410-020220-001-140721678948536-2,MAKER,,,,,,,,71048.3,False
O-20240413-013400-001-140721678948536-10,TRADER-001,DataActor-140721678948536,BTCUSDT-PERP.BINANCE,BUY,LIMIT,4.136,CANCELED,GTC,True,False,0.000,1fcf05c6-882a-4df0-8e02-d2081bb24017,1712972040000000000,1712977410000000000,,BINANCE-1-10,NO_TRIGGER,OUO,OL-20240413-013400-001-140721678948536-3,['O-20240413-013400-001-140721678948536-9'],O-20240413-013400-001-140721678948536-8,,,,"['delayed-reaccept-btcusdt-000034', 'ACTIVE_COMPLETED_EXTERNAL_TARGET']",BINANCE-001,,P-20240413-013400-001-140721678948536-3,MAKER,,,,,,,,65102.0,False
O-20240413-013400-001-140721678948536-8,TRADER-001,DataActor-140721678948536,BTCUSDT-PERP.BINANCE,SELL,MARKET,4.136,FILLED,GTC,False,False,4.136,4994cf14-818c-4f61-8c92-b3d51ecb8cdc,1712972040000000000,1712972040000000000,['164.20523856 USDT'],BINANCE-1-8,NO_TRIGGER,OTO,OL-20240413-013400-001-140721678948536-3,"['O-20240413-013400-001-140721678948536-9', 'O-20240413-013400-001-140721678948536-10']",,,,,"['delayed-reaccept-btcusdt-000034', 'BREAKOUT_ACCEPTANCE_CONTINUATION', 'SHORT', 'TEN_SECOND_MARKET_ENTRY']",BINANCE-001,,P-20240413-013400-001-140721678948536-3,TAKER,T-1a23543394d12626-123322,66169.1,,,,,,,
O-20240413-013400-001-140721678948536-9,TRADER-001,DataActor-140721678948536,BTCUSDT-PERP.BINANCE,BUY,STOP_MARKET,4.136,FILLED,GTC,True,False,4.136,76308e16-bc95-4d3b-9a0d-0f6af416ad6e,1712972040000000000,1712977410000000000,['165.64009968 USDT'],BINANCE-1-9,NO_TRIGGER,OUO,OL-20240413-013400-001-140721678948536-3,['O-20240413-013400-001-140721678948536-10'],O-20240413-013400-001-140721678948536-8,,,,"['delayed-reaccept-btcusdt-000034', 'OBSERVED_RETEST_INVALIDATION']",BINANCE-001,42.5,P-20240413-013400-001-140721678948536-3,TAKER,T-aedbcbaf6beabc11-125000,66747.3,66704.8,DEFAULT,,,,,
