client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,account_id,trade_id,order_side,order_type,last_qty,last_px,currency,liquidity_side,event_id,ts_event,ts_init,reconciliation,info,position_id,commission,causation_id
O-20231015-132900-001-140733232651416-1,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-1,BINANCE-001,T-2cb25fc753d00e40-10615,SELL,MARKET,35.848,26922.6,USDT,TAKER,cca3f8b3-f039-42d6-95a0-68533d030064,2023-10-15 13:29:00.000000001+00:00,2023-10-15 13:29:00.000000001+00:00,False,{},P-20231015-132900-001-140733232651416-1,579.07281888 USDT,
O-20231015-132910-001-140733232651416-4,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-4,BINANCE-001,T-dd43b5ad603ac478-10618,BUY,MARKET,35.848,26920.3,USDT,TAKER,1245c21d-1a5b-4e07-9baa-b70cc5eef14e,2023-10-15 13:29:10+00:00,2023-10-15 13:29:10+00:00,False,{},P-20231015-132900-001-140733232651416-1,579.02334864 USDT,
O-20231015-172230-001-140733232651416-5,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-5,BINANCE-001,T-8ebab58eed7f5d44-13668,SELL,MARKET,51.387,26949.2,USDT,TAKER,239ecdd8-1a1a-4ba6-b3b4-25c309a6c623,2023-10-15 17:22:30.000000001+00:00,2023-10-15 17:22:30.000000001+00:00,False,{},P-20231015-172230-001-140733232651416-2,830.90312424 USDT,
O-20231015-172240-001-140733232651416-8,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-8,BINANCE-001,T-e028c8af74e946e3-13673,BUY,MARKET,51.387,26947.6,USDT,TAKER,ce56bfd7-793c-4bcd-88bb-e9f75662ecd5,2023-10-15 17:22:40+00:00,2023-10-15 17:22:40+00:00,False,{},P-20231015-172230-001-140733232651416-2,830.85379272 USDT,
O-20231015-172850-001-140733232651416-9,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-9,BINANCE-001,T-337c9c107d36fdab-13764,SELL,MARKET,40.291,26974.6,USDT,TAKER,e55dd349-a6e5-4037-834b-83fcdeffe963,2023-10-15 17:28:50.000000001+00:00,2023-10-15 17:28:50.000000001+00:00,False,{},P-20231015-172850-001-140733232651416-3,652.10016516 USDT,
O-20231015-172900-001-140733232651416-12,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-12,BINANCE-001,T-23017bb36ab199a5-13769,BUY,MARKET,40.291,26977.1,USDT,TAKER,a2db9df9-6ed9-4bda-84c9-2996ff727b56,2023-10-15 17:29:00+00:00,2023-10-15 17:29:00+00:00,False,{},P-20231015-172850-001-140733232651416-3,652.16060166 USDT,
O-20231017-005810-001-140733232651416-13,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-13,BINANCE-001,T-d01b12f6bbb163e7-43688,BUY,MARKET,30.164,28253.5,USDT,TAKER,3f80d351-0d79-4fc5-86f4-10fbd88f43d5,2023-10-17 00:58:10.000000001+00:00,2023-10-17 00:58:10.000000001+00:00,False,{},P-20231017-005810-001-140733232651416-4,511.34314440 USDT,
O-20231017-005820-001-140733232651416-16,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-16,BINANCE-001,T-0b302c152e491ed4-43691,SELL,MARKET,30.164,28252.5,USDT,TAKER,774d89fe-2edf-4087-aad0-22cc6c02d8f7,2023-10-17 00:58:20+00:00,2023-10-17 00:58:20+00:00,False,{},P-20231017-005810-001-140733232651416-4,511.32504600 USDT,
O-20231017-102000-001-140733232651416-17,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-17,BINANCE-001,T-46a1ef6030726d60-51795,SELL,MARKET,25.824,28520.8,USDT,TAKER,53135c98-2ece-466b-921c-c2f7a594bd3d,2023-10-17 10:20:00.000000001+00:00,2023-10-17 10:20:00.000000001+00:00,False,{},P-20231017-102000-001-140733232651416-5,441.91268352 USDT,
O-20231017-102010-001-140733232651416-20,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-20,BINANCE-001,T-faa6ae6c884bf0cf-51799,BUY,MARKET,25.824,28515.7,USDT,TAKER,9b41ddd2-45d7-42ed-a8e4-1dd717b83959,2023-10-17 10:20:10+00:00,2023-10-17 10:20:10+00:00,False,{},P-20231017-102000-001-140733232651416-5,441.83366208 USDT,
