client_order_id,trader_id,strategy_id,instrument_id,side,type,quantity,status,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,init_id,ts_init,ts_last,commissions,venue_order_id,emulation_trigger,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,account_id,slippage,position_id,liquidity_side,last_trade_id,avg_px,trigger_price,trigger_type,expire_time_ns,display_qty,trigger_instrument_id,price,is_post_only
O-20231015-132900-001-140733232651416-1,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,SELL,MARKET,35.848,FILLED,GTC,False,False,35.848,e8992bd8-c00f-4f43-b4e9-04ed7a38411f,1697376540000000001,1697376540000000001,['579.07281888 USDT'],BINANCE-1-1,NO_TRIGGER,OTO,OL-20231015-132900-001-140733232651416-1,"['O-20231015-132900-001-140733232651416-2', 'O-20231015-132900-001-140733232651416-3']",,,,,"['quote-resiliency-btcusdt-000008', 'QUOTE_REPLENISHED_FAILED_AUCTION_REVERSAL', 'SHORT', 'COMPLETED_TEN_SECOND_MARKET_ENTRY', 'QUOTE_RESILIENCY_NATIVE_EXECUTION_LABELS_V3_QUOTE_CALLBACK_EXACT_FILL']",BINANCE-001,,P-20231015-132900-001-140733232651416-1,TAKER,T-2cb25fc753d00e40-10615,26922.6,,,,,,,
O-20231015-132900-001-140733232651416-2,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BUY,STOP_MARKET,35.848,CANCELED,GTC,True,False,0.000,c194990a-2c5a-4886-bbe1-fe3f9dd0c560,1697376540000000001,1697376540000000001,,BINANCE-1-2,NO_TRIGGER,OUO,OL-20231015-132900-001-140733232651416-1,['O-20231015-132900-001-140733232651416-3'],O-20231015-132900-001-140733232651416-1,,,,"['quote-resiliency-btcusdt-000008', 'FULL_SWEEP_RESPONSE_EXTREME', 'STRUCTURAL_INVALIDATION']",BINANCE-001,,P-20231015-132900-001-140733232651416-1,NO_LIQUIDITY_SIDE,,,26958.5,DEFAULT,,,,,
O-20231015-132900-001-140733232651416-3,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BUY,LIMIT,35.848,CANCELED,GTC,True,False,0.000,d122a44f-0bca-4e5c-b70e-c06f59810fce,1697376540000000001,1697376540000000001,,BINANCE-1-3,NO_TRIGGER,OUO,OL-20231015-132900-001-140733232651416-1,['O-20231015-132900-001-140733232651416-2'],O-20231015-132900-001-140733232651416-1,,,,"['quote-resiliency-btcusdt-000008', 'ACTIVE_COMPLETED_EXTERNAL_TARGET', 'DAY']",BINANCE-001,,P-20231015-132900-001-140733232651416-1,MAKER,,,,,,,,26773.1,False
O-20231015-132910-001-140733232651416-4,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BUY,MARKET,35.848,FILLED,GTC,True,False,35.848,be465370-ec9b-430c-8549-317d3815f2ff,1697376550000000000,1697376550000000000,['579.02334864 USDT'],BINANCE-1-4,NO_TRIGGER,NO_CONTINGENCY,,,,,,,,BINANCE-001,,P-20231015-132900-001-140733232651416-1,TAKER,T-dd43b5ad603ac478-10618,26920.3,,,,,,,
O-20231015-172230-001-140733232651416-5,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,SELL,MARKET,51.387,FILLED,GTC,False,False,51.387,2819cb5f-cb34-4659-8a1f-271a45a92076,1697390550000000001,1697390550000000001,['830.90312424 USDT'],BINANCE-1-5,NO_TRIGGER,OTO,OL-20231015-172230-001-140733232651416-2,"['O-20231015-172230-001-140733232651416-6', 'O-20231015-172230-001-140733232651416-7']",,,,,"['quote-resiliency-btcusdt-000009', 'QUOTE_REPLENISHED_FAILED_AUCTION_REVERSAL', 'SHORT', 'COMPLETED_TEN_SECOND_MARKET_ENTRY', 'QUOTE_RESILIENCY_NATIVE_EXECUTION_LABELS_V3_QUOTE_CALLBACK_EXACT_FILL']",BINANCE-001,,P-20231015-172230-001-140733232651416-2,TAKER,T-8ebab58eed7f5d44-13668,26949.2,,,,,,,
O-20231015-172230-001-140733232651416-6,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BUY,STOP_MARKET,51.387,CANCELED,GTC,True,False,0.000,c1979995-b021-445e-8506-8ef77102ee18,1697390550000000001,1697390550000000001,,BINANCE-1-6,NO_TRIGGER,OUO,OL-20231015-172230-001-140733232651416-2,['O-20231015-172230-001-140733232651416-7'],O-20231015-172230-001-140733232651416-5,,,,"['quote-resiliency-btcusdt-000009', 'FULL_SWEEP_RESPONSE_EXTREME', 'STRUCTURAL_INVALIDATION']",BINANCE-001,,P-20231015-172230-001-140733232651416-2,NO_LIQUIDITY_SIDE,,,26968.1,DEFAULT,,,,,
O-20231015-172230-001-140733232651416-7,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BUY,LIMIT,51.387,CANCELED,GTC,True,False,0.000,543d0fd9-89d3-4957-82cd-3852210729d2,1697390550000000001,1697390550000000001,,BINANCE-1-7,NO_TRIGGER,OUO,OL-20231015-172230-001-140733232651416-2,['O-20231015-172230-001-140733232651416-6'],O-20231015-172230-001-140733232651416-5,,,,"['quote-resiliency-btcusdt-000009', 'ACTIVE_COMPLETED_EXTERNAL_TARGET', 'FOUR_HOUR']",BINANCE-001,,P-20231015-172230-001-140733232651416-2,MAKER,,,,,,,,26790.4,False
O-20231015-172240-001-140733232651416-8,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BUY,MARKET,51.387,FILLED,GTC,True,False,51.387,b35bf78e-b794-435e-8543-8141e500d177,1697390560000000000,1697390560000000000,['830.85379272 USDT'],BINANCE-1-8,NO_TRIGGER,NO_CONTINGENCY,,,,,,,,BINANCE-001,,P-20231015-172230-001-140733232651416-2,TAKER,T-e028c8af74e946e3-13673,26947.6,,,,,,,
O-20231015-172850-001-140733232651416-10,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BUY,STOP_MARKET,40.291,CANCELED,GTC,True,False,0.000,32c6b838-f5d7-45c0-a904-7c17eb0062ab,1697390930000000001,1697390930000000001,,BINANCE-1-10,NO_TRIGGER,OUO,OL-20231015-172850-001-140733232651416-3,['O-20231015-172850-001-140733232651416-11'],O-20231015-172850-001-140733232651416-9,,,,"['quote-resiliency-btcusdt-000010', 'FULL_SWEEP_RESPONSE_EXTREME', 'STRUCTURAL_INVALIDATION']",BINANCE-001,,P-20231015-172850-001-140733232651416-3,NO_LIQUIDITY_SIDE,,,27000.4,DEFAULT,,,,,
O-20231015-172850-001-140733232651416-11,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BUY,LIMIT,40.291,CANCELED,GTC,True,False,0.000,0dd86a61-73f5-4d1d-a9cb-1c6fd7427ee3,1697390930000000001,1697390930000000001,,BINANCE-1-11,NO_TRIGGER,OUO,OL-20231015-172850-001-140733232651416-3,['O-20231015-172850-001-140733232651416-10'],O-20231015-172850-001-140733232651416-9,,,,"['quote-resiliency-btcusdt-000010', 'ACTIVE_COMPLETED_EXTERNAL_TARGET', 'FOUR_HOUR']",BINANCE-001,,P-20231015-172850-001-140733232651416-3,MAKER,,,,,,,,26790.4,False
