position_id,type,events,adjustments,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,price_precision,size_precision,multiplier,is_inverse,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,realized_return,realized_pnl,venue_order_ids,trade_ids,buy_qty,sell_qty,commissions,is_snapshot
P-20260105-003500-001-140724825183112-1,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20260105-003500-001-140724825183112-1', 'venue_order_id': 'BINANCE-1-1', 'account_id': 'BINANCE-001', 'trade_id': 'T-d76359f754f6e8e7-1113', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '7.958', 'last_px': '91816.7', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': 'ec6b213a-6cfa-442d-88ec-1ec6263c9224', 'ts_event': 1767573300000000000, 'ts_init': 1767573300000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260105-003500-001-140724825183112-1', 'commission': '438.40637916 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20260105-003500-001-140724825183112-3', 'venue_order_id': 'BINANCE-1-3', 'account_id': 'BINANCE-001', 'trade_id': 'T-dd42571bdb0551e9-1694', 'order_side': 'SELL', 'order_type': 'LIMIT', 'last_qty': '7.958', 'last_px': '92799.7', 'currency': 'USDT', 'liquidity_side': 'MAKER', 'event_id': '4837c744-1cf5-4901-88c2-6218102a9b2d', 'ts_event': 1767575240000000000, 'ts_init': 1767575240000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260105-003500-001-140724825183112-1', 'commission': '443.10000756 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140724825183112,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20260105-003500-001-140724825183112-1,O-20260105-003500-001-140724825183112-3,BUY,FLAT,0.000,7.958,1,3,1,False,1767573300000000000,2026-01-05 00:35:00+00:00,1767575240000000000,2026-01-05 01:07:20+00:00,1940000000000,91816.7,92799.7,0.010706113375889136,6941.20761328 USDT,"['BINANCE-1-1', 'BINANCE-1-3']","['T-d76359f754f6e8e7-1113', 'T-dd42571bdb0551e9-1694']",7.958,7.958,['881.50638672 USDT'],False
P-20260105-083500-001-140724825183112-2,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'XRPUSDT-PERP.BINANCE', 'client_order_id': 'O-20260105-083500-001-140724825183112-4', 'venue_order_id': 'BINANCE-4-1', 'account_id': 'BINANCE-001', 'trade_id': 'T-656893744c7699b4-9036', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '608360.2', 'last_px': '2.1451', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '3d7b6a69-a65a-4316-8e49-924469f686d8', 'ts_event': 1767602100000000000, 'ts_init': 1767602100000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260105-083500-001-140724825183112-2', 'commission': '782.99607901 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'XRPUSDT-PERP.BINANCE', 'client_order_id': 'O-20260105-083510-001-140724825183112-7', 'venue_order_id': 'BINANCE-4-4', 'account_id': 'BINANCE-001', 'trade_id': 'T-3d566ba2eb9ab72d-9037', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '608360.2', 'last_px': '2.1447', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '716309ab-af5a-4422-8230-cbaa76ffb61c', 'ts_event': 1767602110000000000, 'ts_init': 1767602110000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260105-083500-001-140724825183112-2', 'commission': '782.85007256 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140724825183112,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20260105-083500-001-140724825183112-4,O-20260105-083510-001-140724825183112-7,BUY,FLAT,0.0,608360.2,4,1,1,False,1767602100000000000,2026-01-05 08:35:00+00:00,1767602110000000000,2026-01-05 08:35:10+00:00,10000000000,2.1451,2.1447,-0.00018647149317046105,-1809.19023157 USDT,"['BINANCE-4-1', 'BINANCE-4-4']","['T-3d566ba2eb9ab72d-9037', 'T-656893744c7699b4-9036']",608360.2,608360.2,['1565.84615157 USDT'],False
P-20260105-150500-001-140724825183112-3,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'ETHUSDT-PERP.BINANCE', 'client_order_id': 'O-20260105-150500-001-140724825183112-8', 'venue_order_id': 'BINANCE-2-1', 'account_id': 'BINANCE-001', 'trade_id': 'T-cce29423f56a47ef-15379', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '188.477', 'last_px': '3162.06', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '1a7b25c4-e6b1-4719-86cf-bb8307903894', 'ts_event': 1767625500000000000, 'ts_init': 1767625500000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260105-150500-001-140724825183112-3', 'commission': '357.58534957 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'ETHUSDT-PERP.BINANCE', 'client_order_id': 'O-20260105-150500-001-140724825183112-9', 'venue_order_id': 'BINANCE-2-2', 'account_id': 'BINANCE-001', 'trade_id': 'T-deed98a0c46a0fa7-15419', 'order_side': 'SELL', 'order_type': 'STOP_MARKET', 'last_qty': '188.477', 'last_px': '3153.47', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '95d950d2-97a9-4dda-9309-a1a1b52e6a0f', 'ts_event': 1767625610000000000, 'ts_init': 1767625610000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260105-150500-001-140724825183112-3', 'commission': '356.61393911 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140724825183112,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20260105-150500-001-140724825183112-8,O-20260105-150500-001-140724825183112-9,BUY,FLAT,0.000,188.477,2,3,1,False,1767625500000000000,2026-01-05 15:05:00+00:00,1767625610000000000,2026-01-05 15:06:50+00:00,110000000000,3162.06,3153.47,-0.002716583493039394,-2333.21671868 USDT,"['BINANCE-2-1', 'BINANCE-2-2']","['T-cce29423f56a47ef-15379', 'T-deed98a0c46a0fa7-15419']",188.477,188.477,['714.19928868 USDT'],False
P-20260106-003500-001-140724825183112-4,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'XRPUSDT-PERP.BINANCE', 'client_order_id': 'O-20260106-003500-001-140724825183112-11', 'venue_order_id': 'BINANCE-4-5', 'account_id': 'BINANCE-001', 'trade_id': 'T-ba7864c3ae265026-25827', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '300501.6', 'last_px': '2.3443', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '3014fbfc-a999-444b-adc0-e54210ad8642', 'ts_event': 1767659700000000000, 'ts_init': 1767659700000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260106-003500-001-140724825183112-4', 'commission': '422.67954053 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'XRPUSDT-PERP.BINANCE', 'client_order_id': 'O-20260106-003510-001-140724825183112-14', 'venue_order_id': 'BINANCE-4-8', 'account_id': 'BINANCE-001', 'trade_id': 'T-863073181935ce0c-25828', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '300501.6', 'last_px': '2.3439', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': 'dc6b8d63-7b57-4449-b247-8d05e2a2415c', 'ts_event': 1767659710000000000, 'ts_init': 1767659710000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260106-003500-001-140724825183112-4', 'commission': '422.60742014 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140724825183112,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20260106-003500-001-140724825183112-11,O-20260106-003510-001-140724825183112-14,BUY,FLAT,0.0,300501.6,4,1,1,False,1767659700000000000,2026-01-06 00:35:00+00:00,1767659710000000000,2026-01-06 00:35:10+00:00,10000000000,2.3443,2.3439,-0.00017062662628501297,-965.48760067 USDT,"['BINANCE-4-5', 'BINANCE-4-8']","['T-863073181935ce0c-25828', 'T-ba7864c3ae265026-25827']",300501.6,300501.6,['845.28696067 USDT'],False
P-20260106-083500-001-140724825183112-5,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'ETHUSDT-PERP.BINANCE', 'client_order_id': 'O-20260106-083500-001-140724825183112-15', 'venue_order_id': 'BINANCE-2-4', 'account_id': 'BINANCE-001', 'trade_id': 'T-180b4f61e609f74c-32828', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '321.655', 'last_px': '3216.89', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '0b4f67b4-ac1f-4ee5-8507-338886fe2a71', 'ts_event': 1767688500000000000, 'ts_init': 1767688500000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260106-083500-001-140724825183112-5', 'commission': '620.83725177 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'ETHUSDT-PERP.BINANCE', 'client_order_id': 'O-20260106-083500-001-140724825183112-17', 'venue_order_id': 'BINANCE-2-6', 'account_id': 'BINANCE-001', 'trade_id': 'T-7de1de5878de49f5-35962', 'order_side': 'SELL', 'order_type': 'LIMIT', 'last_qty': '321.655', 'last_px': '3244.48', 'currency': 'USDT', 'liquidity_side': 'MAKER', 'event_id': 'a2d4d62b-7860-47c7-8a43-d60e366e6f36', 'ts_event': 1767701220000000000, 'ts_init': 1767701220000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260106-083500-001-140724825183112-5', 'commission': '626.16192864 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140724825183112,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20260106-083500-001-140724825183112-15,O-20260106-083500-001-140724825183112-17,BUY,FLAT,0.000,321.655,2,3,1,False,1767688500000000000,2026-01-06 08:35:00+00:00,1767701220000000000,2026-01-06 12:07:00+00:00,12720000000000,3216.89,3244.48,0.008576606598298403,7627.46226959 USDT,"['BINANCE-2-4', 'BINANCE-2-6']","['T-180b4f61e609f74c-32828', 'T-7de1de5878de49f5-35962']",321.655,321.655,['1246.99918041 USDT'],False
P-20260106-150500-001-140724825183112-6,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'XRPUSDT-PERP.BINANCE', 'client_order_id': 'O-20260106-150500-001-140724825183112-18', 'venue_order_id': 'BINANCE-4-9', 'account_id': 'BINANCE-001', 'trade_id': 'T-7f001cda1aea228f-40948', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '232890.9', 'last_px': '2.3794', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': 'f5114e61-df87-4f61-9ca8-cf1522b37cdc', 'ts_event': 1767711900000000000, 'ts_init': 1767711900000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260106-150500-001-140724825183112-6', 'commission': '332.48436448 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'XRPUSDT-PERP.BINANCE', 'client_order_id': 'O-20260106-150510-001-140724825183112-21', 'venue_order_id': 'BINANCE-4-12', 'account_id': 'BINANCE-001', 'trade_id': 'T-b69427361afcf4ac-40949', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '232890.9', 'last_px': '2.3790', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '6b323589-fac6-4edc-beb3-0ca631658574', 'ts_event': 1767711910000000000, 'ts_init': 1767711910000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260106-150500-001-140724825183112-6', 'commission': '332.42847066 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140724825183112,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20260106-150500-001-140724825183112-18,O-20260106-150510-001-140724825183112-21,BUY,FLAT,0.0,232890.9,4,1,1,False,1767711900000000000,2026-01-06 15:05:00+00:00,1767711910000000000,2026-01-06 15:05:10+00:00,10000000000,2.3794,2.379,-0.00016810960746404806,-758.06919514 USDT,"['BINANCE-4-12', 'BINANCE-4-9']","['T-7f001cda1aea228f-40948', 'T-b69427361afcf4ac-40949']",232890.9,232890.9,['664.91283514 USDT'],False
P-20260107-150500-001-140724825183112-7,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'ETHUSDT-PERP.BINANCE', 'client_order_id': 'O-20260107-150500-001-140724825183112-22', 'venue_order_id': 'BINANCE-2-7', 'account_id': 'BINANCE-001', 'trade_id': 'T-1b77df89804bf8ac-62841', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '82.442', 'last_px': '3168.37', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': 'b3068f84-86af-4982-8fd0-edfb43e121c0', 'ts_event': 1767798300000000000, 'ts_init': 1767798300000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260107-150500-001-140724825183112-7', 'commission': '156.72405572 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'ETHUSDT-PERP.BINANCE', 'client_order_id': 'O-20260107-190500-001-140724825183112-25', 'venue_order_id': 'BINANCE-2-10', 'account_id': 'BINANCE-001', 'trade_id': 'T-6ce721924656b915-67070', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '82.442', 'last_px': '3154.10', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': 'ce3c7300-2854-44c5-90b4-101e505dbbbf', 'ts_event': 1767812700000000000, 'ts_init': 1767812700000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260107-150500-001-140724825183112-7', 'commission': '156.01818732 USDT', 'causation_id': None}]","[{'type': 'PositionAdjusted', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'ETHUSDT-PERP.BINANCE', 'position_id': 'P-20260107-150500-001-140724825183112-7', 'account_id': 'BINANCE-001', 'adjustment_type': 'FUNDING', 'quantity_change': None, 'pnl_change': '10.17671802 USDT', 'reason': 'funding_settlement:9eb0fea5-32f6-4f56-abd3-89393e90ba06', 'event_id': '9a0c8e01-f592-4c6d-9f3a-37bb95f39034', 'ts_event': 1767801600000000000, 'ts_init': 1767801600000000000}]",TRADER-001,DataActor-140724825183112,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20260107-150500-001-140724825183112-22,O-20260107-190500-001-140724825183112-25,SELL,FLAT,0.000,82.442,2,3,1,False,1767798300000000000,2026-01-07 15:05:00+00:00,1767812700000000000,2026-01-07 19:05:00+00:00,14400000000000,3168.37,3154.1,0.004503893169042751,873.88181498 USDT,"['BINANCE-2-10', 'BINANCE-2-7']","['T-1b77df89804bf8ac-62841', 'T-6ce721924656b915-67070']",82.442,82.442,['312.74224304 USDT'],False
P-20260108-003500-001-140724825183112-8,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'XRPUSDT-PERP.BINANCE', 'client_order_id': 'O-20260108-003500-001-140724825183112-26', 'venue_order_id': 'BINANCE-4-13', 'account_id': 'BINANCE-001', 'trade_id': 'T-29785862c25b194f-74398', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '341534.5', 'last_px': '2.1514', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '4b880f14-976f-4576-b603-f9fe379f5414', 'ts_event': 1767832500000000000, 'ts_init': 1767832500000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260108-003500-001-140724825183112-8', 'commission': '440.86639398 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'XRPUSDT-PERP.BINANCE', 'client_order_id': 'O-20260108-003500-001-140724825183112-27', 'venue_order_id': 'BINANCE-4-14', 'account_id': 'BINANCE-001', 'trade_id': 'T-5b71f9c459a627b1-74538', 'order_side': 'BUY', 'order_type': 'STOP_MARKET', 'last_qty': '341534.5', 'last_px': '2.1554', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': 'fd883e1a-9ec9-448f-803a-d16201608750', 'ts_event': 1767833000000000000, 'ts_init': 1767833000000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260108-003500-001-140724825183112-8', 'commission': '441.68607678 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140724825183112,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20260108-003500-001-140724825183112-26,O-20260108-003500-001-140724825183112-27,SELL,FLAT,0.0,341534.5,4,1,1,False,1767832500000000000,2026-01-08 00:35:00+00:00,1767833000000000000,2026-01-08 00:43:20+00:00,500000000000,2.1514,2.1554,-0.0018592544389699746,-2248.69047076 USDT,"['BINANCE-4-13', 'BINANCE-4-14']","['T-29785862c25b194f-74398', 'T-5b71f9c459a627b1-74538']",341534.5,341534.5,['882.55247076 USDT'],False
P-20260108-150500-001-140724825183112-9,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20260108-150500-001-140724825183112-29', 'venue_order_id': 'BINANCE-1-4', 'account_id': 'BINANCE-001', 'trade_id': 'T-1ac25abf05302773-80854', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '8.251', 'last_px': '89851.2', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': 'a37e71ee-347f-47dc-822b-d10a5a01e7db', 'ts_event': 1767884700000000000, 'ts_init': 1767884700000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260108-150500-001-140724825183112-9', 'commission': '444.81735072 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20260108-150500-001-140724825183112-30', 'venue_order_id': 'BINANCE-1-5', 'account_id': 'BINANCE-001', 'trade_id': 'T-c1269183c3ef90e3-80868', 'order_side': 'BUY', 'order_type': 'STOP_MARKET', 'last_qty': '8.251', 'last_px': '90027.8', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '6b51b0aa-15b2-43f2-8b3e-26289f73cf4c', 'ts_event': 1767884740000000000, 'ts_init': 1767884740000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260108-150500-001-140724825183112-9', 'commission': '445.69162668 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140724825183112,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20260108-150500-001-140724825183112-29,O-20260108-150500-001-140724825183112-30,SELL,FLAT,0.000,8.251,1,3,1,False,1767884700000000000,2026-01-08 15:05:00+00:00,1767884740000000000,2026-01-08 15:05:40+00:00,40000000000,89851.2,90027.8,-0.0019654718022687045,-2347.63557740 USDT,"['BINANCE-1-4', 'BINANCE-1-5']","['T-1ac25abf05302773-80854', 'T-c1269183c3ef90e3-80868']",8.251,8.251,['890.50897740 USDT'],False
P-20260109-083500-001-140724825183112-10,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'SOLUSDT-PERP.BINANCE', 'client_order_id': 'O-20260109-083500-001-140724825183112-32', 'venue_order_id': 'BINANCE-3-1', 'account_id': 'BINANCE-001', 'trade_id': 'T-65ccb1bbb7a18f9f-99327', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '4754.6', 'last_px': '138.632', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': 'af6e3e8a-f9f7-453b-824d-6b181e08a2ef', 'ts_event': 1767947700000000000, 'ts_init': 1767947700000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260109-083500-001-140724825183112-10', 'commission': '395.48382432 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140724825183112', 'instrument_id': 'SOLUSDT-PERP.BINANCE', 'client_order_id': 'O-20260109-083500-001-140724825183112-33', 'venue_order_id': 'BINANCE-3-2', 'account_id': 'BINANCE-001', 'trade_id': 'T-780410f882d0da9a-99381', 'order_side': 'SELL', 'order_type': 'STOP_MARKET', 'last_qty': '4754.6', 'last_px': '138.308', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': 'e2b9f66c-5432-43a2-9585-7ff2eb02c3bb', 'ts_event': 1767947890000000000, 'ts_init': 1767947890000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20260109-083500-001-140724825183112-10', 'commission': '394.55953008 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140724825183112,SOLUSDT-PERP.BINANCE,BINANCE-001,O-20260109-083500-001-140724825183112-32,O-20260109-083500-001-140724825183112-33,BUY,FLAT,0.0,4754.6,3,1,1,False,1767947700000000000,2026-01-09 08:35:00+00:00,1767947890000000000,2026-01-09 08:38:10+00:00,190000000000,138.632,138.308,-0.002337122742224106,-2330.53375440 USDT,"['BINANCE-3-1', 'BINANCE-3-2']","['T-65ccb1bbb7a18f9f-99327', 'T-780410f882d0da9a-99381']",4754.6,4754.6,['790.04335440 USDT'],False
