,total,locked,free,currency,account_id,account_type,margins,reported,info,base_currency
2023-10-14 23:25:10+00:00,100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,[],True,{},USDT
2023-10-15 13:29:00+00:00,99420.92718112,3860.48545920,95560.44172192,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '3860.48545920', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-15 13:29:00+00:00,99420.92718112,3860.48545920,95560.44172192,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '3860.48545920', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-15 13:29:00+00:00,99420.92718112,3860.48545920,95560.44172192,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '3860.48545920', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-15 13:29:00+00:00,99420.92718112,3860.48545920,95560.44172192,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '3860.48545920', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-15 13:29:00+00:00,99420.92718112,3860.48545920,95560.44172192,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '3860.48545920', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-15 13:29:10+00:00,98924.35423248,0.00000000,98924.35423248,USDT,BINANCE-001,MARGIN,[],False,{},USDT
2023-10-15 17:22:30+00:00,98093.44802502,5539.37471640,92554.07330862,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '5539.37471640', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-15 17:22:30+00:00,98093.44802502,5539.37471640,92554.07330862,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '5539.37471640', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-15 17:22:30+00:00,98093.44802502,5539.37471640,92554.07330862,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '5539.37471640', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-15 17:27:20+00:00,96223.90160712,0.00000000,96223.90160712,USDT,BINANCE-001,MARGIN,[],False,{},USDT
2023-10-15 17:27:20+00:00,96223.90160712,0.00000000,96223.90160712,USDT,BINANCE-001,MARGIN,[],False,{},USDT
2023-10-15 17:28:50+00:00,95579.30878098,4297.28550760,91282.02327338,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '4297.28550760', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-15 17:28:50+00:00,95579.30878098,4297.28550760,91282.02327338,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '4297.28550760', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-15 17:28:50+00:00,95579.30878098,4297.28550760,91282.02327338,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '4297.28550760', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-15 17:30:20+00:00,93882.65229516,0.00000000,93882.65229516,USDT,BINANCE-001,MARGIN,[],False,{},USDT
2023-10-15 17:30:20+00:00,93882.65229516,0.00000000,93882.65229516,USDT,BINANCE-001,MARGIN,[],False,{},USDT
2023-10-17 00:58:10+00:00,93382.27715946,3335.83423800,90046.44292146,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '3335.83423800', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-17 00:58:10+00:00,93382.27715946,3335.83423800,90046.44292146,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '3335.83423800', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-17 00:58:10+00:00,93382.27715946,3335.83423800,90046.44292146,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '3335.83423800', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-17 00:58:10+00:00,93382.27715946,3335.83423800,90046.44292146,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '3335.83423800', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-17 00:58:10+00:00,93382.27715946,3335.83423800,90046.44292146,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '3335.83423800', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-17 00:58:20+00:00,92852.40273396,0.00000000,92852.40273396,USDT,BINANCE-001,MARGIN,[],False,{},USDT
2023-10-17 10:20:00+00:00,92419.97036436,2882.88246400,89537.08790036,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '2882.88246400', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-17 10:20:00+00:00,92419.97036436,2882.88246400,89537.08790036,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '2882.88246400', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-17 10:20:00+00:00,92419.97036436,2882.88246400,89537.08790036,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '2882.88246400', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-17 10:20:00+00:00,92419.97036436,2882.88246400,89537.08790036,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '2882.88246400', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-17 10:20:00+00:00,92419.97036436,2882.88246400,89537.08790036,USDT,BINANCE-001,MARGIN,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '2882.88246400', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{},USDT
2023-10-17 10:20:10+00:00,92116.49232096,0.00000000,92116.49232096,USDT,BINANCE-001,MARGIN,[],False,{},USDT
