client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,account_id,trade_id,order_side,order_type,last_qty,last_px,currency,liquidity_side,event_id,ts_event,ts_init,reconciliation,info,position_id,commission,causation_id
O-20231015-132900-001-140737083279224-1,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-1,BINANCE-001,T-c83d901a9d73825d-10615,SELL,MARKET,35.848,26922.6,USDT,TAKER,7ed5d0a0-1953-439e-933b-b7bf5d6bca61,2023-10-15 13:29:00+00:00,2023-10-15 13:29:00+00:00,False,{},P-20231015-132900-001-140737083279224-1,579.07281888 USDT,
O-20231015-132910-001-140737083279224-4,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-4,BINANCE-001,T-dd43b5ad603ac478-10618,BUY,MARKET,35.848,26920.3,USDT,TAKER,07af1aea-b32b-451d-8f1a-32d0cdcf4187,2023-10-15 13:29:10+00:00,2023-10-15 13:29:10+00:00,False,{},P-20231015-132900-001-140737083279224-1,579.02334864 USDT,
O-20231015-172230-001-140737083279224-5,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-5,BINANCE-001,T-126396012bbbc7c9-13668,SELL,MARKET,51.387,26949.3,USDT,TAKER,2196bc65-3d15-476c-8192-e983878a08d7,2023-10-15 17:22:30+00:00,2023-10-15 17:22:30+00:00,False,{},P-20231015-172230-001-140737083279224-2,830.90620746 USDT,
O-20231015-172230-001-140737083279224-6,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-6,BINANCE-001,T-ffdcaecabbe1f745-13733,BUY,STOP_MARKET,51.387,26969.5,USDT,TAKER,f23e6d21-92e4-4aec-b28e-cc411e33376b,2023-10-15 17:27:20+00:00,2023-10-15 17:27:20+00:00,False,{},P-20231015-172230-001-140737083279224-2,831.52901790 USDT,
O-20231015-172850-001-140737083279224-8,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-8,BINANCE-001,T-a3bc1133b4b7a732-13764,SELL,MARKET,39.827,26974.7,USDT,TAKER,b9824823-68ba-4d54-be19-6b2069add35d,2023-10-15 17:28:50+00:00,2023-10-15 17:28:50+00:00,False,{},P-20231015-172850-001-140737083279224-3,644.59282614 USDT,
O-20231015-172850-001-140737083279224-9,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-9,BINANCE-001,T-7374ac709dc851cd-13792,BUY,STOP_MARKET,39.827,27001.1,USDT,TAKER,93eca472-7157-4dfc-a75c-28773e7cf35c,2023-10-15 17:30:20+00:00,2023-10-15 17:30:20+00:00,False,{},P-20231015-172850-001-140737083279224-3,645.22368582 USDT,
O-20231017-005810-001-140737083279224-11,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-11,BINANCE-001,T-de976c88d6b13442-43688,BUY,MARKET,29.517,28253.5,USDT,TAKER,894f0b1d-d967-48a0-8929-391fc5e0a778,2023-10-17 00:58:10+00:00,2023-10-17 00:58:10+00:00,False,{},P-20231017-005810-001-140737083279224-4,500.37513570 USDT,
O-20231017-005820-001-140737083279224-14,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-14,BINANCE-001,T-0b302c152e491ed4-43691,SELL,MARKET,29.517,28252.5,USDT,TAKER,48fd5b0c-cc5f-47ea-9b05-38c93a22fca0,2023-10-17 00:58:20+00:00,2023-10-17 00:58:20+00:00,False,{},P-20231017-005810-001-140737083279224-4,500.35742550 USDT,
O-20231017-102000-001-140737083279224-15,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-15,BINANCE-001,T-f62beeb89e295fe9-51795,SELL,MARKET,25.270,28520.8,USDT,TAKER,a74f60ee-7a41-4b84-ba77-6fec48efb0fb,2023-10-17 10:20:00+00:00,2023-10-17 10:20:00+00:00,False,{},P-20231017-102000-001-140737083279224-5,432.43236960 USDT,
O-20231017-102010-001-140737083279224-18,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-18,BINANCE-001,T-faa6ae6c884bf0cf-51799,BUY,MARKET,25.270,28515.7,USDT,TAKER,37d0c925-e653-46d1-af27-9af8517a299a,2023-10-17 10:20:10+00:00,2023-10-17 10:20:10+00:00,False,{},P-20231017-102000-001-140737083279224-5,432.35504340 USDT,
O-20231017-123450-001-140737083279224-19,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-19,BINANCE-001,T-7c39231dbf76e855-53910,BUY,MARKET,33.027,28367.1,USDT,TAKER,4e4d673f-5adf-40fa-9b6c-5b016163f5e3,2023-10-17 12:34:50+00:00,2023-10-17 12:34:50+00:00,False,{},P-20231017-123450-001-140737083279224-6,562.12812702 USDT,
O-20231017-123450-001-140737083279224-20,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-20,BINANCE-001,T-1151af034f590b5e-53939,SELL,STOP_MARKET,33.027,28312.5,USDT,TAKER,050124bf-d6c8-4f1f-b57a-d952416aa287,2023-10-17 12:36:40+00:00,2023-10-17 12:36:40+00:00,False,{},P-20231017-123450-001-140737083279224-6,561.04616250 USDT,
O-20231018-040050-001-140737083279224-22,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-22,BINANCE-001,T-3b2eaa42edecb544-67583,SELL,MARKET,46.439,28493.4,USDT,TAKER,c5e5163e-74a1-4ecf-a022-1872710f1f46,2023-10-18 04:00:50+00:00,2023-10-18 04:00:50+00:00,False,{},P-20231018-040050-001-140737083279224-7,793.92300156 USDT,
O-20231018-040100-001-140737083279224-25,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-25,BINANCE-001,T-718df4c08d47f81b-67586,BUY,MARKET,46.439,28491.8,USDT,TAKER,108efbc9-e0d0-4212-a5b1-3e7719e02152,2023-10-18 04:01:00+00:00,2023-10-18 04:01:00+00:00,False,{},P-20231018-040050-001-140737083279224-7,793.87842012 USDT,
O-20231018-143500-001-140737083279224-26,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-26,BINANCE-001,T-9fc887ac857338f0-77475,BUY,MARKET,16.180,28253.3,USDT,TAKER,260ca8c6-ba29-4fee-b946-961442c3f43d,2023-10-18 14:35:00+00:00,2023-10-18 14:35:00+00:00,False,{},P-20231018-143500-001-140737083279224-8,274.28303640 USDT,
O-20231018-143510-001-140737083279224-29,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-29,BINANCE-001,T-db6d448b04511bfa-77480,SELL,MARKET,16.180,28234.3,USDT,TAKER,8709325e-86d9-4429-9e1a-d63ea633c4b4,2023-10-18 14:35:10+00:00,2023-10-18 14:35:10+00:00,False,{},P-20231018-143500-001-140737083279224-8,274.09858440 USDT,
O-20231018-170950-001-140737083279224-30,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-30,BINANCE-001,T-c30602db568c18bd-79911,SELL,MARKET,38.778,28380.0,USDT,TAKER,f1d6280b-c471-46ea-88dc-7c2cc9d16a27,2023-10-18 17:09:50+00:00,2023-10-18 17:09:50+00:00,False,{},P-20231018-170950-001-140737083279224-9,660.31178400 USDT,
O-20231018-171000-001-140737083279224-33,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-33,BINANCE-001,T-511a01ec72d782a3-79914,BUY,MARKET,38.778,28380.4,USDT,TAKER,019c8515-1ee7-477f-88e6-508ed0a3d5a1,2023-10-18 17:10:00+00:00,2023-10-18 17:10:00+00:00,False,{},P-20231018-170950-001-140737083279224-9,660.32109072 USDT,
O-20231019-144340-001-140737083279224-34,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-34,BINANCE-001,T-f0fe66b38d3fe20d-98044,SELL,MARKET,30.913,28563.1,USDT,TAKER,888b5991-7074-4230-b7f7-7193c2bb66a5,2023-10-19 14:43:40+00:00,2023-10-19 14:43:40+00:00,False,{},P-20231019-144340-001-140737083279224-10,529.78266618 USDT,
O-20231019-144340-001-140737083279224-35,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-35,BINANCE-001,T-892767c25fefc68b-98128,BUY,STOP_MARKET,30.913,28599.8,USDT,TAKER,33fc95e7-62b5-4ea9-99bb-0f7f9b76d1c2,2023-10-19 14:48:20+00:00,2023-10-19 14:48:20+00:00,False,{},P-20231019-144340-001-140737083279224-10,530.46337044 USDT,
O-20231020-023440-001-140737083279224-37,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-37,BINANCE-001,T-a99b39418645a518-108910,SELL,MARKET,17.810,28881.4,USDT,TAKER,6dccb1fc-9936-4b4f-beb0-bc1b60d4fd21,2023-10-20 02:34:40+00:00,2023-10-20 02:34:40+00:00,False,{},P-20231020-023440-001-140737083279224-11,308.62664040 USDT,
O-20231020-023450-001-140737083279224-40,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-40,BINANCE-001,T-f0ab746050ca9459-108914,BUY,MARKET,17.810,28884.9,USDT,TAKER,77f453ac-c20b-4e95-a5f2-bf42e8d658ce,2023-10-20 02:34:50+00:00,2023-10-20 02:34:50+00:00,False,{},P-20231020-023440-001-140737083279224-11,308.66404140 USDT,
O-20231020-024600-001-140737083279224-41,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-41,BINANCE-001,T-0dd5717f5995c59b-109126,SELL,MARKET,8.592,28999.8,USDT,TAKER,5796523a-496b-4c46-9505-bb06ec7bd43f,2023-10-20 02:46:00+00:00,2023-10-20 02:46:00+00:00,False,{},P-20231020-024600-001-140737083279224-12,149.49976896 USDT,
O-20231020-024610-001-140737083279224-44,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BINANCE-1-44,BINANCE-001,T-47ef39036185c448-109131,BUY,MARKET,8.592,28997.7,USDT,TAKER,de4c1afa-f9ff-4cc3-95f7-30adb00a6ba4,2023-10-20 02:46:10+00:00,2023-10-20 02:46:10+00:00,False,{},P-20231020-024600-001-140737083279224-12,149.48894304 USDT,
