client_order_id,trader_id,strategy_id,instrument_id,side,type,quantity,status,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,init_id,ts_init,ts_last,commissions,venue_order_id,emulation_trigger,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,account_id,slippage,position_id,liquidity_side,last_trade_id,avg_px,trigger_price,trigger_type,expire_time_ns,display_qty,trigger_instrument_id,price,is_post_only
O-20231015-132900-001-140737083279224-1,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,SELL,MARKET,35.848,FILLED,GTC,False,False,35.848,4c664e1c-7af7-4690-8fcf-ee549a1bc8b4,1697376540000000000,1697376540000000000,['579.07281888 USDT'],BINANCE-1-1,NO_TRIGGER,OTO,OL-20231015-132900-001-140737083279224-1,"['O-20231015-132900-001-140737083279224-2', 'O-20231015-132900-001-140737083279224-3']",,,,,"['quote-resiliency-btcusdt-000008', 'QUOTE_REPLENISHED_FAILED_AUCTION_REVERSAL', 'SHORT', 'COMPLETED_TEN_SECOND_MARKET_ENTRY', 'QUOTE_RESILIENCY_NATIVE_EXECUTION_LABELS_V2_CAUSAL_FILL_EXIT']",BINANCE-001,,P-20231015-132900-001-140737083279224-1,TAKER,T-c83d901a9d73825d-10615,26922.6,,,,,,,
O-20231015-132900-001-140737083279224-2,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BUY,STOP_MARKET,35.848,CANCELED,GTC,True,False,0.000,a56b4614-54d8-45f7-87c9-cf903299a535,1697376540000000000,1697376540000000000,,BINANCE-1-2,NO_TRIGGER,OUO,OL-20231015-132900-001-140737083279224-1,['O-20231015-132900-001-140737083279224-3'],O-20231015-132900-001-140737083279224-1,,,,"['quote-resiliency-btcusdt-000008', 'FULL_SWEEP_RESPONSE_EXTREME', 'STRUCTURAL_INVALIDATION']",BINANCE-001,,P-20231015-132900-001-140737083279224-1,NO_LIQUIDITY_SIDE,,,26958.5,DEFAULT,,,,,
O-20231015-132900-001-140737083279224-3,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BUY,LIMIT,35.848,CANCELED,GTC,True,False,0.000,536bca15-bed0-4214-98ee-cf079c732b90,1697376540000000000,1697376540000000000,,BINANCE-1-3,NO_TRIGGER,OUO,OL-20231015-132900-001-140737083279224-1,['O-20231015-132900-001-140737083279224-2'],O-20231015-132900-001-140737083279224-1,,,,"['quote-resiliency-btcusdt-000008', 'ACTIVE_COMPLETED_EXTERNAL_TARGET', 'DAY']",BINANCE-001,,P-20231015-132900-001-140737083279224-1,MAKER,,,,,,,,26773.1,False
O-20231015-132910-001-140737083279224-4,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BUY,MARKET,35.848,FILLED,GTC,True,False,35.848,ea2e5b08-3c4a-4d0c-8b2f-463d232829cd,1697376550000000000,1697376550000000000,['579.02334864 USDT'],BINANCE-1-4,NO_TRIGGER,NO_CONTINGENCY,,,,,,,,BINANCE-001,,P-20231015-132900-001-140737083279224-1,TAKER,T-dd43b5ad603ac478-10618,26920.3,,,,,,,
O-20231015-172230-001-140737083279224-5,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,SELL,MARKET,51.387,FILLED,GTC,False,False,51.387,913cea1a-8ee2-438b-8cc3-bcffa73b295b,1697390550000000000,1697390550000000000,['830.90620746 USDT'],BINANCE-1-5,NO_TRIGGER,OTO,OL-20231015-172230-001-140737083279224-2,"['O-20231015-172230-001-140737083279224-6', 'O-20231015-172230-001-140737083279224-7']",,,,,"['quote-resiliency-btcusdt-000009', 'QUOTE_REPLENISHED_FAILED_AUCTION_REVERSAL', 'SHORT', 'COMPLETED_TEN_SECOND_MARKET_ENTRY', 'QUOTE_RESILIENCY_NATIVE_EXECUTION_LABELS_V2_CAUSAL_FILL_EXIT']",BINANCE-001,,P-20231015-172230-001-140737083279224-2,TAKER,T-126396012bbbc7c9-13668,26949.3,,,,,,,
O-20231015-172230-001-140737083279224-6,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BUY,STOP_MARKET,51.387,FILLED,GTC,True,False,51.387,4d3251c2-7559-4bf3-a4b7-75abf84bb499,1697390550000000000,1697390840000000000,['831.52901790 USDT'],BINANCE-1-6,NO_TRIGGER,OUO,OL-20231015-172230-001-140737083279224-2,['O-20231015-172230-001-140737083279224-7'],O-20231015-172230-001-140737083279224-5,,,,"['quote-resiliency-btcusdt-000009', 'FULL_SWEEP_RESPONSE_EXTREME', 'STRUCTURAL_INVALIDATION']",BINANCE-001,1.4000000000014552,P-20231015-172230-001-140737083279224-2,TAKER,T-ffdcaecabbe1f745-13733,26969.5,26968.1,DEFAULT,,,,,
O-20231015-172230-001-140737083279224-7,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BUY,LIMIT,51.387,CANCELED,GTC,True,False,0.000,54282b65-d257-4fda-af90-0724046775bf,1697390550000000000,1697390840000000000,,BINANCE-1-7,NO_TRIGGER,OUO,OL-20231015-172230-001-140737083279224-2,['O-20231015-172230-001-140737083279224-6'],O-20231015-172230-001-140737083279224-5,,,,"['quote-resiliency-btcusdt-000009', 'ACTIVE_COMPLETED_EXTERNAL_TARGET', 'FOUR_HOUR']",BINANCE-001,,P-20231015-172230-001-140737083279224-2,MAKER,,,,,,,,26790.4,False
O-20231015-172850-001-140737083279224-10,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BUY,LIMIT,39.827,CANCELED,GTC,True,False,0.000,66d93b05-8e76-4067-8130-a6a06031c407,1697390930000000000,1697391020000000000,,BINANCE-1-10,NO_TRIGGER,OUO,OL-20231015-172850-001-140737083279224-3,['O-20231015-172850-001-140737083279224-9'],O-20231015-172850-001-140737083279224-8,,,,"['quote-resiliency-btcusdt-000010', 'ACTIVE_COMPLETED_EXTERNAL_TARGET', 'FOUR_HOUR']",BINANCE-001,,P-20231015-172850-001-140737083279224-3,MAKER,,,,,,,,26790.4,False
O-20231015-172850-001-140737083279224-8,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,SELL,MARKET,39.827,FILLED,GTC,False,False,39.827,7fb3d3bf-e7f8-4482-9765-56655c615907,1697390930000000000,1697390930000000000,['644.59282614 USDT'],BINANCE-1-8,NO_TRIGGER,OTO,OL-20231015-172850-001-140737083279224-3,"['O-20231015-172850-001-140737083279224-9', 'O-20231015-172850-001-140737083279224-10']",,,,,"['quote-resiliency-btcusdt-000010', 'QUOTE_REPLENISHED_FAILED_AUCTION_REVERSAL', 'SHORT', 'COMPLETED_TEN_SECOND_MARKET_ENTRY', 'QUOTE_RESILIENCY_NATIVE_EXECUTION_LABELS_V2_CAUSAL_FILL_EXIT']",BINANCE-001,,P-20231015-172850-001-140737083279224-3,TAKER,T-a3bc1133b4b7a732-13764,26974.7,,,,,,,
O-20231015-172850-001-140737083279224-9,TRADER-001,DataActor-140737083279224,BTCUSDT-PERP.BINANCE,BUY,STOP_MARKET,39.827,FILLED,GTC,True,False,39.827,49f1a791-a317-4c0e-9a8b-abd4e28498c4,1697390930000000000,1697391020000000000,['645.22368582 USDT'],BINANCE-1-9,NO_TRIGGER,OUO,OL-20231015-172850-001-140737083279224-3,['O-20231015-172850-001-140737083279224-10'],O-20231015-172850-001-140737083279224-8,,,,"['quote-resiliency-btcusdt-000010', 'FULL_SWEEP_RESPONSE_EXTREME', 'STRUCTURAL_INVALIDATION']",BINANCE-001,0.6999999999970896,P-20231015-172850-001-140737083279224-3,TAKER,T-7374ac709dc851cd-13792,27001.1,27000.4,DEFAULT,,,,,
