position_id,type,events,adjustments,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,price_precision,size_precision,multiplier,is_inverse,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,realized_return,realized_pnl,venue_order_ids,trade_ids,buy_qty,sell_qty,commissions,is_snapshot
P-20231015-132900-001-140725167305528-1,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231015-132900-001-140725167305528-1', 'venue_order_id': 'BINANCE-1-1', 'account_id': 'BINANCE-001', 'trade_id': 'T-c83d901a9d73825d-10615', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '35.848', 'last_px': '26922.6', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '3ecd1873-4b7d-49a8-a55a-33f8d5ebc6f6', 'ts_event': 1697376540000000000, 'ts_init': 1697376540000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231015-132900-001-140725167305528-1', 'commission': '579.07281888 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231015-132900-001-140725167305528-4', 'venue_order_id': 'BINANCE-1-4', 'account_id': 'BINANCE-001', 'trade_id': 'T-c83d901a9d73825d-10616', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '35.848', 'last_px': '26923.0', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': 'f8ec3680-5744-4800-9af6-c4b7629ad834', 'ts_event': 1697376540000000000, 'ts_init': 1697376540000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231015-132900-001-140725167305528-1', 'commission': '579.08142240 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140725167305528,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20231015-132900-001-140725167305528-1,O-20231015-132900-001-140725167305528-4,SELL,FLAT,0.000,35.848,1,3,1,False,1697376540000000000,2023-10-15 13:29:00+00:00,1697376540000000000,2023-10-15 13:29:00+00:00,0,26922.6,26923.0,-1.4857406045532572e-05,-1172.49344128 USDT,"['BINANCE-1-1', 'BINANCE-1-4']","['T-c83d901a9d73825d-10615', 'T-c83d901a9d73825d-10616']",35.848,35.848,['1158.15424128 USDT'],False
P-20231015-172230-001-140725167305528-2,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231015-172230-001-140725167305528-5', 'venue_order_id': 'BINANCE-1-5', 'account_id': 'BINANCE-001', 'trade_id': 'T-126396012bbbc7c9-13668', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '51.425', 'last_px': '26949.3', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': 'd6295c0e-584b-46a6-a1f2-21746f92281b', 'ts_event': 1697390550000000000, 'ts_init': 1697390550000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231015-172230-001-140725167305528-2', 'commission': '831.52065150 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231015-172230-001-140725167305528-8', 'venue_order_id': 'BINANCE-1-8', 'account_id': 'BINANCE-001', 'trade_id': 'T-126396012bbbc7c9-13669', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '51.425', 'last_px': '26949.7', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '9e9ed1e5-44d2-4a23-9276-1eb0f5f5552e', 'ts_event': 1697390550000000000, 'ts_init': 1697390550000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231015-172230-001-140725167305528-2', 'commission': '831.53299350 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140725167305528,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20231015-172230-001-140725167305528-5,O-20231015-172230-001-140725167305528-8,SELL,FLAT,0.000,51.425,1,3,1,False,1697390550000000000,2023-10-15 17:22:30+00:00,1697390550000000000,2023-10-15 17:22:30+00:00,0,26949.3,26949.7,-1.4842686080954059e-05,-1683.62364500 USDT,"['BINANCE-1-5', 'BINANCE-1-8']","['T-126396012bbbc7c9-13668', 'T-126396012bbbc7c9-13669']",51.425,51.425,['1663.05364500 USDT'],False
P-20231015-172850-001-140725167305528-3,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231015-172850-001-140725167305528-9', 'venue_order_id': 'BINANCE-1-9', 'account_id': 'BINANCE-001', 'trade_id': 'T-a3bc1133b4b7a732-13764', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '40.263', 'last_px': '26974.7', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '0fe27848-86c7-401a-b423-cc7f974d5b91', 'ts_event': 1697390930000000000, 'ts_init': 1697390930000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231015-172850-001-140725167305528-3', 'commission': '651.64940766 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231015-172850-001-140725167305528-12', 'venue_order_id': 'BINANCE-1-12', 'account_id': 'BINANCE-001', 'trade_id': 'T-a3bc1133b4b7a732-13765', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '40.263', 'last_px': '26975.1', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '2159c2fa-6cda-4f80-b63f-6c77bc2276d1', 'ts_event': 1697390930000000000, 'ts_init': 1697390930000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231015-172850-001-140725167305528-3', 'commission': '651.65907078 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140725167305528,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20231015-172850-001-140725167305528-9,O-20231015-172850-001-140725167305528-12,SELL,FLAT,0.000,40.263,1,3,1,False,1697390930000000000,2023-10-15 17:28:50+00:00,1697390930000000000,2023-10-15 17:28:50+00:00,0,26974.7,26975.1,-1.4828709865089036e-05,-1319.41367844 USDT,"['BINANCE-1-12', 'BINANCE-1-9']","['T-a3bc1133b4b7a732-13764', 'T-a3bc1133b4b7a732-13765']",40.263,40.263,['1303.30847844 USDT'],False
P-20231017-005810-001-140725167305528-4,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231017-005810-001-140725167305528-13', 'venue_order_id': 'BINANCE-1-13', 'account_id': 'BINANCE-001', 'trade_id': 'T-de976c88d6b13442-43688', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '30.128', 'last_px': '28253.5', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '1ffe207c-a72c-47a3-a7ce-e68c1314e15a', 'ts_event': 1697504290000000000, 'ts_init': 1697504290000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231017-005810-001-140725167305528-4', 'commission': '510.73286880 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231017-005810-001-140725167305528-16', 'venue_order_id': 'BINANCE-1-16', 'account_id': 'BINANCE-001', 'trade_id': 'T-de976c88d6b13442-43689', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '30.128', 'last_px': '28253.1', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': 'f9c41934-922d-4295-bfb7-faa37b1af34b', 'ts_event': 1697504290000000000, 'ts_init': 1697504290000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231017-005810-001-140725167305528-4', 'commission': '510.72563808 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140725167305528,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20231017-005810-001-140725167305528-13,O-20231017-005810-001-140725167305528-16,BUY,FLAT,0.000,30.128,1,3,1,False,1697504290000000000,2023-10-17 00:58:10+00:00,1697504290000000000,2023-10-17 00:58:10+00:00,0,28253.5,28253.1,-1.4157538004192585e-05,-1033.50970688 USDT,"['BINANCE-1-13', 'BINANCE-1-16']","['T-de976c88d6b13442-43688', 'T-de976c88d6b13442-43689']",30.128,30.128,['1021.45850688 USDT'],False
P-20231017-102000-001-140725167305528-5,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231017-102000-001-140725167305528-17', 'venue_order_id': 'BINANCE-1-17', 'account_id': 'BINANCE-001', 'trade_id': 'T-f62beeb89e295fe9-51795', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '25.798', 'last_px': '28520.8', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '310b556a-221a-4a34-b287-96dbd3e37e50', 'ts_event': 1697538000000000000, 'ts_init': 1697538000000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231017-102000-001-140725167305528-5', 'commission': '441.46775904 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231017-102000-001-140725167305528-20', 'venue_order_id': 'BINANCE-1-20', 'account_id': 'BINANCE-001', 'trade_id': 'T-f62beeb89e295fe9-51796', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '25.798', 'last_px': '28521.2', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '573d331e-deb4-4ccc-b06e-a5aeb6ab7c4e', 'ts_event': 1697538000000000000, 'ts_init': 1697538000000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231017-102000-001-140725167305528-5', 'commission': '441.47395056 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140725167305528,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20231017-102000-001-140725167305528-17,O-20231017-102000-001-140725167305528-20,SELL,FLAT,0.000,25.798,1,3,1,False,1697538000000000000,2023-10-17 10:20:00+00:00,1697538000000000000,2023-10-17 10:20:00+00:00,0,28520.8,28521.2,-1.4024852037862024e-05,-893.26090960 USDT,"['BINANCE-1-17', 'BINANCE-1-20']","['T-f62beeb89e295fe9-51795', 'T-f62beeb89e295fe9-51796']",25.798,25.798,['882.94170960 USDT'],False
P-20231017-123450-001-140725167305528-6,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231017-123450-001-140725167305528-21', 'venue_order_id': 'BINANCE-1-21', 'account_id': 'BINANCE-001', 'trade_id': 'T-7c39231dbf76e855-53910', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '33.706', 'last_px': '28367.1', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '2a193488-9214-4487-b8b7-193fb7c948bd', 'ts_event': 1697546090000000000, 'ts_init': 1697546090000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231017-123450-001-140725167305528-6', 'commission': '573.68488356 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231017-123450-001-140725167305528-24', 'venue_order_id': 'BINANCE-1-24', 'account_id': 'BINANCE-001', 'trade_id': 'T-7c39231dbf76e855-53911', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '33.706', 'last_px': '28366.7', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '7bb5c3d0-ca8f-4d7a-aebb-f30ee1ec06cc', 'ts_event': 1697546090000000000, 'ts_init': 1697546090000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231017-123450-001-140725167305528-6', 'commission': '573.67679412 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140725167305528,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20231017-123450-001-140725167305528-21,O-20231017-123450-001-140725167305528-24,BUY,FLAT,0.000,33.706,1,3,1,False,1697546090000000000,2023-10-17 12:34:50+00:00,1697546090000000000,2023-10-17 12:34:50+00:00,0,28367.1,28366.7,-1.4100842172721823e-05,-1160.84407768 USDT,"['BINANCE-1-21', 'BINANCE-1-24']","['T-7c39231dbf76e855-53910', 'T-7c39231dbf76e855-53911']",33.706,33.706,['1147.36167768 USDT'],False
P-20231018-040050-001-140725167305528-7,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231018-040050-001-140725167305528-25', 'venue_order_id': 'BINANCE-1-25', 'account_id': 'BINANCE-001', 'trade_id': 'T-3b2eaa42edecb544-67583', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '48.286', 'last_px': '28493.4', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': 'ebf4d3a3-2caa-424c-9399-a2d71c862f45', 'ts_event': 1697601650000000000, 'ts_init': 1697601650000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231018-040050-001-140725167305528-7', 'commission': '825.49938744 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231018-040050-001-140725167305528-28', 'venue_order_id': 'BINANCE-1-28', 'account_id': 'BINANCE-001', 'trade_id': 'T-3b2eaa42edecb544-67584', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '48.286', 'last_px': '28493.8', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '5de33f0a-f315-46e2-a69b-739cd9691148', 'ts_event': 1697601650000000000, 'ts_init': 1697601650000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231018-040050-001-140725167305528-7', 'commission': '825.51097608 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140725167305528,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20231018-040050-001-140725167305528-25,O-20231018-040050-001-140725167305528-28,SELL,FLAT,0.000,48.286,1,3,1,False,1697601650000000000,2023-10-18 04:00:50+00:00,1697601650000000000,2023-10-18 04:00:50+00:00,0,28493.4,28493.8,-1.403833870292128e-05,-1670.32476352 USDT,"['BINANCE-1-25', 'BINANCE-1-28']","['T-3b2eaa42edecb544-67583', 'T-3b2eaa42edecb544-67584']",48.286,48.286,['1651.01036352 USDT'],False
P-20231018-143500-001-140725167305528-8,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231018-143500-001-140725167305528-29', 'venue_order_id': 'BINANCE-1-29', 'account_id': 'BINANCE-001', 'trade_id': 'T-9fc887ac857338f0-77475', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '16.805', 'last_px': '28253.3', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '728511fe-90bd-4ce5-8c45-306af02eeb57', 'ts_event': 1697639700000000000, 'ts_init': 1697639700000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231018-143500-001-140725167305528-8', 'commission': '284.87802390 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231018-143500-001-140725167305528-32', 'venue_order_id': 'BINANCE-1-32', 'account_id': 'BINANCE-001', 'trade_id': 'T-9fc887ac857338f0-77476', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '16.805', 'last_px': '28252.9', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '7911b3ab-fae7-4c32-81d6-4ae255dfc4e6', 'ts_event': 1697639700000000000, 'ts_init': 1697639700000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231018-143500-001-140725167305528-8', 'commission': '284.87399070 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140725167305528,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20231018-143500-001-140725167305528-29,O-20231018-143500-001-140725167305528-32,BUY,FLAT,0.000,16.805,1,3,1,False,1697639700000000000,2023-10-18 14:35:00+00:00,1697639700000000000,2023-10-18 14:35:00+00:00,0,28253.3,28252.9,-1.4157638222714417e-05,-576.47401460 USDT,"['BINANCE-1-29', 'BINANCE-1-32']","['T-9fc887ac857338f0-77475', 'T-9fc887ac857338f0-77476']",16.805,16.805,['569.75201460 USDT'],False
P-20231018-170950-001-140725167305528-9,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231018-170950-001-140725167305528-33', 'venue_order_id': 'BINANCE-1-33', 'account_id': 'BINANCE-001', 'trade_id': 'T-c30602db568c18bd-79911', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '40.417', 'last_px': '28380.0', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '313c8098-3ad3-4bbf-a724-6d1f8107a82d', 'ts_event': 1697648990000000000, 'ts_init': 1697648990000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231018-170950-001-140725167305528-9', 'commission': '688.22067600 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231018-170950-001-140725167305528-36', 'venue_order_id': 'BINANCE-1-36', 'account_id': 'BINANCE-001', 'trade_id': 'T-c30602db568c18bd-79912', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '40.417', 'last_px': '28380.4', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': 'fcc6be49-3ab2-4f2f-991e-c01554853367', 'ts_event': 1697648990000000000, 'ts_init': 1697648990000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231018-170950-001-140725167305528-9', 'commission': '688.23037608 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140725167305528,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20231018-170950-001-140725167305528-33,O-20231018-170950-001-140725167305528-36,SELL,FLAT,0.000,40.417,1,3,1,False,1697648990000000000,2023-10-18 17:09:50+00:00,1697648990000000000,2023-10-18 17:09:50+00:00,0,28380.0,28380.4,-1.4094432699135138e-05,-1392.61785208 USDT,"['BINANCE-1-33', 'BINANCE-1-36']","['T-c30602db568c18bd-79911', 'T-c30602db568c18bd-79912']",40.417,40.417,['1376.45105208 USDT'],False
P-20231019-144340-001-140725167305528-10,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231019-144340-001-140725167305528-37', 'venue_order_id': 'BINANCE-1-37', 'account_id': 'BINANCE-001', 'trade_id': 'T-f0fe66b38d3fe20d-98044', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '32.259', 'last_px': '28563.1', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': 'fadb985c-7092-445c-8268-c185c166c689', 'ts_event': 1697726620000000000, 'ts_init': 1697726620000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231019-144340-001-140725167305528-10', 'commission': '552.85022574 USDT', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'DataActor-140725167305528', 'instrument_id': 'BTCUSDT-PERP.BINANCE', 'client_order_id': 'O-20231019-144340-001-140725167305528-40', 'venue_order_id': 'BINANCE-1-40', 'account_id': 'BINANCE-001', 'trade_id': 'T-f0fe66b38d3fe20d-98045', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '32.259', 'last_px': '28563.5', 'currency': 'USDT', 'liquidity_side': 'TAKER', 'event_id': '821eb183-c738-4266-b35b-561d017133a6', 'ts_event': 1697726620000000000, 'ts_init': 1697726620000000000, 'reconciliation': False, 'info': {}, 'position_id': 'P-20231019-144340-001-140725167305528-10', 'commission': '552.85796790 USDT', 'causation_id': None}]",[],TRADER-001,DataActor-140725167305528,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20231019-144340-001-140725167305528-37,O-20231019-144340-001-140725167305528-40,SELL,FLAT,0.000,32.259,1,3,1,False,1697726620000000000,2023-10-19 14:43:40+00:00,1697726620000000000,2023-10-19 14:43:40+00:00,0,28563.1,28563.5,-1.400408219000932e-05,-1118.61179364 USDT,"['BINANCE-1-37', 'BINANCE-1-40']","['T-f0fe66b38d3fe20d-98044', 'T-f0fe66b38d3fe20d-98045']",32.259,32.259,['1105.70819364 USDT'],False
