client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,price,time_in_force,expire_time_ns,filled_qty,liquidity_side,avg_px,slippage,commissions,status,is_post_only,is_reduce_only,is_quote_quantity,display_qty,emulation_trigger,trigger_instrument_id,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type
O-20240408-011959-001-000-1,BACKTESTER-001,RangeFVGStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,,BINANCE-001,,LIMIT,BUY,10.930,69472.9,GTC,,0.000,NO_LIQUIDITY_SIDE,,,,CANCELED,False,False,False,,NO_TRIGGER,,OTO,OL-20240408-011959-001-000-1,"['O-20240408-011959-001-000-2', 'O-20240408-011959-001-000-3']",,,,,"['rfvg-a-0005739', 'RANGE_ACCEPTANCE_FVG', 'LONG', 'FVG_LIMIT_ENTRY']",c867eab2-ae09-4367-b090-a53c2f11bfd9,1712539199999000000,1712540399999000000,,
O-20240408-011959-001-000-2,BACKTESTER-001,RangeFVGStrategy-000,BTCUSDT-PERP.BINANCE,,,BINANCE-001,,STOP_MARKET,SELL,10.930,,GTC,,0.000,NO_LIQUIDITY_SIDE,,,,CANCELED,,True,False,,NO_TRIGGER,,OUO,OL-20240408-011959-001-000-1,['O-20240408-011959-001-000-3'],O-20240408-011959-001-000-1,,,,"['rfvg-a-0005739', 'RANGE_ACCEPTANCE_FVG', 'STRUCTURAL_INVALIDATION']",7321bd97-73cd-49a0-b489-d4359e53d40e,1712539199999000000,1712540399999000000,69281.9,DEFAULT
O-20240408-011959-001-000-3,BACKTESTER-001,RangeFVGStrategy-000,BTCUSDT-PERP.BINANCE,,,BINANCE-001,,LIMIT,SELL,10.930,70395.0,GTC,,0.000,NO_LIQUIDITY_SIDE,,,,CANCELED,False,True,False,,NO_TRIGGER,,OUO,OL-20240408-011959-001-000-1,['O-20240408-011959-001-000-2'],O-20240408-011959-001-000-1,,,,"['rfvg-a-0005739', 'RANGE_ACCEPTANCE_FVG', 'EXTERNAL_LIQUIDITY_TARGET']",e9c0202b-00c7-471e-829d-93657a30e71e,1712539199999000000,1712540399999000000,,
O-20240408-070959-001-000-4,BACKTESTER-001,RangeFVGStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,,BINANCE-001,,LIMIT,BUY,22.211,69827.9,GTC,,0.000,NO_LIQUIDITY_SIDE,,,,CANCELED,False,False,False,,NO_TRIGGER,,OTO,OL-20240408-070959-001-000-2,"['O-20240408-070959-001-000-5', 'O-20240408-070959-001-000-6']",,,,,"['rfvg-a-0005879', 'RANGE_ACCEPTANCE_FVG', 'LONG', 'FVG_LIMIT_ENTRY']",3324242a-52b1-46eb-a87d-880db99d3ccf,1712560199999000000,1712561399999000000,,
O-20240408-070959-001-000-5,BACKTESTER-001,RangeFVGStrategy-000,BTCUSDT-PERP.BINANCE,,,BINANCE-001,,STOP_MARKET,SELL,22.211,,GTC,,0.000,NO_LIQUIDITY_SIDE,,,,CANCELED,,True,False,,NO_TRIGGER,,OUO,OL-20240408-070959-001-000-2,['O-20240408-070959-001-000-6'],O-20240408-070959-001-000-4,,,,"['rfvg-a-0005879', 'RANGE_ACCEPTANCE_FVG', 'STRUCTURAL_INVALIDATION']",cb1ce90c-d10b-4b6b-85aa-dfa6c5984c6b,1712560199999000000,1712561399999000000,69776.8,DEFAULT
O-20240408-070959-001-000-6,BACKTESTER-001,RangeFVGStrategy-000,BTCUSDT-PERP.BINANCE,,,BINANCE-001,,LIMIT,SELL,22.211,70395.0,GTC,,0.000,NO_LIQUIDITY_SIDE,,,,CANCELED,False,True,False,,NO_TRIGGER,,OUO,OL-20240408-070959-001-000-2,['O-20240408-070959-001-000-5'],O-20240408-070959-001-000-4,,,,"['rfvg-a-0005879', 'RANGE_ACCEPTANCE_FVG', 'EXTERNAL_LIQUIDITY_TARGET']",3bae1199-9fa7-4bf0-97aa-46b3f3de71d4,1712560199999000000,1712561399999000000,,
O-20240408-073959-001-000-7,BACKTESTER-001,RangeFVGStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,,BINANCE-001,,LIMIT,BUY,9.035,70303.0,GTC,,0.000,NO_LIQUIDITY_SIDE,,,,CANCELED,False,False,False,,NO_TRIGGER,,OTO,OL-20240408-073959-001-000-3,"['O-20240408-073959-001-000-8', 'O-20240408-073959-001-000-9']",,,,,"['rfvg-a-0005891', 'RANGE_ACCEPTANCE_FVG', 'LONG', 'FVG_LIMIT_ENTRY']",459dfb0b-61dd-4397-a0d0-a5cf447ef552,1712561999999000000,1712563199999000000,,
O-20240408-073959-001-000-8,BACKTESTER-001,RangeFVGStrategy-000,BTCUSDT-PERP.BINANCE,,,BINANCE-001,,STOP_MARKET,SELL,9.035,,GTC,,0.000,NO_LIQUIDITY_SIDE,,,,CANCELED,,True,False,,NO_TRIGGER,,OUO,OL-20240408-073959-001-000-3,['O-20240408-073959-001-000-9'],O-20240408-073959-001-000-7,,,,"['rfvg-a-0005891', 'RANGE_ACCEPTANCE_FVG', 'STRUCTURAL_INVALIDATION']",c3a7d6d1-b8de-41ee-9483-57be69fb9859,1712561999999000000,1712563199999000000,70055.4,DEFAULT
O-20240408-073959-001-000-9,BACKTESTER-001,RangeFVGStrategy-000,BTCUSDT-PERP.BINANCE,,,BINANCE-001,,LIMIT,SELL,9.035,71388.0,GTC,,0.000,NO_LIQUIDITY_SIDE,,,,CANCELED,False,True,False,,NO_TRIGGER,,OUO,OL-20240408-073959-001-000-3,['O-20240408-073959-001-000-8'],O-20240408-073959-001-000-7,,,,"['rfvg-a-0005891', 'RANGE_ACCEPTANCE_FVG', 'EXTERNAL_LIQUIDITY_TARGET']",c462b793-6f38-4440-803a-98b2da9bd7a8,1712561999999000000,1712563199999000000,,
O-20240408-080959-001-000-10,BACKTESTER-001,RangeFVGStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,,BINANCE-001,,LIMIT,BUY,9.391,70817.8,GTC,,0.000,NO_LIQUIDITY_SIDE,,,,CANCELED,False,False,False,,NO_TRIGGER,,OTO,OL-20240408-080959-001-000-4,"['O-20240408-080959-001-000-11', 'O-20240408-080959-001-000-12']",,,,,"['rfvg-a-0005903', 'RANGE_ACCEPTANCE_FVG', 'LONG', 'FVG_LIMIT_ENTRY']",8fb628f6-9948-4c2a-92d3-39b0cc4045f2,1712563799999000000,1712564159999000000,,
