client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,account_id,trade_id,position_id,order_side,order_type,last_qty,last_px,currency,commission,liquidity_side,event_id,ts_event,ts_init,info,reconciliation
O-20240409-171200-001-000-1,BACKTESTER-001,SharedAcceptanceStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-001,BINANCE-001,T-8319e1a82bacf4cf-49254,BINANCE-2-001,SELL,MARKET,136.003,3456.30,USDT,282.04030134 USDT,TAKER,91ada09b-0985-46df-827d-9bdeee223b9f,2024-04-09 17:12:00+00:00,2024-04-09 17:12:00+00:00,{},False
O-20240409-171200-001-000-2,BACKTESTER-001,SharedAcceptanceStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-002,BINANCE-001,T-ba3f6ec6b266316b-49262,BINANCE-2-001,BUY,STOP_MARKET,136.003,3478.64,USDT,283.86328555 USDT,TAKER,509393b0-19e7-4ccd-a320-0ab0dd7d42fe,2024-04-09 17:12:20+00:00,2024-04-09 17:12:20+00:00,{},False
O-20240410-202110-001-000-4,BACKTESTER-001,SharedAcceptanceStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BINANCE-001,T-857fec82e020bf28-80474,BINANCE-1-001,BUY,MARKET,20.156,70173.8,USDT,848.65386768 USDT,TAKER,a1341057-8ce1-4d76-b6b6-8d7b42ae8ae5,2024-04-10 20:21:10+00:00,2024-04-10 20:21:10+00:00,{},False
O-20240410-202110-001-000-5,BACKTESTER-001,SharedAcceptanceStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BINANCE-001,T-20b165e6c2ee683a-80506,BINANCE-1-001,SELL,STOP_MARKET,20.156,70094.9,USDT,847.69968264 USDT,TAKER,bc63c144-25dc-4e11-8795-8b85405b3129,2024-04-10 20:22:40+00:00,2024-04-10 20:22:40+00:00,{},False
O-20240412-032810-001-000-7,BACKTESTER-001,SharedAcceptanceStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-004,BINANCE-001,T-e16b7279ebde5be9-116961,BINANCE-2-002,BUY,MARKET,331.602,3538.39,USDT,704.00232047 USDT,TAKER,18455948-4361-4376-b752-0b287e47a2f5,2024-04-12 03:28:10+00:00,2024-04-12 03:28:10+00:00,{},False
O-20240412-032810-001-000-8,BACKTESTER-001,SharedAcceptanceStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-005,BINANCE-001,T-c86a54140e321dd2-117104,BINANCE-2-002,SELL,STOP_MARKET,331.602,3533.64,USDT,703.05725477 USDT,TAKER,307de55c-e67b-4274-87a5-16495b2a7c33,2024-04-12 03:35:20+00:00,2024-04-12 03:35:20+00:00,{},False
O-20240412-044950-001-000-10,BACKTESTER-001,SharedAcceptanceStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-001,BINANCE-001,T-391b93d587c273fb-120184,BINANCE-3-001,BUY,MARKET,7500.7,174.637,USDT,785.93984754 USDT,TAKER,8aca7906-4b13-4e52-960c-1186328c2f0c,2024-04-12 04:49:50+00:00,2024-04-12 04:49:50+00:00,{},False
O-20240412-044950-001-000-11,BACKTESTER-001,SharedAcceptanceStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-002,BINANCE-001,T-d43d6e3c0d46e352-120490,BINANCE-3-001,SELL,STOP_MARKET,7500.7,174.400,USDT,784.87324800 USDT,TAKER,afe4d76e-d45e-4241-8cc4-f6ab778f936a,2024-04-12 05:05:20+00:00,2024-04-12 05:05:20+00:00,{},False
O-20240413-084520-001-000-13,BACKTESTER-001,SharedAcceptanceStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-004,BINANCE-001,T-bafa0bf4bf7b5ceb-154798,BINANCE-3-002,SELL,MARKET,7024.0,150.436,USDT,633.99747840 USDT,TAKER,42da6e19-3ef2-4788-a4d3-2fd122081624,2024-04-13 08:45:20+00:00,2024-04-13 08:45:20+00:00,{},False
O-20240413-084520-001-000-14,BACKTESTER-001,SharedAcceptanceStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-005,BINANCE-001,T-4e4fac4297ff5d04-155201,BINANCE-3-002,BUY,STOP_MARKET,7024.0,150.700,USDT,635.11008000 USDT,TAKER,68db362a-2447-42ff-be49-a09224c88af4,2024-04-13 09:04:40+00:00,2024-04-13 09:04:40+00:00,{},False
O-20240414-051150-001-000-16,BACKTESTER-001,SharedAcceptanceStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BINANCE-001,T-849c14e001716aaa-175657,BINANCE-1-002,BUY,MARKET,18.082,64354.8,USDT,698.19809616 USDT,TAKER,d1abbf30-a601-4ec9-8116-e61adf9ad079,2024-04-14 05:11:50+00:00,2024-04-14 05:11:50+00:00,{},False
O-20240414-051150-001-000-17,BACKTESTER-001,SharedAcceptanceStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BINANCE-001,T-2966b7783924419e-175675,BINANCE-1-002,SELL,STOP_MARKET,18.082,64284.4,USDT,697.43431248 USDT,TAKER,d24cc14f-4194-4294-a4d6-c682d912e165,2024-04-14 05:12:40+00:00,2024-04-14 05:12:40+00:00,{},False
