client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
O-20240409-171200-001-000-1,BACKTESTER-001,SharedAcceptanceStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-001,BINANCE-2-001,BINANCE-001,T-8319e1a82bacf4cf-49254,MARKET,SELL,136.003,GTC,False,False,136.003,TAKER,3456.3,0.0,['282.04030134 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240409-171200-001-000-1,"['O-20240409-171200-001-000-2', 'O-20240409-171200-001-000-3']",,,,,"['ETHUSDT-agg-acceptance-000011', 'BREAKOUT_ACCEPTANCE_CONTINUATION', 'SHORT', 'TEN_SECOND_MARKET_ENTRY']",afd91ccb-9d23-48ef-aa9f-995197610f09,1712682720000000000,1712682720000000000,,,,,,,
O-20240409-171200-001-000-2,BACKTESTER-001,SharedAcceptanceStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-002,BINANCE-2-001,BINANCE-001,T-ba3f6ec6b266316b-49262,STOP_MARKET,BUY,136.003,GTC,True,False,136.003,TAKER,3478.64,4.449999999999818,['283.86328555 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240409-171200-001-000-1,['O-20240409-171200-001-000-3'],O-20240409-171200-001-000-1,,,,"['ETHUSDT-agg-acceptance-000011', 'ACCEPTANCE_RETEST_INVALIDATION']",766710ee-f73e-4d27-b9e6-8f445baf872d,1712682720000000000,1712682740000000000,3474.19,DEFAULT,,,,,
O-20240409-171200-001-000-3,BACKTESTER-001,SharedAcceptanceStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-003,BINANCE-2-001,BINANCE-001,,LIMIT,BUY,136.003,GTC,True,False,0.000,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20240409-171200-001-000-1,['O-20240409-171200-001-000-2'],O-20240409-171200-001-000-1,,,,"['ETHUSDT-agg-acceptance-000011', 'COMPLETED_EXTERNAL_LIQUIDITY_TARGET']",1f51b208-a0be-443a-ba39-3fbd4f7f2ede,1712682720000000000,1712682740000000000,,,,,3414.50,False,
O-20240410-202110-001-000-4,BACKTESTER-001,SharedAcceptanceStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BINANCE-1-001,BINANCE-001,T-857fec82e020bf28-80474,MARKET,BUY,20.156,GTC,False,False,20.156,TAKER,70173.79999999999,0.0,['848.65386768 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240410-202110-001-000-2,"['O-20240410-202110-001-000-5', 'O-20240410-202110-001-000-6']",,,,,"['BTCUSDT-agg-acceptance-000016', 'BREAKOUT_ACCEPTANCE_CONTINUATION', 'LONG', 'TEN_SECOND_MARKET_ENTRY']",67c1d178-047b-4794-978c-5a34d129bac4,1712780470000000000,1712780470000000000,,,,,,,
O-20240410-202110-001-000-5,BACKTESTER-001,SharedAcceptanceStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BINANCE-1-001,BINANCE-001,T-20b165e6c2ee683a-80506,STOP_MARKET,SELL,20.156,GTC,True,False,20.156,TAKER,70094.9,19.80000000000291,['847.69968264 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240410-202110-001-000-2,['O-20240410-202110-001-000-6'],O-20240410-202110-001-000-4,,,,"['BTCUSDT-agg-acceptance-000016', 'ACCEPTANCE_RETEST_INVALIDATION']",78e4269a-de60-4e0e-8b3a-9f0b6c489b7b,1712780470000000000,1712780560000000000,70114.7,DEFAULT,,,,,
O-20240410-202110-001-000-6,BACKTESTER-001,SharedAcceptanceStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-003,BINANCE-1-001,BINANCE-001,,LIMIT,SELL,20.156,GTC,True,False,0.000,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20240410-202110-001-000-2,['O-20240410-202110-001-000-5'],O-20240410-202110-001-000-4,,,,"['BTCUSDT-agg-acceptance-000016', 'COMPLETED_EXTERNAL_LIQUIDITY_TARGET']",a9022cf1-01a7-499e-8946-7c1dfb0070ed,1712780470000000000,1712780560000000000,,,,,71048.3,False,
O-20240412-032810-001-000-7,BACKTESTER-001,SharedAcceptanceStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-004,BINANCE-2-002,BINANCE-001,T-e16b7279ebde5be9-116961,MARKET,BUY,331.602,GTC,False,False,331.602,TAKER,3538.39,0.0,['704.00232047 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240412-032810-001-000-3,"['O-20240412-032810-001-000-8', 'O-20240412-032810-001-000-9']",,,,,"['ETHUSDT-agg-acceptance-000025', 'BREAKOUT_ACCEPTANCE_CONTINUATION', 'LONG', 'TEN_SECOND_MARKET_ENTRY']",5f98a88d-2aba-4254-ae5b-a7f8e5e90384,1712892490000000000,1712892490000000000,,,,,,,
O-20240412-032810-001-000-8,BACKTESTER-001,SharedAcceptanceStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-005,BINANCE-2-002,BINANCE-001,T-c86a54140e321dd2-117104,STOP_MARKET,SELL,331.602,GTC,True,False,331.602,TAKER,3533.64,0.5799999999999272,['703.05725477 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240412-032810-001-000-3,['O-20240412-032810-001-000-9'],O-20240412-032810-001-000-7,,,,"['ETHUSDT-agg-acceptance-000025', 'ACCEPTANCE_RETEST_INVALIDATION']",f8b62dd4-831f-4aad-9aca-83b20ba1c5bd,1712892490000000000,1712892920000000000,3534.22,DEFAULT,,,,,
O-20240412-032810-001-000-9,BACKTESTER-001,SharedAcceptanceStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-006,BINANCE-2-002,BINANCE-001,,LIMIT,SELL,331.602,GTC,True,False,0.000,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20240412-032810-001-000-3,['O-20240412-032810-001-000-8'],O-20240412-032810-001-000-7,,,,"['ETHUSDT-agg-acceptance-000025', 'COMPLETED_EXTERNAL_LIQUIDITY_TARGET']",088719eb-0cd3-408f-ab88-1c28dae07c1e,1712892490000000000,1712892920000000000,,,,,3578.46,False,
O-20240412-044950-001-000-10,BACKTESTER-001,SharedAcceptanceStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-001,BINANCE-3-001,BINANCE-001,T-391b93d587c273fb-120184,MARKET,BUY,7500.7,GTC,False,False,7500.7,TAKER,174.637,0.0,['785.93984754 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240412-044950-001-000-4,"['O-20240412-044950-001-000-11', 'O-20240412-044950-001-000-12']",,,,,"['SOLUSDT-agg-acceptance-000021', 'BREAKOUT_ACCEPTANCE_CONTINUATION', 'LONG', 'TEN_SECOND_MARKET_ENTRY']",711e7c80-3d6b-49b6-818e-d1872b3df6e5,1712897390000000000,1712897390000000000,,,,,,,
O-20240412-044950-001-000-11,BACKTESTER-001,SharedAcceptanceStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-002,BINANCE-3-001,BINANCE-001,T-d43d6e3c0d46e352-120490,STOP_MARKET,SELL,7500.7,GTC,True,False,7500.7,TAKER,174.4,0.08699999999998909,['784.87324800 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240412-044950-001-000-4,['O-20240412-044950-001-000-12'],O-20240412-044950-001-000-10,,,,"['SOLUSDT-agg-acceptance-000021', 'ACCEPTANCE_RETEST_INVALIDATION']",9e93b81f-4b27-461b-b898-d325a260e4b1,1712897390000000000,1712898320000000000,174.487,DEFAULT,,,,,
O-20240412-044950-001-000-12,BACKTESTER-001,SharedAcceptanceStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-003,BINANCE-3-001,BINANCE-001,,LIMIT,SELL,7500.7,GTC,True,False,0.0,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20240412-044950-001-000-4,['O-20240412-044950-001-000-11'],O-20240412-044950-001-000-10,,,,"['SOLUSDT-agg-acceptance-000021', 'COMPLETED_EXTERNAL_LIQUIDITY_TARGET']",bbf310f6-bd9d-452a-b6ae-b943cd653556,1712897390000000000,1712898320000000000,,,,,175.888,False,
