run_id,variant,segment,start_ns,end_ns,calendar_days,starting_nav,ending_nav,total_return,daily_geometric_return,trades,wins,losses,win_rate,profit_factor,expectancy_r,max_drawdown,maximum_consecutive_losses,largest_profit_share,reversal_trades,continuation_trades,rejected_orders,time_exits,missing_feature_bars,open_position_at_stop,native_account_final,native_expected_final,accounting_error,implementation_status
baseline:week-a,baseline,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,108044.64197385001,0.0804464197385002,0.01111478781152564,6,4,2,0.6666666666666666,2.245369891179914,0.4501634397106769,0.05910881699206749,2,0.35727033402784053,6,0,0,2,0,False,112054.21033803,112054.21033803,0.0,OK
baseline:week-b,baseline,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,96999.2063575,-0.03000793642499988,-0.004343025867980077,1,0,1,0.0,0.0,-1.0002774753261754,0.03000793642499988,1,,0,1,0,0,0,False,97772.1139258,97772.1139258,0.0,OK
baseline:week-c,baseline,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,100416.26091900001,0.0041626091899999995,0.0005936003252458022,3,1,2,0.3333333333333333,1.0659947626863162,0.08049552126770394,0.05910103826457247,2,1.0,2,1,0,0,0,False,102713.83343843,102713.83343843,0.0,OK
no-flow:week-a,no-flow,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,104804.28138012502,0.048042813801250084,0.006726009819097101,7,4,3,0.5714285714285714,1.5034066221368485,0.2430333369177852,0.08732798106431372,3,0.3611663162180208,7,0,0,2,0,False,109648.05925553,109648.05925553,0.0,OK
no-flow:week-b,no-flow,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,97000.402252875,-0.029995977471249935,-0.004341272252337602,1,0,1,0.0,0.0,-0.9998833931477168,0.029995977471249935,1,,0,1,0,0,0,False,97779.93580869,97779.93580869,0.0,OK
no-flow:week-c,no-flow,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,92147.68270265001,-0.07852317297349987,-0.011614545629153983,4,1,3,0.25,0.10646837842902711,-0.6696279257951326,0.07852317297349987,2,1.0,3,1,0,1,0,False,95576.37915262999,95576.37915263,-1.4551915228366852e-11,OK
no-acceptance-confirmation:week-a,no-acceptance-confirmation,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,95652.51334984999,-0.04347486650150012,-0.006329627817708405,10,4,6,0.4,0.7528268751601048,-0.12987100400597332,0.08969237800625007,3,0.36822456880195675,9,1,0,2,0,False,102317.19372252999,102317.19372253,-1.4551915228366852e-11,OK
no-acceptance-confirmation:week-b,no-acceptance-confirmation,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,96999.2063575,-0.03000793642499988,-0.004343025867980077,1,0,1,0.0,0.0,-1.0002774753261754,0.03000793642499988,1,,0,1,0,0,0,False,97772.1139258,97772.1139258,0.0,OK
no-acceptance-confirmation:week-c,no-acceptance-confirmation,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,97404.3139691,-0.02595686030900002,-0.003750048803807804,4,1,3,0.25,0.7153179307146816,-0.189613230333608,0.05909942835683901,2,1.0,2,2,0,0,0,False,100448.15486261,100448.15486261,0.0,OK
no-reexpansion-confirmation:week-a,no-reexpansion-confirmation,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,104527.70914375,0.04527709143750003,0.006346052768719579,5,3,2,0.6,1.732585148465575,0.3158791618120326,0.030003242109750028,1,0.46939816280616786,5,0,0,1,0,False,107935.46734409,107935.46734409,0.0,OK
no-reexpansion-confirmation:week-b,no-reexpansion-confirmation,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,91269.60850807499,-0.08730391491925005,-0.01296554633211322,3,0,3,0.0,0.0,-0.9997435534590545,0.08730391491925005,3,,0,3,0,0,0,False,93994.76816595,93994.76816595,0.0,OK
no-reexpansion-confirmation:week-c,no-reexpansion-confirmation,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,104360.06469085002,0.043600646908500185,0.006115321862770973,4,2,2,0.5,1.6651385444037086,0.3876580385925579,0.05910031566216567,2,0.6402110851818621,2,2,0,0,0,False,107693.93229545,107693.93229545,0.0,OK
