total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
100000.00000000,2488.17567775,97511.82432225,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '2488.17567775', 'maintenance': '0.00000000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
100000.00000000,2488.17567775,97511.82432225,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '2488.17567775', 'maintenance': '0.00000000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
100000.00000000,2488.17567775,97511.82432225,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '2488.17567775', 'maintenance': '0.00000000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99523.01406624,745.29052150,98777.72354474,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '745.29052150', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99523.01406624,745.29052150,98777.72354474,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '745.29052150', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99523.01406624,745.29052150,98777.72354474,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '745.29052150', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
97000.09309280,0.00000000,97000.09309280,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
97000.09309280,0.00000000,97000.09309280,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
96684.28812256,493.44526600,96190.84285656,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '493.44526600', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96684.28812256,493.44526600,96190.84285656,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '493.44526600', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96684.28812256,493.44526600,96190.84285656,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '493.44526600', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
100859.88314336,0.00000000,100859.88314336,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
100859.88314336,0.00000000,100859.88314336,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
100543.58734592,494.21218350,100049.37516242,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '494.21218350', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
100543.58734592,494.21218350,100049.37516242,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '494.21218350', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
100543.58734592,494.21218350,100049.37516242,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '494.21218350', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
97834.14496160,0.00000000,97834.14496160,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
97834.14496160,0.00000000,97834.14496160,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
97834.14496160,2300.33388750,95533.81107410,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '2300.33388750', 'maintenance': '0.00000000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
97098.06124224,1150.13081150,95947.93043074,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1150.13081150', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
97098.06124224,1150.13081150,95947.93043074,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1150.13081150', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
97098.06124224,1150.13081150,95947.93043074,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1150.13081150', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
101900.02405316,0.00000000,101900.02405316,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
101900.02405316,0.00000000,101900.02405316,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
101508.27945156,612.10094000,100896.17851156,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '612.10094000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
101508.27945156,612.10094000,100896.17851156,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '612.10094000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
101508.27945156,612.10094000,100896.17851156,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '612.10094000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
98843.13398308,0.00000000,98843.13398308,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
98843.13398308,0.00000000,98843.13398308,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
98634.90183148,325.36273688,98309.53909460,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '325.36273688', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
98634.90183148,325.36273688,98309.53909460,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '325.36273688', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
98634.90183148,325.36273688,98309.53909460,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '325.36273688', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
95878.06842868,0.00000000,95878.06842868,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
95878.06842868,0.00000000,95878.06842868,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
95695.46204004,285.32248225,95410.13955779,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '285.32248225', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
95695.46204004,285.32248225,95410.13955779,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '285.32248225', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
95695.46204004,285.32248225,95410.13955779,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '285.32248225', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
93002.15329508,0.00000000,93002.15329508,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
93002.15329508,0.00000000,93002.15329508,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
92769.89526284,362.90317538,92406.99208746,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '362.90317538', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
92769.89526284,362.90317538,92406.99208746,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '362.90317538', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
92769.89526284,362.90317538,92406.99208746,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '362.90317538', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
90212.43545612,0.00000000,90212.43545612,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
