trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,CandidateStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20220202-122500-001-000-4,O-20220202-122500-001-000-5,SELL,FLAT,0.000,15.452,1643804700000000000,2022-02-02 12:25:00+00:00,1643806080000000000,2022-02-02 12:48:00+00:00,1380000000000.0,38586.1,38718.4,['955.60730720 USDT'],-0.00343,-2999.90690720 USDT,True
BACKTESTER-001,CandidateStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20220203-162000-001-000-7,O-20220203-162000-001-000-9,SELL,FLAT,0.000,10.672,1643905200000000000,2022-02-03 16:20:00+00:00,1643907900000000000,2022-02-03 17:05:00+00:00,2700000000000.0,36989.9,36584.0,['471.97474944 USDT'],0.01097,3859.79005056 USDT,True
BACKTESTER-001,CandidateStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20220207-132500-001-000-10,O-20220207-132500-001-000-11,SELL,FLAT,0.000,9.254,1644240300000000000,2022-02-07 13:25:00+00:00,1644244380000000000,2022-02-07 14:33:00+00:00,4080000000000.0,42724.2,42982.6,['634.50458176 USDT'],-0.00605,-3025.73818176 USDT,True
BACKTESTER-001,CandidateStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20220210-105000-001-000-13,O-20220210-105000-001-000-15,BUY,FLAT,0.000,20.647,1644490200000000000,2022-02-10 10:50:00+00:00,1644492240000000000,2022-02-10 11:24:00+00:00,2040000000000.0,44563.6,44814.1,['1106.19440844 USDT'],0.00562,4065.87909156 USDT,True
BACKTESTER-001,CandidateStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20220214-125000-001-000-16,O-20220214-125000-001-000-17,SELL,FLAT,0.000,11.572,1644843000000000000,2022-02-14 12:50:00+00:00,1644843360000000000,2022-02-14 12:56:00+00:00,360000000000.0,42316.0,42512.3,['785.30647008 USDT'],-0.00464,-3056.89007008 USDT,True
BACKTESTER-001,CandidateStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20220222-140500-001-000-19,O-20220222-140500-001-000-20,SELL,FLAT,0.000,6.905,1645538700000000000,2022-02-22 14:05:00+00:00,1645541640000000000,2022-02-22 14:54:00+00:00,2940000000000.0,37695.9,38064.700000000004,['418.50155440 USDT'],-0.00978,-2965.06555440 USDT,True
BACKTESTER-001,CandidateStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20220224-144000-001-000-22,O-20220224-144000-001-000-23,SELL,FLAT,0.000,6.403,1645713600000000000,2022-02-24 14:40:00+00:00,1645716060000000000,2022-02-24 15:21:00+00:00,2460000000000.0,35648.6,36040.4,['367.21973360 USDT'],-0.01099,-2875.91513360 USDT,True
BACKTESTER-001,CandidateStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20220315-144000-001-000-25,O-20220315-144000-001-000-26,SELL,FLAT,0.000,7.449,1647355200000000000,2022-03-15 14:40:00+00:00,1647362760000000000,2022-03-15 16:46:00+00:00,7560000000000.0,38974.700000000004,39286.6,['466.37473896 USDT'],-0.008,-2789.71783896 USDT,True
BACKTESTER-001,CandidateStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20220316-141000-001-000-28,O-20220316-141000-001-000-29,SELL,FLAT,0.000,3.882,1647439800000000000,2022-03-16 14:10:00+00:00,1647440220000000000,2022-03-16 14:17:00+00:00,420000000000.0,40464.899999999994,41096.700000000004,['253.29770496 USDT'],-0.01561,-2705.94530496 USDT,True
BACKTESTER-001,CandidateStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20220323-125500-001-000-31,O-20220323-125500-001-000-32,SELL,FLAT,0.000,13.180,1648040100000000000,2022-03-23 12:55:00+00:00,1648040340000000000,2022-03-23 12:59:00+00:00,240000000000.0,42289.100000000006,42420.5,['893.17802240 USDT'],-0.00311,-2625.03002240 USDT,True
