run_id,variant,segment,start_ns,end_ns,calendar_days,starting_nav,ending_nav,total_return,daily_geometric_return,trades,wins,losses,win_rate,profit_factor,expectancy_r,max_drawdown,maximum_consecutive_losses,largest_profit_share,reversal_trades,continuation_trades,rejected_orders,time_exits,missing_feature_bars,open_position_at_stop,native_account_final,native_expected_final,accounting_error,implementation_status
baseline:week-a,baseline,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,100000.0,0.0,0.0,0,0,0,,,,0.0,0,,0,0,0,0,0,False,100000.0,100000.0,0.0,OK
baseline:week-b,baseline,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,100000.0,0.0,0.0,0,0,0,,,,0.0,0,,0,0,0,0,0,False,100000.0,100000.0,0.0,OK
baseline:week-c,baseline,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,100000.0,0.0,0.0,0,0,0,,,,0.0,0,,0,0,0,0,0,False,100000.0,100000.0,0.0,OK
no-retest:week-a,no-retest,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,100510.863267725,0.005108632677250036,0.000728211858413319,2,1,1,0.5,1.1643805889961618,0.10324953251541358,0.029992738908003913,1,1.0,2,0,0,0,0,False,102968.41815899,102968.41815899,0.0,OK
no-retest:week-b,no-retest,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,97000.972425,-0.029990275750000017,-0.0043404361800720714,1,0,1,0.0,0.0,-0.9997042366209253,0.029990275750000017,1,,1,0,0,0,0,False,97906.685382,97906.685382,0.0,OK
no-retest:week-c,no-retest,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,100000.0,0.0,0.0,0,0,0,,,,0.0,0,,0,0,0,0,0,False,100000.0,100000.0,0.0,OK
range-midpoint:week-a,range-midpoint,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,100000.0,0.0,0.0,0,0,0,,,,0.0,0,,0,0,0,0,0,False,100000.0,100000.0,0.0,OK
range-midpoint:week-b,range-midpoint,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,100000.0,0.0,0.0,0,0,0,,,,0.0,0,,0,0,0,0,0,False,100000.0,100000.0,0.0,OK
range-midpoint:week-c,range-midpoint,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,100000.0,0.0,0.0,0,0,0,,,,0.0,0,,0,0,0,0,0,False,100000.0,100000.0,0.0,OK
no-flow:week-a,no-flow,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,103618.671013425,0.03618671013425012,0.0050911086945077955,1,1,0,1.0,inf,1.2062584596703778,0.0,0,1.0,1,0,0,0,0,False,104739.12313795001,104739.12313795,1.4551915228366852e-11,OK
no-flow:week-b,no-flow,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,100000.0,0.0,0.0,0,0,0,,,,0.0,0,,0,0,0,0,0,False,100000.0,100000.0,0.0,OK
no-flow:week-c,no-flow,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,100000.0,0.0,0.0,0,0,0,,,,0.0,0,,0,0,0,0,0,False,100000.0,100000.0,0.0,OK
