variant,scenario_id,ts_event_ns,client_order_id,order_side,last_price,last_quantity,native_commission,extra_cost_to_composite_model,composite_cost_rate
baseline,session-sweep-2f8987105de84879e1,1641834300000000000,O-20220110-170500-09-000-1,2,41736.2,6.288,47.23870061,149.58921859,0.00075
baseline,session-sweep-2f8987105de84879e1,1641835740000000000,O-20220110-170500-09-000-3,1,40854.3,6.288,51.37836768,141.29051112000002,0.00075
baseline,session-sweep-37c8fb64932fcf31d0,1642268040000000000,O-20220115-173400-09-000-4,2,43325.0,17.282,134.773677,426.78331049999997,0.00075
baseline,session-sweep-37c8fb64932fcf31d0,1642268760000000000,O-20220115-173400-09-000-5,1,43442.5,17.282,135.1391913,427.94077245,0.00075
baseline,session-sweep-651141ef64c1438edf,1642350900000000000,O-20220116-163500-09-000-7,2,43339.5,18.686,145.77154146,461.60988129,0.00075
baseline,session-sweep-651141ef64c1438edf,1642358520000000000,O-20220116-163500-09-000-9,1,42970.6,18.686,160.58972632,441.62174738,0.00075
baseline,session-sweep-c004d2dc422ff81205,1642581780000000000,O-20220119-084300-09-000-10,1,41311.2,12.343,91.78274549,290.64536071000003,0.00075
baseline,session-sweep-c004d2dc422ff81205,1642590360000000000,O-20220119-084300-09-000-12,2,41816.3,12.343,103.22771818,283.87622499500003,0.00075
baseline,session-sweep-8f0655e919337af8b0,1644249840000000000,O-20220207-160400-09-000-13,2,43709.4,11.766,92.57126407,293.14233623,0.00075
baseline,session-sweep-8f0655e919337af8b0,1644251760000000000,O-20220207-160400-09-000-14,1,43932.2,11.766,93.04312774,294.63657115999996,0.00075
baseline,session-sweep-b73db0d77f16adbf7c,1644485700000000000,O-20220210-093500-09-000-16,2,44315.9,21.526,171.70993141,543.7481161400001,0.00075
baseline,session-sweep-b73db0d77f16adbf7c,1644487200000000000,O-20220210-093500-09-000-17,1,44402.3,21.526,172.04470376,544.80822859,0.00075
baseline,session-sweep-a3e9c6f4966f2f68f6,1645114320000000000,O-20220217-161200-09-000-19,1,41983.4,6.59,49.80070908,157.70224542,0.00075
baseline,session-sweep-a3e9c6f4966f2f68f6,1645121700000000000,O-20220217-161200-09-000-20,2,41561.5,6.59,49.3002513,156.11746244999998,0.00075
baseline,session-sweep-ac36c609e01ec74f36,1646068140000000000,O-20220228-170900-09-000-22,2,40856.1,21.625,159.03236925,503.60250262499994,0.00075
baseline,session-sweep-ac36c609e01ec74f36,1646068860000000000,O-20220228-170900-09-000-23,1,40938.0,21.625,159.351165,504.61202249999997,0.00075
baseline,session-sweep-d7748dde3f99d95690,1646323740000000000,O-20220303-160900-09-000-25,1,42581.8,7.275,55.7608671,176.57607915,0.00075
baseline,session-sweep-d7748dde3f99d95690,1646328240000000000,O-20220303-160900-09-000-26,2,42232.4,7.275,55.3033278,175.1272047,0.00075
baseline,session-sweep-5d81fb4707483ce8a3,1646330820000000000,O-20220303-180700-09-000-28,1,42490.899999999994,11.361,86.89304068,275.161295495,0.00075
baseline,session-sweep-5d81fb4707483ce8a3,1646332380000000000,O-20220303-180700-09-000-29,2,42297.9,11.361,86.49835954,273.9114718850001,0.00075
baseline,session-sweep-750b734ac7d287b054,1646411940000000000,O-20220304-163900-09-000-31,1,40747.6,9.569,70.18448119,222.25085711,0.00075
baseline,session-sweep-750b734ac7d287b054,1646420640000000000,O-20220304-163900-09-000-32,2,40513.100000000006,9.569,69.7805737,220.97181672500005,0.00075
baseline,session-sweep-0d634947029d49a412,1646813100000000000,O-20220309-080500-09-000-34,2,41709.6,7.659,57.50168875,182.08868105,0.00075
baseline,session-sweep-0d634947029d49a412,1646815440000000000,O-20220309-080500-09-000-35,1,42004.899999999994,7.659,57.90879524,183.37785158499995,0.00075
baseline,session-sweep-e62e93ee5339fe4d0b,1648404840000000000,O-20220327-181400-09-000-37,2,44892.1,25.214,203.74369369,645.1883633600002,0.00075
baseline,session-sweep-e62e93ee5339fe4d0b,1648405320000000000,O-20220327-181400-09-000-38,1,44930.2,17.604,142.37122334,450.8422072599999,0.00075
baseline,session-sweep-e62e93ee5339fe4d0b,1648405320000000000,O-20220327-181400-09-000-38,1,44930.3,7.61,61.54552494,194.89416231,0.00075
baseline,session-sweep-40bfd1d1293a75f85c,1649693580000000000,O-20220411-161300-09-000-40,1,40721.8,8.412,61.65932069,195.25451551000006,0.00075
baseline,session-sweep-40bfd1d1293a75f85c,1649694600000000000,O-20220411-161300-09-000-41,2,40475.9,8.412,61.28698874,194.07546436000004,0.00075
baseline,session-sweep-c94e9c2870637fa999,1650472200000000000,O-20220420-163000-09-000-43,1,41180.8,10.474,77.63898586,245.85678854000005,0.00075
baseline,session-sweep-c94e9c2870637fa999,1650480060000000000,O-20220420-163000-09-000-44,2,41003.5,10.474,77.30471862,244.79827562999998,0.00075
baseline,session-sweep-59fed3b0be5bdb3ca4,1651056420000000000,O-20220427-104700-09-000-46,2,39025.100000000006,15.697,110.26385905,349.1688869750001,0.00075
baseline,session-sweep-59fed3b0be5bdb3ca4,1651061160000000000,O-20220427-104700-09-000-47,1,39121.2,15.697,110.53538575,350.02872155,0.00075
baseline,session-sweep-43c8b885f003b9dd08,1651169400000000000,O-20220428-181000-09-000-49,2,40162.899999999994,8.395,60.69015819,192.18550093499996,0.00075
baseline,session-sweep-43c8b885f003b9dd08,1651180200000000000,O-20220428-211000-09-000-52,1,39930.0,8.395,60.338223,191.07103949999998,0.00075
baseline,session-sweep-a31bc61185dcd1d3b6,1651255560000000000,O-20220429-180600-09-000-53,1,38632.1,13.049,90.73984912,287.34285555499997,0.00075
baseline,session-sweep-a31bc61185dcd1d3b6,1651256520000000000,O-20220429-180600-09-000-54,2,38506.1,13.049,90.4438978,286.405676375,0.00075
baseline,session-sweep-bd960a66affccc0219,1652140980000000000,O-20220510-000300-09-000-56,1,30385.900000000005,4.378,23.94530464,75.82679801000003,0.00075
baseline,session-sweep-bd960a66affccc0219,1652142480000000000,O-20220510-000300-09-000-57,2,29899.699999999997,4.378,23.56215959,74.61350535999999,0.00075
baseline,session-sweep-54ab6b1069ec4f6fd7,1652264400000000000,O-20220511-102000-09-000-59,2,31806.899999999998,10.871,62.23910578,197.09050164500002,0.00075
baseline,session-sweep-54ab6b1069ec4f6fd7,1652266500000000000,O-20220511-102000-09-000-60,1,31966.700000000004,10.871,62.55179923,198.08069754500008,0.00075
baseline,session-sweep-0468bd363d26509a87,1652834340000000000,O-20220518-003900-09-000-62,2,30562.8,11.697,64.34875289,203.77105081,0.00075
baseline,session-sweep-0468bd363d26509a87,1652839140000000000,O-20220518-003900-09-000-64,1,30052.4,11.697,70.30458456,193.33760754000002,0.00075
baseline,session-sweep-bb639506d2e299552c,1654510200000000000,O-20220606-101000-09-000-65,2,31396.6,17.709,100.08043009,316.92136196,0.00075
baseline,session-sweep-bb639506d2e299552c,1654512360000000000,O-20220606-101000-09-000-66,1,31482.300000000003,17.709,100.35360913,317.78642889500003,0.00075
baseline,session-sweep-4156da2942aacd5a61,1655079780000000000,O-20220613-002300-09-000-68,1,26804.4,5.804,28.00309277,88.67646043000003,0.00075
baseline,session-sweep-4156da2942aacd5a61,1655081280000000000,O-20220613-002300-09-000-69,2,26451.2,5.804,27.63409766,87.50797594000001,0.00075
baseline,session-sweep-d89a93a2364387de6b,1655319120000000000,O-20220615-185200-09-000-71,2,21587.2,6.349,24.6702839,78.12256570000002,0.00075
baseline,session-sweep-d89a93a2364387de6b,1655321220000000000,O-20220615-185200-09-000-72,1,21903.2,6.349,25.03141502,79.26614758000001,0.00075
baseline,session-sweep-6b9e0263256d342407,1655720040000000000,O-20220620-101400-09-000-74,2,20545.6,13.771,50.92802237,161.27207083000002,0.00075
baseline,session-sweep-6b9e0263256d342407,1655721660000000000,O-20220620-101400-09-000-75,1,20670.6,13.771,51.23786987,162.25325458000003,0.00075
baseline,session-sweep-4ae1a3f4451ee433b7,1655857440000000000,O-20220622-002400-09-000-77,1,20629.5,14.826,55.05353406,174.33619119,0.00075
baseline,session-sweep-4ae1a3f4451ee433b7,1655859300000000000,O-20220622-002400-09-000-78,2,20519.9,14.826,54.76104673,173.40998132,0.00075
baseline,session-sweep-0b4ce102cee75384df,1656002880000000000,O-20220623-164800-09-000-80,1,20324.1,19.752,72.25949218,228.82172522,0.00075
baseline,session-sweep-0b4ce102cee75384df,1656003660000000000,O-20220623-164800-09-000-81,2,20252.3,19.752,72.00421733,228.01335486999997,0.00075
baseline,session-sweep-f887e66c83917edcfb,1656318180000000000,O-20220627-082300-09-000-83,2,21366.1,30.798,118.4459666,375.0788942499999,0.00075
baseline,session-sweep-f887e66c83917edcfb,1656319080000000000,O-20220627-082300-09-000-84,1,21397.7,30.798,118.62114563,375.63362781999996,0.00075
baseline,session-sweep-cf0f0fc43bd5c89d31,1657392960000000000,O-20220709-185600-09-000-86,2,21751.3,21.538,84.32630989,267.03331466,0.00075
baseline,session-sweep-cf0f0fc43bd5c89d31,1657394040000000000,O-20220709-185600-09-000-88,1,21547.3,21.538,92.81714948,255.24716107,0.00075
baseline,session-sweep-aeba9d9eb8aac8a1d4,1657814880000000000,O-20220714-160800-09-000-89,2,20326.7,11.016,40.3054069,127.63378850000001,0.00075
baseline,session-sweep-aeba9d9eb8aac8a1d4,1657819320000000000,O-20220714-160800-09-000-90,1,20478.7,11.016,40.60680466,128.58821473999998,0.00075
baseline,session-sweep-c6398e503c76f83e47,1657877820000000000,O-20220715-093700-09-000-92,2,20920.5,26.694,100.52132886,318.31754139,0.00075
baseline,session-sweep-c6398e503c76f83e47,1657888620000000000,O-20220715-123700-09-000-95,1,20899.1,26.694,100.41850357,317.99192798,0.00075
baseline,session-sweep-89a4126831d4dace01,1658278920000000000,O-20220720-010200-09-000-96,1,23059.2,10.971,45.53684698,144.20001542,0.00075
baseline,session-sweep-89a4126831d4dace01,1658283900000000000,O-20220720-010200-09-000-98,2,23380.2,10.971,51.30083484,141.07729581,0.00075
baseline,session-sweep-34b4f1276c56a4bf74,1658597220000000000,O-20220723-172700-09-000-99,1,22151.9,11.929,47.56500272,150.622508605,0.00075
baseline,session-sweep-34b4f1276c56a4bf74,1658598360000000000,O-20220723-172700-09-000-100,2,22014.2,11.929,47.26933052,149.68621333000004,0.00075
baseline,session-sweep-b83c6e929295dc9b07,1658937900000000000,O-20220727-160500-09-000-102,2,21501.6,27.171,105.15959525,333.00538494999995,0.00075
baseline,session-sweep-b83c6e929295dc9b07,1658938440000000000,O-20220727-160500-09-000-103,1,21542.1,27.171,105.35767184,333.63262748499994,0.00075
baseline,session-sweep-2099de10222efd897f,1660733940000000000,O-20220817-105900-09-000-105,1,23790.0,24.163,103.4707986,327.6575289,0.00075
baseline,session-sweep-2099de10222efd897f,1660735620000000000,O-20220817-105900-09-000-106,2,23746.3,24.163,103.28073244,327.055652735,0.00075
baseline,session-sweep-bdead044147a58bb59,1661882040000000000,O-20220830-175400-09-000-108,1,19664.8,24.529,86.82441826,274.94399114,0.00075
baseline,session-sweep-bdead044147a58bb59,1661887440000000000,O-20220830-175400-09-000-110,2,20065.5,24.529,98.4373299,270.702657225,0.00075
baseline,session-sweep-dfacab5d67d3c3c867,1662198720000000000,O-20220903-095200-09-000-111,1,19764.2,37.805,134.49340458,425.89578116999996,0.00075
baseline,session-sweep-dfacab5d67d3c3c867,1662209520000000000,O-20220903-125200-09-000-114,2,19830.0,34.627,123.5976138,391.3924437,0.00075
baseline,session-sweep-dfacab5d67d3c3c867,1662209520000000000,O-20220903-125200-09-000-114,2,19829.9,3.178,11.343496,35.921070650000004,0.00075
baseline,session-sweep-a5c8fc62ad682b04de,1662741840000000000,O-20220909-164400-09-000-115,2,21245.5,11.427,43.69901913,138.380227245,0.00075
baseline,session-sweep-a5c8fc62ad682b04de,1662743640000000000,O-20220909-164400-09-000-116,1,21403.7,11.427,44.02441438,139.410645545,0.00075
baseline,session-sweep-f5935f4906b622b6df,1662745020000000000,O-20220909-173700-09-000-118,2,21270.0,18.171,69.5694906,220.3033869,0.00075
baseline,session-sweep-f5935f4906b622b6df,1662755820000000000,O-20220909-203700-09-000-121,1,21289.0,18.171,69.63163542,220.50017882999998,0.00075
baseline,session-sweep-a005407b4ec24db3bd,1663834020000000000,O-20220922-080700-09-000-122,2,18911.2,20.862,71.01458179,224.87950901,0.00075
baseline,session-sweep-a005407b4ec24db3bd,1663834980000000000,O-20220922-080700-09-000-123,1,18982.5,20.862,71.2823247,225.72736154999998,0.00075
baseline,session-sweep-b64381e2c662b8ce1f,1665449580000000000,O-20221011-005300-09-000-125,1,19046.2,23.599,80.90482928,256.19862607,0.00075
baseline,session-sweep-b64381e2c662b8ce1f,1665452460000000000,O-20221011-005300-09-000-126,2,18989.2,23.599,80.66270354,255.43189456000005,0.00075
baseline,session-sweep-6bb731b8d504758230,1666714440000000000,O-20221025-161400-09-000-128,2,19716.6,15.495,54.99156906,174.13996868999996,0.00075
baseline,session-sweep-6bb731b8d504758230,1666717260000000000,O-20221025-161400-09-000-129,1,19813.3,15.495,55.26127503,174.99403759499995,0.00075
baseline,session-sweep-52127863cf6e6ad9fa,1668335160000000000,O-20221113-102600-09-000-131,1,16578.6,32.371,96.59985491,305.89954054000003,0.00075
