variant,scenario_id,ts_event_ns,client_order_id,order_side,last_price,last_quantity,native_commission,extra_cost_to_composite_model,composite_cost_rate
baseline,opening-drive-044e5e9fa677c3531d,1641144420000000000,O-20220102-172700-09-000-1,1,47625.0,14.693,125.9557425,398.85985124999996,0.00075
baseline,opening-drive-044e5e9fa677c3531d,1641145740000000000,O-20220102-172700-09-000-2,2,47492.2,14.693,125.60452103,397.7476499199999,0.00075
baseline,opening-drive-b2ca986bc77056b47a,1641226860000000000,O-20220103-162100-09-000-4,2,46370.700000000004,10.712,89.41012891,283.13207489000007,0.00075
baseline,opening-drive-b2ca986bc77056b47a,1641229440000000000,O-20220103-162100-09-000-5,1,46572.6,10.712,89.79942442,284.36484398000005,0.00075
baseline,opening-drive-f9a0b2ea00949bc658,1641229920000000000,O-20220103-171200-09-000-7,2,46502.899999999994,19.591,163.9868965,519.291838925,0.00075
baseline,opening-drive-f9a0b2ea00949bc658,1641230820000000000,O-20220103-171200-09-000-8,1,46577.2,19.591,164.24890654,520.12153736,0.00075
baseline,opening-drive-c6e302ba58c9df673b,1641373560000000000,O-20220105-090600-09-000-10,1,46652.5,17.757,149.11351965,472.19281222500007,0.00075
baseline,opening-drive-c6e302ba58c9df673b,1641381720000000000,O-20220105-090600-09-000-11,2,46568.2,17.757,148.84407493,471.33957062,0.00075
baseline,opening-drive-d2a7bcfaa909215063,1641661920000000000,O-20220108-171200-09-000-13,2,41196.899999999994,14.333,106.28553019,336.5708455849999,0.00075
baseline,opening-drive-d2a7bcfaa909215063,1641662340000000000,O-20220108-171200-09-000-14,1,41320.3,14.333,106.60389478,337.57900014500007,0.00075
baseline,opening-drive-92e1fa2da5332b8594,1641663060000000000,O-20220108-173100-09-000-16,2,41236.8,19.273,143.05623235,453.01140245000005,0.00075
baseline,opening-drive-92e1fa2da5332b8594,1641666360000000000,O-20220108-173100-09-000-17,1,41308.5,19.273,143.30496969,453.79907068499995,0.00075
baseline,opening-drive-c4eea5b887e89b9b30,1642095960000000000,O-20220113-174600-09-000-19,2,42712.2,11.127,85.54655689,270.89743016,0.00075
baseline,opening-drive-c4eea5b887e89b9b30,1642097100000000000,O-20220113-174600-09-000-20,1,42872.6,11.127,85.86781564,271.91474951,0.00075
baseline,opening-drive-7b93f63e858aea1fd1,1643016060000000000,O-20220124-092100-09-000-22,2,34566.4,8.094,50.36047949,159.47485171000002,0.00075
baseline,opening-drive-7b93f63e858aea1fd1,1643016660000000000,O-20220124-092100-09-000-23,1,34813.8,8.094,50.7209215,160.6162514,0.00075
baseline,opening-drive-2c27d72e26142eaa61,1643818080000000000,O-20220202-160800-09-000-25,2,37204.6,11.567,77.46220948,245.29699667,0.00075
baseline,opening-drive-2c27d72e26142eaa61,1643820840000000000,O-20220202-160800-09-000-26,1,37351.9,11.567,77.76889691,246.268173565,0.00075
baseline,opening-drive-af386188ea23ebc45e,1644256080000000000,O-20220207-174800-09-000-28,1,44002.8,12.22,96.78855888,306.49710312,0.00075
baseline,opening-drive-af386188ea23ebc45e,1644259500000000000,O-20220207-174800-09-000-29,2,43882.1,12.22,96.52306716,305.65637934,0.00075
baseline,opening-drive-be4461df1767b65438,1644539040000000000,O-20220211-002400-09-000-31,2,43174.2,11.84,92.01285504,291.37404095999995,0.00075
baseline,opening-drive-be4461df1767b65438,1644541440000000000,O-20220211-002400-09-000-32,1,43296.1,11.84,92.27264832,292.19671967999994,0.00075
baseline,opening-drive-42d6e7746952aa4235,1644913440000000000,O-20220215-082400-09-000-34,1,43846.5,14.748,116.39667276,368.5894637399999,0.00075
baseline,opening-drive-42d6e7746952aa4235,1644924240000000000,O-20220215-112400-09-000-37,2,44183.2,14.748,117.29049005,371.41988514999997,0.00075
baseline,opening-drive-3d9a6adf125e6ce514,1645407120000000000,O-20220221-013200-09-000-38,1,39090.6,11.337,79.7706238,252.60697535000003,0.00075
baseline,opening-drive-3d9a6adf125e6ce514,1645414440000000000,O-20220221-013200-09-000-39,2,38949.299999999996,11.337,79.48227854,251.69388203499997,0.00075
baseline,opening-drive-fe893be7692fdcf690,1646963400000000000,O-20220311-015000-09-000-41,2,38773.5,12.52,87.3799596,276.70320539999994,0.00075
baseline,opening-drive-fe893be7692fdcf690,1646974200000000000,O-20220311-045000-09-000-44,1,38462.4,12.52,86.67886464,274.48307136,0.00075
baseline,opening-drive-279ad16eceaabdd39c,1647768660000000000,O-20220320-093100-09-000-45,2,41624.2,12.902,96.66637711,306.11019419,0.00075
baseline,opening-drive-279ad16eceaabdd39c,1647769380000000000,O-20220320-093100-09-000-46,1,41739.4,12.902,96.93391298,306.95739111999995,0.00075
baseline,opening-drive-0a21a8e6539a131e55,1648142280000000000,O-20220324-171800-09-000-48,1,44122.1,12.879,102.28473466,323.90165976500003,0.00075
baseline,opening-drive-0a21a8e6539a131e55,1648142760000000000,O-20220324-171800-09-000-49,2,44015.5,12.879,102.03761241,323.119105965,0.00075
baseline,opening-drive-461a4e5421fdca3bb8,1649405580000000000,O-20220408-081300-09-000-51,1,43839.2,14.073,111.05083109,351.66096511,0.00075
baseline,opening-drive-461a4e5421fdca3bb8,1649406660000000000,O-20220408-081300-09-000-52,2,43751.6,14.073,110.82892802,350.95827208000003,0.00075
baseline,opening-drive-a0ed881a95af58b779,1650218280000000000,O-20220417-175800-09-000-54,2,40054.0,11.994,86.47338168,273.83237532,0.00075
baseline,opening-drive-a0ed881a95af58b779,1650224520000000000,O-20220417-175800-09-000-55,1,40168.3,11.994,86.72014624,274.61379641,0.00075
baseline,opening-drive-9f610240c7bc625f08,1650820980000000000,O-20220424-172300-09-000-57,2,39230.1,11.902,84.04499704,266.14249061,0.00075
baseline,opening-drive-9f610240c7bc625f08,1650821700000000000,O-20220424-172300-09-000-58,1,39341.7,11.902,84.28408441,266.89960064,0.00075
baseline,opening-drive-0ba878593d28be3e21,1651223820000000000,O-20220429-091700-09-000-60,2,39092.1,8.44,59.38871832,188.06427467999998,0.00075
baseline,opening-drive-0ba878593d28be3e21,1651224660000000000,O-20220429-091700-09-000-61,1,39266.6,8.44,59.65381872,188.90375927999997,0.00075
baseline,opening-drive-a5087519d6b21d7172,1652115000000000000,O-20220509-165000-09-000-63,2,31798.0,6.18,35.3720952,112.01163479999998,0.00075
baseline,opening-drive-a5087519d6b21d7172,1652125800000000000,O-20220509-195000-09-000-66,1,30514.8,6.18,33.94466352,107.49143447999998,0.00075
baseline,opening-drive-106b0343d36d794d48,1653612480000000000,O-20220527-004800-09-000-67,2,29088.2,15.26,79.89946776,253.01498124,0.00075
baseline,opening-drive-106b0343d36d794d48,1653623280000000000,O-20220527-034800-09-000-70,1,29031.2,15.26,79.74290016,252.51918384,0.00075
baseline,opening-drive-ba263cb1fb46df3645,1654421700000000000,O-20220605-093500-09-000-71,2,29585.2,23.315,124.16020884,393.17399466,0.00075
baseline,opening-drive-ba263cb1fb46df3645,1654422180000000000,O-20220605-093500-09-000-72,1,29632.8,23.315,124.35997176,393.8065772400001,0.00075
baseline,opening-drive-cf491be8cb6dfe8c85,1654765020000000000,O-20220609-085700-09-000-74,1,30539.8,18.904,103.91838826,329.07489613999996,0.00075
baseline,opening-drive-cf491be8cb6dfe8c85,1654765380000000000,O-20220609-085700-09-000-75,2,30475.500000000004,18.904,103.69959336,328.3820456400001,0.00075
baseline,opening-drive-6df673e3c716527f23,1655112540000000000,O-20220613-092900-09-000-77,2,24215.1,4.925,21.46668615,67.977839475,0.00075
baseline,opening-drive-6df673e3c716527f23,1655123340000000000,O-20220613-122900-09-000-80,1,24105.1,4.925,21.36917115,67.669041975,0.00075
baseline,opening-drive-1947c5200447b6a870,1655862960000000000,O-20220622-015600-09-000-81,2,20397.2,11.751,43.1437495,136.6218734,0.00075
baseline,opening-drive-1947c5200447b6a870,1655867460000000000,O-20220622-015600-09-000-82,1,20539.2,11.751,43.44410506,137.57299934,0.00075
baseline,opening-drive-f1c026221b9850df2f,1657330500000000000,O-20220709-013500-09-000-84,2,21419.5,14.938,57.59360838,182.37975987000002,0.00075
baseline,opening-drive-f1c026221b9850df2f,1657331640000000000,O-20220709-013500-09-000-85,1,21519.1,14.938,57.86141684,183.22782001000002,0.00075
baseline,opening-drive-8a8245ad82b86ffe83,1657414140000000000,O-20220710-004900-09-000-87,2,21446.8,20.827,80.40105065,254.60332705,0.00075
baseline,opening-drive-8a8245ad82b86ffe83,1657424940000000000,O-20220710-034900-09-000-90,1,21291.1,15.516,59.46348737,188.30104332999997,0.00075
baseline,opening-drive-8a8245ad82b86ffe83,1657424940000000000,O-20220710-034900-09-000-90,1,21291.2,5.311,20.35396138,64.45421102,0.00075
baseline,opening-drive-a32070870f30f1a3b1,1657587240000000000,O-20220712-005400-09-000-91,2,19811.0,21.563,76.89322674,243.49521800999997,0.00075
baseline,opening-drive-a32070870f30f1a3b1,1657588020000000000,O-20220712-005400-09-000-92,1,19873.4,21.563,77.13542236,244.26217079,0.00075
baseline,opening-drive-130493ff3b63d24d01,1657819620000000000,O-20220714-172700-09-000-94,1,20582.6,12.501,46.31455487,146.66275708,0.00075
baseline,opening-drive-130493ff3b63d24d01,1657830420000000000,O-20220714-202700-09-000-97,2,20607.4,12.501,46.37035933,146.83947122,0.00075
baseline,opening-drive-0d813045a8c62cb00c,1658248020000000000,O-20220719-162700-09-000-98,1,23276.5,15.97,66.9106269,211.88365185,0.00075
baseline,opening-drive-0d813045a8c62cb00c,1658248140000000000,O-20220719-162700-09-000-99,2,23190.8,15.97,66.66427368,211.10353332,0.00075
baseline,opening-drive-d37d67b493ac8ce59c,1658794560000000000,O-20220726-001600-09-000-101,2,21121.1,11.176,42.48889445,134.54816575,0.00075
baseline,opening-drive-d37d67b493ac8ce59c,1658805360000000000,O-20220726-031600-09-000-104,1,21093.2,11.176,42.43276858,134.37043382000002,0.00075
baseline,opening-drive-d2d0bb74b6e2a76341,1659514380000000000,O-20220803-081300-09-000-105,1,23134.4,17.632,73.42303334,232.5062722600001,0.00075
baseline,opening-drive-d2d0bb74b6e2a76341,1659524820000000000,O-20220803-081300-09-000-107,2,23465.3,17.632,82.74803392,227.55709328000003,0.00075
baseline,opening-drive-50c27b40b27671dde5,1659833880000000000,O-20220807-005800-09-000-108,2,22843.1,26.41,108.59152878,343.87317447,0.00075
baseline,opening-drive-50c27b40b27671dde5,1659834180000000000,O-20220807-005800-09-000-109,1,22885.4,26.41,108.79261452,344.50994598,0.00075
baseline,opening-drive-febe2e0f9a86d45eac,1660038900000000000,O-20220809-095500-09-000-111,2,23535.1,16.239,68.793568,217.846298675,0.00075
baseline,opening-drive-febe2e0f9a86d45eac,1660044720000000000,O-20220809-095500-09-000-113,1,23321.8,16.239,75.74454204,208.29749061000004,0.00075
baseline,opening-drive-7be4a5154f712a23c3,1660496400000000000,O-20220814-170000-09-000-114,2,24303.3,17.541,76.73475335,242.993385625,0.00075
baseline,opening-drive-7be4a5154f712a23c3,1660507200000000000,O-20220814-200000-09-000-117,1,24273.8,17.541,76.64161064,242.69843371000002,0.00075
baseline,opening-drive-b90736b1dd594b4c10,1661155920000000000,O-20220822-081200-09-000-118,2,20941.6,14.492,54.6274201,172.9868303,0.00075
baseline,opening-drive-b90736b1dd594b4c10,1661157600000000000,O-20220822-081200-09-000-119,1,21051.2,14.492,54.91331827,173.89217453,0.00075
baseline,opening-drive-3351265b4b8c0e564b,1661879820000000000,O-20220830-171700-09-000-121,2,19577.0,20.291,71.50264326,226.42503699,0.00075
baseline,opening-drive-3351265b4b8c0e564b,1661880780000000000,O-20220830-171700-09-000-122,1,19645.3,20.291,71.75210081,227.21498591500003,0.00075
baseline,opening-drive-50a6a97fac01444268,1662573360000000000,O-20220907-175600-09-000-124,1,19009.5,24.321,83.21940891,263.528128215,0.00075
