trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240818-121859-001-000-1,O-20240818-121859-001-000-2,SELL,FLAT,0.000,20.840,1723983599999000000,2024-08-18 12:19:59.999000+00:00,1723983899999000000,2024-08-18 12:24:59.999000+00:00,300000000000,59929.73170345489,59946.3,['1873.66237553 USDT'],-0.00028,-2218.94567553 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240908-013759-001-000-4,O-20240908-013759-001-000-5,SELL,FLAT,0.000,23.822,1725759539999000000,2024-09-08 01:38:59.999000+00:00,1725760319999000000,2024-09-08 01:51:59.999000+00:00,780000000000,54182.332222315505,54196.2404583998,['1936.34576880 USDT'],-0.00026,-2267.66776880 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240914-162059-001-000-7,O-20240914-162059-001-000-8,BUY,FLAT,0.000,18.698,1726330919999000000,2024-09-14 16:21:59.999000+00:00,1726330979999000000,2024-09-14 16:22:59.999000+00:00,60000000000,59927.10289870574,59912.4,['1680.56926890 USDT'],-0.00025,-1955.48406890 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240916-194159-001-000-10,O-20240916-194159-001-000-11,BUY,FLAT,0.000,17.378,1726515779999000000,2024-09-16 19:42:59.999000+00:00,1726516139999000000,2024-09-16 19:48:59.999000+00:00,360000000000,57918.16152031304,57884.1,['1509.30877553 USDT'],-0.00059,-2101.22987553 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240928-090459-001-000-13,O-20240928-090459-001-000-14,SELL,FLAT,0.000,17.187,1727514359999000000,2024-09-28 09:05:59.999000+00:00,1727517599999000000,2024-09-28 09:59:59.999000+00:00,3240000000000,65554.9,65602.9,['1690.65683146 USDT'],-0.00073,-2515.63283146 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240930-064159-001-000-16,O-20240930-064159-001-000-17,SELL,FLAT,0.000,16.572,1727678579999000000,2024-09-30 06:42:59.999000+00:00,1727678819999000000,2024-09-30 06:46:59.999000+00:00,240000000000,64414.200000000004,64452.3,['1601.68172850 USDT'],-0.00059,-2233.07492850 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240930-073159-001-000-19,O-20240930-073159-001-000-20,BUY,FLAT,0.000,15.562,1727681579999000000,2024-09-30 07:32:59.999000+00:00,1727681879999000000,2024-09-30 07:37:59.999000+00:00,300000000000,64566.10633594653,64521.77886518442,['1506.64925212 USDT'],-0.00069,-2196.47335212 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240930-163459-001-000-22,O-20240930-163559-001-000-26,SELL,FLAT,0.000,16.744,1727714159999000000,2024-09-30 16:35:59.999000+00:00,1727714219999000000,2024-09-30 16:36:59.999000+00:00,60000000000,63582.0,63627.2,['1597.49313360 USDT'],-0.00071,-2354.32193360 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20241024-060859-001-000-28,O-20241024-060959-001-000-33,BUY,FLAT,0.000,16.553,1729750199999000000,2024-10-24 06:09:59.999000+00:00,1729750259999000000,2024-10-24 06:10:59.999000+00:00,60000000000,67389.85646106445,67391.99999999999,['1673.28305250 USDT'],3e-05,-1637.80105250 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20241027-015659-001-000-34,O-20241027-015759-001-000-39,BUY,FLAT,0.000,17.270,1729994279999000000,2024-10-27 01:57:59.999000+00:00,1729994339999000000,2024-10-27 01:58:59.999000+00:00,60000000000,67051.0691314418,67047.75822814126,['1736.91506139 USDT'],-5e-05,-1794.09436137 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20241030-105159-001-000-40,O-20241030-105159-001-000-42,SELL,FLAT,0.000,13.824,1730285579999000000,2024-10-30 10:52:59.999000+00:00,1730288879999000000,2024-10-30 11:47:59.999000+00:00,3300000000000,72381.27472511574,72031.0,['1497.26646435 USDT'],0.00484,3344.93133565 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20241118-035059-001-000-43,O-20241118-035059-001-000-44,BUY,FLAT,0.000,9.988,1731901919999000000,2024-11-18 03:51:59.999000+00:00,1731904799999000000,2024-11-18 04:39:59.999000+00:00,2880000000000,90642.0,90555.90000000001,['1357.35346890 USDT'],-0.00095,-2217.32026890 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20241118-060659-001-000-46,O-20241118-060659-001-000-47,BUY,FLAT,0.000,8.667,1731910079999000000,2024-11-18 06:07:59.999000+00:00,1731910379999000000,2024-11-18 06:12:59.999000+00:00,300000000000,90857.40000000001,90741.3,['1180.43694968 USDT'],-0.00128,-2186.67564968 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20241127-215459-001-000-49,O-20241127-215559-001-000-53,SELL,FLAT,0.000,7.895,1732744559999000000,2024-11-27 21:55:59.999000+00:00,1732744619999000000,2024-11-27 21:56:59.999000+00:00,60000000000,96227.5,96249.5,['1139.70443625 USDT'],-0.00023,-1313.39443625 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20241128-044959-001-000-55,O-20241128-044959-001-000-56,SELL,FLAT,0.000,8.852,1732769459999000000,2024-11-28 04:50:59.999000+00:00,1732769819999000000,2024-11-28 04:56:59.999000+00:00,360000000000,95659.7,95748.22237912337,['1270.75719668 USDT'],-0.00093,-2054.35729668 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20241215-132059-001-000-58,O-20241215-132059-001-000-59,SELL,FLAT,0.000,8.667,1734268919999000000,2024-12-15 13:21:59.999000+00:00,1734268979999000000,2024-12-15 13:22:59.999000+00:00,60000000000,102626.5,102633.5,['1334.24131500 USDT'],-7e-05,-1394.91031500 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20241221-020559-001-000-61,O-20241221-020559-001-000-62,SELL,FLAT,0.000,8.330,1734746819999000000,2024-12-21 02:06:59.999000+00:00,1734747299999000000,2024-12-21 02:14:59.999000+00:00,480000000000,97236.09999999999,97274.92709483794,['1215.20764178 USDT'],-0.0004,-1538.63734178 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20241225-084859-001-000-64,O-20241225-084859-001-000-65,SELL,FLAT,0.000,6.002,1735116599999000000,2024-12-25 08:49:59.999000+00:00,1735117259999000000,2024-12-25 09:00:59.999000+00:00,660000000000,97949.90000000001,98126.9,['882.63971520 USDT'],-0.00181,-1944.99371520 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250101-194059-001-000-67,O-20250101-194059-001-000-69,BUY,FLAT,0.000,9.061,1735760519999000000,2025-01-01 19:41:59.999000+00:00,1735766519999000000,2025-01-01 21:21:59.999000+00:00,6000000000000,94290.09999999999,94929.3,['1285.88773755 USDT'],0.00678,4505.90346245 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250105-040459-001-000-70,O-20250105-040459-001-000-71,BUY,FLAT,0.000,9.857,1736049959999000000,2025-01-05 04:05:59.999000+00:00,1736050559999000000,2025-01-05 04:15:59.999000+00:00,600000000000,98250.0,98211.45777619966,['1452.39044198 USDT'],-0.00039,-1832.30114198 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250108-095559-001-000-73,O-20250108-095559-001-000-74,SELL,FLAT,0.000,9.916,1736330219999000000,2025-01-08 09:56:59.999000+00:00,1736330999999000000,2025-01-08 10:09:59.999000+00:00,780000000000,95552.9,95670.4,['1422.12768210 USDT'],-0.00123,-2587.25768210 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250114-213559-001-000-76,O-20250114-213559-001-000-77,SELL,FLAT,0.000,8.851,1736890619999000000,2025-01-14 21:36:59.999000+00:00,1736891099999000000,2025-01-14 21:44:59.999000+00:00,480000000000,96274.4,96410.4,['1279.08987360 USDT'],-0.00141,-2482.82587360 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250126-120159-001-000-79,O-20250126-120159-001-000-80,BUY,FLAT,0.000,8.759,1737892979999000000,2025-01-26 12:02:59.999000+00:00,1737893039999000000,2025-01-26 12:03:59.999000+00:00,60000000000,104756.37529398334,104745.06348898276,['1376.26732673 USDT'],-0.00011,-1475.34742673 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250208-020159-001-000-82,O-20250208-020159-001-000-83,SELL,FLAT,0.000,8.805,1738980179999000000,2025-02-08 02:02:59.999000+00:00,1738981259999000000,2025-02-08 02:20:59.999000+00:00,1080000000000,96448.5,96540.9,['1274.45375026 USDT'],-0.00096,-2088.03575026 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250224-063959-001-000-85,O-20250224-063959-001-000-86,BUY,FLAT,0.000,8.501,1740379259999000000,2025-02-24 06:40:59.999000+00:00,1740379379999000000,2025-02-24 06:42:59.999000+00:00,120000000000,95760.0,95717.3,['1220.81139548 USDT'],-0.00045,-1583.80409548 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250406-014659-001-000-88,O-20250406-044759-001-000-91,SELL,FLAT,0.000,7.684,1743904079999000000,2025-04-06 01:47:59.999000+00:00,1743914939999000000,2025-04-06 04:48:59.999000+00:00,10860000000000,83396.2,83405.46562988027,['961.27799903 USDT'],-0.00011,-1032.47509903 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250420-182059-001-000-93,O-20250420-182059-001-000-94,BUY,FLAT,0.000,10.214,1745173319999000000,2025-04-20 18:21:59.999000+00:00,1745173439999000000,2025-04-20 18:23:59.999000+00:00,120000000000,84585.6265909536,84575.8,['1295.86110840 USDT'],-0.00012,-1396.22990840 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250427-064959-001-000-96,O-20250427-064959-001-000-97,SELL,FLAT,0.000,8.396,1745736659999000000,2025-04-27 06:50:59.999000+00:00,1745736899999000000,2025-04-27 06:54:59.999000+00:00,240000000000,93863.92632205813,93889.1,['1182.28080675 USDT'],-0.00027,-1393.63900675 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250428-045559-001-000-99,O-20250428-045559-001-000-100,SELL,FLAT,0.000,8.471,1745816219999000000,2025-04-28 04:56:59.999000+00:00,1745816279999000000,2025-04-28 04:57:59.999000+00:00,60000000000,93967.39374335969,93982.00759060323,['1194.08953403 USDT'],-0.00016,-1317.88343403 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250429-065759-001-000-102,O-20250429-065759-001-000-103,BUY,FLAT,0.000,7.789,1745909939999000000,2025-04-29 06:58:59.999000+00:00,1745910179999000000,2025-04-29 07:02:59.999000+00:00,240000000000,94763.2,94720.8,['1106.91815700 USDT'],-0.00045,-1437.17175700 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250525-045659-001-000-105,O-20250525-045659-001-000-106,BUY,FLAT,0.000,5.889,1748149079999000000,2025-05-25 04:57:59.999000+00:00,1748149559999000000,2025-05-25 05:05:59.999000+00:00,480000000000,108226.9,108159.6,['955.72507388 USDT'],-0.00062,-1352.05477388 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250528-044759-001-000-108,O-20250528-044759-001-000-109,BUY,FLAT,0.000,5.377,1748407739999000000,2025-05-28 04:48:59.999000+00:00,1748408159999000000,2025-05-28 04:55:59.999000+00:00,420000000000,108928.6,108902.7,['878.45917508 USDT'],-0.00024,-1017.72347508 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250615-175159-001-000-111,O-20250615-175259-001-000-115,BUY,FLAT,0.000,7.210,1750009979999000000,2025-06-15 17:52:59.999000+00:00,1750010039999000000,2025-06-15 17:53:59.999000+00:00,60000000000,105702.8,105658.09999999999,['1142.93406675 USDT'],-0.00042,-1465.22106675 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250619-142459-001-000-117,O-20250619-142459-001-000-118,BUY,FLAT,0.000,5.718,1750343159999000000,2025-06-19 14:25:59.999000+00:00,1750343519999000000,2025-06-19 14:31:59.999000+00:00,360000000000,104577.0,104481.79999999999,['896.54866380 USDT'],-0.00091,-1440.90226380 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250621-083759-001-000-120,O-20250621-113859-001-000-123,BUY,FLAT,0.000,6.302,1750495139999000000,2025-06-21 08:38:59.999000+00:00,1750505999999000000,2025-06-21 11:39:59.999000+00:00,10860000000000,103503.83870199938,103853.2906696287,['980.07347198 USDT'],0.00338,1222.17282802 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250621-172859-001-000-125,O-20250621-172859-001-000-127,SELL,FLAT,0.000,6.674,1750526999999000000,2025-06-21 17:29:59.999000+00:00,1750532099999000000,2025-06-21 18:54:59.999000+00:00,5100000000000,103332.9,102903.7,['1032.31730130 USDT'],0.00415,1832.16349870 USDT,True
BACKTESTER-001,Candidate16Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250626-053159-001-000-128,O-20250626-053159-001-000-129,SELL,FLAT,0.000,6.695,1750915979999000000,2025-06-26 05:32:59.999000+00:00,1750918319999000000,2025-06-26 06:11:59.999000+00:00,2340000000000,107605.3,107637.7,['1080.78891376 USDT'],-0.0003,-1297.70691376 USDT,False
