client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
O-20240103-010059-001-000-1,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000,BINANCE-001,T-89051521f743a3ca-46590,MARKET,BUY,27.179,GTC,False,False,27.179,TAKER,45182.40918724015,0.0,['921.00952448 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240103-010059-001-000-1,"['O-20240103-010059-001-000-2', 'O-20240103-010059-001-000-3']",,,,,['ENTRY'],340f85ce-2684-4b0c-bac8-b9ca336120d0,2024-01-03 01:00:59.999000+00:00,2024-01-03 01:01:59.999000+00:00,,,,,,,
O-20240103-010059-001-000-2,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000,BINANCE-001,T-5fb30ffc8e5634d7-46704,STOP_MARKET,SELL,27.179,GTC,True,False,27.179,TAKER,45145.083071489025,0.11692851097177481,['920.24865960 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240103-010059-001-000-1,['O-20240103-010059-001-000-3'],O-20240103-010059-001-000-1,,,,['STOP_LOSS'],3c5d4cb0-d589-433b-927d-bb9c87adee7e,2024-01-03 01:00:59.999000+00:00,2024-01-03 01:31:59.999000+00:00,45145.2,DEFAULT,,,,,
O-20240103-041859-001-001-1,BACKTESTER-001,SharedAccountV44ETHStrategy-001,ETHUSDT-PERP.BINANCE,BINANCE-2-001,ETHUSDT-PERP.BINANCE-SharedAccountV44ETHStrategy-001,BINANCE-001,T-d946426b3e96fa75-48164,MARKET,BUY,434.053,GTC,False,False,434.053,TAKER,2373.164850098951,0.0,['772.55949201 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240103-041859-001-001-1,"['O-20240103-041859-001-001-2', 'O-20240103-041859-001-001-3']",,,,,['ENTRY'],0d26761e-9d5d-4c82-9feb-3f8af26c7472,2024-01-03 04:18:59.999000+00:00,2024-01-03 04:19:59.999000+00:00,,,,,,,
O-20240103-041859-001-001-2,BACKTESTER-001,SharedAccountV44ETHStrategy-001,ETHUSDT-PERP.BINANCE,BINANCE-2-002,ETHUSDT-PERP.BINANCE-SharedAccountV44ETHStrategy-001,BINANCE-001,T-2dbee8f8a047bc2a-48213,STOP_MARKET,SELL,434.053,GTC,True,False,434.053,TAKER,2371.1655719002056,0.014428099794258742,['771.90864749 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240103-041859-001-001-1,['O-20240103-041859-001-001-3'],O-20240103-041859-001-001-1,,,,['STOP_LOSS'],e833fa3b-8c4e-4145-ad99-3559fec11ec1,2024-01-03 04:18:59.999000+00:00,2024-01-03 04:31:59.999000+00:00,2371.18,DEFAULT,,,,,
O-20240107-045559-001-000-4,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000,BINANCE-001,T-5ad883675a9cda9e-68516,MARKET,SELL,27.550,GTC,False,False,27.550,TAKER,43999.77316878403,0.0,['909.14531310 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240107-045559-001-000-2,"['O-20240107-045559-001-000-5', 'O-20240107-045559-001-000-6']",,,,,['ENTRY'],59b10f74-caa8-45e9-b7af-f03461c80004,2024-01-07 04:55:59.999000+00:00,2024-01-07 04:56:59.999000+00:00,,,,,,,
O-20240107-045659-001-000-7,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000,BINANCE-001,T-953c6ab223c8e535-68522,MARKET,BUY,7.392,GTC,True,False,7.392,TAKER,43992.2,0.0,['243.89275680 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,101d44ab-4bf7-4b5e-a522-ac166c719802,2024-01-07 04:56:59.999000+00:00,2024-01-07 04:57:59.999000+00:00,,,,,,,
O-20240107-045659-001-000-8,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000,BINANCE-001,T-953c6ab223c8e535-68521,MARKET,BUY,20.158,GTC,True,False,20.158,TAKER,43992.258076198035,0.0,['665.09695373 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,202dfb5e-b2a7-4f3e-8b86-72e482b75b39,2024-01-07 04:56:59.999000+00:00,2024-01-07 04:57:59.999000+00:00,,,,,,,
O-20240114-050659-001-000-10,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000,BINANCE-001,T-fc14c0b91bdf3199-105898,MARKET,BUY,27.307,GTC,False,False,27.307,TAKER,42673.80478631853,0.0,['873.97019048 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240114-050659-001-000-3,"['O-20240114-050659-001-000-11', 'O-20240114-050659-001-000-12']",,,,,['ENTRY'],e8f79c6b-e96e-431b-b035-bcdb6f14ebc9,2024-01-14 05:06:59.999000+00:00,2024-01-14 05:07:59.999000+00:00,,,,,,,
O-20240114-050659-001-000-12,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000,BINANCE-001,T-e309ab4df5ae436c-106061,LIMIT,SELL,27.307,GTC,True,False,27.307,MAKER,42812.4,0.09999999999854481,['876.80865510 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240114-050659-001-000-3,['O-20240114-050659-001-000-11'],O-20240114-050659-001-000-10,,,,['TAKE_PROFIT'],eaa98ec8-49a5-4421-887b-ac66d944ffa6,2024-01-14 05:06:59.999000+00:00,2024-01-14 05:52:59.999000+00:00,,,,,42812.5,True,
O-20240116-052159-001-000-13,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000,BINANCE-001,T-3ed05c2b5e0eb273-116422,MARKET,BUY,27.949,GTC,False,False,27.949,TAKER,42864.94959390318,0.0,['898.52435715 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240116-052159-001-000-4,"['O-20240116-052159-001-000-14', 'O-20240116-052159-001-000-15']",,,,,['ENTRY'],1d11a9a6-6a76-478c-9731-bbd08b6122ab,2024-01-16 05:21:59.999000+00:00,2024-01-16 05:22:59.999000+00:00,,,,,,,
O-20240116-052159-001-000-14,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-011,BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000,BINANCE-001,T-304c073dc6dde8c2-116528,STOP_MARKET,SELL,27.949,GTC,True,False,27.949,TAKER,42839.25538659701,0.14461340299021685,['897.98576160 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240116-052159-001-000-4,['O-20240116-052159-001-000-15'],O-20240116-052159-001-000-13,,,,['STOP_LOSS'],fffc45d4-f0f5-445e-b6fe-15a8ef2712c6,2024-01-16 05:21:59.999000+00:00,2024-01-16 05:52:59.999000+00:00,42839.4,DEFAULT,,,,,
O-20240120-124059-001-000-16,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000,BINANCE-001,T-9c4fe17650b34822-139109,MARKET,SELL,29.192,GTC,False,False,29.192,TAKER,41564.93007673335,0.0,['910.02257910 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240120-124059-001-000-5,"['O-20240120-124059-001-000-17', 'O-20240120-124059-001-000-18']",,,,,['ENTRY'],a1c3fcbb-eaee-485a-841a-77efc33230bd,2024-01-20 12:40:59.999000+00:00,2024-01-20 12:41:59.999000+00:00,,,,,,,
O-20240120-124059-001-000-17,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000,BINANCE-001,T-bd2b8b7a61f3662a-139117,STOP_MARKET,BUY,29.192,GTC,True,False,29.192,TAKER,41572.46908057002,0.16908057002001442,['910.18763805 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240120-124059-001-000-5,['O-20240120-124059-001-000-18'],O-20240120-124059-001-000-16,,,,['STOP_LOSS'],cafc8295-4a3a-4db8-b835-ea517b9f4d6d,2024-01-20 12:40:59.999000+00:00,2024-01-20 12:43:59.999000+00:00,41572.3,DEFAULT,,,,,
